,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,120.7,120.23,90.52,114.15,113.82,118.65,87.19,97.99,120.39,148.34,105.93,137.63,130.04,124.81,124.81
1,Other Revenue,-2.92,2.92,-,1.25,-1.01,1.01,-,8.69,-5.63,5.63,-,3.86,-1.56,0.78,0.78
2,Revenue,117.78,123.15,90.52,115.4,112.81,119.66,87.19,106.69,114.77,153.96,105.93,141.49,128.47,125.59,125.59
3,Revenue Growth (YoY),4.41%,2.92%,3.82%,8.17%,-1.71%,-22.28%,-17.69%,-24.60%,-10.67%,22.59%,-15.65%,-,-,-,-
4,Cost of Revenue,90.77,101.91,72.73,96.01,82.19,94.11,67.33,82.63,81.3,114.02,78.15,107.17,87.65,87.36,87.36
5,Gross Profit,27.02,21.24,17.78,19.39,30.62,25.56,19.86,24.06,33.47,39.95,27.78,34.32,40.82,38.22,38.22
6,"Selling, General & Admin",14.59,14.94,11.86,13.76,11.54,14,10.92,9.8,8.41,8.46,8.05,7.62,10.45,9.31,9.31
7,Research & Development,6.53,8.36,7.74,10.74,8.25,7.26,6.08,8.11,6.53,6.91,5.86,7.5,6.99,6.48,6.48
8,Other Operating Expenses,0.73,1.07,0.81,-0.61,-0.38,-1.42,-0.38,5.63,-0.56,-1.77,-0.29,7.06,-5.31,0.91,0.91
9,Operating Expenses,21.57,25.56,20.1,21.61,20.69,22.71,15.65,23.1,14.6,16.59,13.52,21.39,10.68,17.83,17.83
10,Operating Income,5.44,-4.32,-2.32,-2.22,9.93,2.85,4.21,0.96,18.87,23.36,14.26,12.92,30.14,20.39,20.39
11,Interest Expense,-0.51,-0.53,-0.72,-0.32,-0.94,-0.88,-0.74,-0.82,-0.84,-0.94,-0.84,-0.88,-0.85,-0.81,-0.81
12,Interest & Investment Income,2.42,2.32,5.29,3.5,4.65,4.86,4.81,3.02,0.06,0.06,0.06,0.07,0.06,0.17,0.17
13,Currency Exchange Gain (Loss),-0.39,0.39,-,0.18,-0.28,0.28,-,0.3,-0.44,0.44,-,-0.22,0.13,-0.07,-0.07
14,Other Non Operating Income (Expenses),-0.67,-0.23,0.18,-0.35,0.08,0.05,-0.15,-3.57,0.58,1.02,1.91,-3.21,3.25,-0.1,-0.1
15,EBT Excluding Unusual Items,6.29,-2.36,2.43,0.78,13.44,7.17,8.13,-0.11,18.23,23.94,15.39,8.68,32.73,19.59,19.59
16,Gain (Loss) on Sale of Investments,0.08,-0.26,-,-,-,-,-,0,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.09,0,0.16,0.56,-0.06,15.62,0.16,0,0.02,0,-0.04,-0.01,0.01,0.01
18,Asset Writedown,-3.76,0.35,-0.83,4.05,-4.87,1.3,-1.31,2.53,-2.56,0.87,-0.92,2.11,-2.16,-0.18,-0.18
19,Other Unusual Items,1.3,2.41,1.66,1.29,-0.32,0.32,-,10.04,-0.64,0.64,-,15.19,-7.66,3.83,3.83
20,Pretax Income,3.91,0.23,3.26,6.29,8.8,8.73,22.44,12.62,15.02,25.47,14.48,25.94,22.9,23.25,23.25
21,Income Tax Expense,-0.87,-1.64,-1,-0.54,-0.15,-0.07,2.04,-1.54,0.65,2.42,1.28,1.17,3.66,2.49,2.49
22,Earnings From Continuing Operations,4.78,1.87,4.26,6.83,8.95,8.8,20.4,14.16,14.37,23.05,13.2,24.77,19.24,20.76,20.76
23,Minority Interest in Earnings,0.14,-0.07,-0.34,0.73,-0.77,-1.39,-0.74,-0.92,-1.27,-1.41,-0.66,-0.75,-1.25,-0.7,-0.7
24,Net Income,4.91,1.8,3.92,7.56,8.18,7.41,19.66,13.24,13.1,21.64,12.54,24.02,18,20.06,20.06
25,Net Income to Common,4.91,1.8,3.92,7.56,8.18,7.41,19.66,13.24,13.1,21.64,12.54,24.02,18,20.06,20.06
26,Net Income Growth,-39.92%,-75.70%,-80.06%,-42.89%,-37.55%,-65.76%,56.77%,-44.91%,-27.22%,7.87%,-37.49%,-,-,-,-
27,Shares Outstanding (Basic),114,107,98,97,106,101,103,94,75,75,78,78,75,77,77
28,Shares Outstanding (Diluted),114,107,98,97,106,101,103,94,75,75,78,78,75,77,77
29,Shares Change (YoY),7.58%,5.37%,-5.26%,2.87%,41.32%,34.70%,32.02%,20.63%,0.02%,-2.43%,1.57%,-,-,-,-
30,EPS (Basic),0.04,0.02,0.04,0.08,0.08,0.07,0.19,0.14,0.17,0.29,0.16,0.31,0.24,0.26,0.26
31,EPS (Diluted),0.04,0.02,0.04,0.08,0.08,0.07,0.19,0.14,0.17,0.28,0.16,0.31,0.24,0.26,0.26
32,EPS Growth,-48.98%,-75.50%,-78.95%,-44.48%,-55.81%,-75.65%,18.75%,-54.33%,-27.23%,8.64%,-38.46%,-,-,-,-
33,Free Cash Flow,-2.09,-7.17,-23.55,23.85,6.2,1.88,-44.56,4.77,3.37,-13.22,-14.06,-13.75,-9.82,-17.39,-17.39
34,Free Cash Flow Per Share,-0.02,-0.07,-0.24,0.25,0.06,0.02,-0.43,0.05,0.04,-0.18,-0.18,-0.18,-0.13,-0.23,-0.23
35,Dividend Per Share,-,-,-,0.350,-,-,-,0.600,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-41.67%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,22.94%,17.25%,19.65%,16.80%,27.14%,21.36%,22.78%,22.55%,29.16%,25.95%,26.22%,24.25%,31.77%,30.44%,30.44%
38,Operating Margin,4.62%,-3.51%,-2.56%,-1.92%,8.80%,2.38%,4.83%,0.90%,16.44%,15.17%,13.47%,9.13%,23.46%,16.24%,16.24%
39,Profit Margin,4.17%,1.46%,4.33%,6.55%,7.25%,6.19%,22.55%,12.41%,11.41%,14.06%,11.84%,16.98%,14.01%,15.98%,15.98%
40,Free Cash Flow Margin,-1.78%,-5.82%,-26.01%,20.67%,5.50%,1.57%,-51.10%,4.47%,2.94%,-8.59%,-13.27%,-9.72%,-7.65%,-13.85%,-13.85%
41,EBITDA,13.26,5.1,5.5,5.6,15.2,10.21,9.49,6.23,23.72,28.43,19.12,17.78,34.82,25.07,25.07
42,EBITDA Margin,11.26%,4.14%,6.08%,4.85%,13.48%,8.53%,10.88%,5.84%,20.67%,18.47%,18.05%,12.56%,27.10%,19.97%,19.97%
43,D&A For EBITDA,7.82,9.42,7.82,7.82,5.27,7.36,5.27,5.27,4.85,5.07,4.85,4.85,4.68,4.68,4.68
44,EBIT,5.44,-4.32,-2.32,-2.22,9.93,2.85,4.21,0.96,18.87,23.36,14.26,12.92,30.14,20.39,20.39
45,EBIT Margin,4.62%,-3.51%,-2.56%,-1.92%,8.80%,2.38%,4.83%,0.90%,16.44%,15.17%,13.47%,9.13%,23.46%,16.24%,16.24%
46,Effective Tax Rate,-,-,-,-,-,-,9.11%,-,4.35%,9.49%,8.85%,4.50%,15.97%,10.70%,10.70%
47,Revenue as Reported,117.78,123.15,90.52,115.4,112.81,119.66,87.19,106.69,114.77,153.96,105.93,141.49,128.47,125.59,125.59
