,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,223,293,402,581,1922,2533,16204,18956,20397,21184,24459
1,Market Cap Growth,-49.62%,-49.62%,-79.09%,-77.07%,-88.14%,-86.64%,-20.56%,-10.52%,-16.61%,2.96%,15.87%
2,Enterprise Value,72303,76784,70514,76668,80784,66909,81618,64609,71035,71510,72977
3,Last Close Price,0.05,0.07,0.09,0.13,0.44,0.58,3.71,4.34,4.52,4.69,5.31
4,PE Ratio,-,-,-,-,-,-,-,5.36,6.48,7.88,8.72
5,Forward PE,-,0.32,0.32,0.32,0.97,1.22,4.26,5.03,5.06,5.28,5.29
6,PS Ratio,0.00,0.01,0.01,0.02,0.07,0.06,0.36,0.42,0.48,0.58,0.67
7,PB Ratio,0.09,0.09,0.06,0.04,0.10,0.06,0.32,0.34,0.46,0.58,0.70
8,P/TBV Ratio,-,-,-,0.19,0.36,0.14,0.68,0.78,0.88,1.15,1.33
9,P/FCF Ratio,4.05,-,0.17,-1.21,-,0.16,1.13,6.50,9.23,-3.62,-
10,P/OCF Ratio,16.65,-,0.17,-1.34,-,0.16,1.13,6.41,9.06,-3.64,-
11,PEG Ratio,-,-,-,-,-,-,0.24,0.13,0.13,0.13,0.14
12,EV/Sales Ratio,1.50,1.59,1.65,2.25,2.76,1.69,1.80,1.43,1.66,1.95,2.00
13,EV/EBITDA Ratio,-,-,-,-7.85,-,-,38.70,12.87,13.30,15.31,15.28
14,EV/EBIT Ratio,-,-,-,-7.83,-,-,40.18,13.06,13.47,15.51,15.49
15,EV/FCF Ratio,1315.47,-,29.28,-159.11,-,4.29,5.68,22.15,32.14,-12.23,-
16,Debt / Equity Ratio,20.05,20.05,10.15,4.02,3.64,1.91,1.84,1.54,1.79,1.92,1.89
17,Debt / FCF Ratio,1201.72,-,28.55,-136.20,-,4.82,6.42,29.85,36.21,-11.94,-
18,Return on Capital Employed (ROCE),-,-,-,-48.80%,-,-,2.01%,4.09%,4.98%,5.23%,5.79%
19,Earnings Yield,-4508.70%,-3431.99%,-2321.58%,-2180.49%,-757.03%,-131.57%,7.06%,18.66%,15.43%,12.68%,11.46%
20,FCF Yield,24.67%,18.78%,599.26%,-82.95%,45.15%,615.94%,88.70%,15.39%,10.84%,-27.61%,-64.49%
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.85%,-5.94%,-5.02%,
22,Total Shareholder Return,-,-,-,-,-,-,-,-0.85%,-5.94%,-5.02%,
