,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,27123703,28109996,29836049,28973023,30719623,27329163,27534646,25068856,22740056,24657892,20959208,23014032,34795025,37397802,32740200,33644325,26466138
1,Market Cap Growth,2.86%,2.86%,8.36%,15.57%,35.09%,10.83%,31.37%,8.93%,-34.65%,-34.07%,-35.98%,-31.60%,31.47%,-,-,-,-
2,Last Close Price,11000.00,11400.00,12100.00,11750.00,12458.33,11083.33,11166.67,10166.67,9222.22,10000.00,8500.00,9333.33,14111.11,15166.67,13277.78,13644.44,10733.33
3,PE Ratio,8.61,8.86,13.62,9.90,9.80,8.27,6.57,6.02,5.99,7.11,5.90,6.33,8.70,8.57,10.17,16.20,25.48
4,PS Ratio,3.50,3.60,4.61,3.99,4.21,3.74,3.34,3.06,2.90,3.30,2.84,3.14,4.57,4.72,5.56,8.73,13.73
5,PB Ratio,0.86,0.89,0.98,0.96,1.02,0.96,-,0.92,0.83,0.98,0.83,0.99,1.50,1.72,1.50,-,1.52
6,P/FCF Ratio,-,-,-,-,-,-,-3.84,-,-,13.01,11.55,-,-,-2.47,-1.97,-,-
7,P/OCF Ratio,-,-,-,-,-,-,-5.04,-,-,4.90,6.07,-,-,-2.49,-1.98,-,-
8,Debt / Equity Ratio,1.74,1.74,1.42,1.26,1.26,1.61,-,1.54,1.54,1.60,1.60,1.40,1.40,1.82,1.82,-,1.58
9,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,21.30,22.25,-,-,-2.62,-2.39,-,-
10,Return on Equity (ROE),14.88%,4.58%,11.08%,-,-,-,15.01%,15.59%,16.77%,17.51%,12.02%,12.38%,20.96%,-,-,-,
11,Return on Assets (ROA),1.69%,0.55%,1.40%,-,-,-,1.94%,2.02%,2.18%,2.21%,1.47%,1.49%,2.48%,-,-,-,
12,Earnings Yield,11.70%,11.29%,7.34%,10.10%,10.14%,12.09%,15.22%,16.62%,16.88%,14.23%,17.14%,15.97%,11.61%,11.78%,9.96%,6.30%,4.00%
13,FCF Yield,-110.07%,-106.21%,-103.91%,-23.97%,-38.17%,-60.39%,-26.04%,-43.53%,-19.83%,7.68%,8.66%,7.53%,-19.26%,-40.47%,-50.83%,-53.94%,-34.29%
14,Payout Ratio,0.00%,0.00%,-,0.00%,0.00%,0.00%,-,-,-,-,-,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
15,Buyback Yield / Dilution,0.38%,-2.16%,1.22%,2.40%,-,-1.04%,-1.23%,-2.46%,-,-,-,-,-,-,-,-,-
16,Total Shareholder Return,0.38%,-2.16%,1.22%,2.40%,-,-1.04%,-1.23%,-2.46%,-,-,-,-,-,-,-,-,-
