,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,787774,42988036,41059018,41059018,779734,-,20684402,20684402,19219689,19219689,24869810,24869810,21844978,21844978,-,-
1,Investment Securities,91511585,50024636,31586558,31586558,72595670,-,45517982,45517982,37333105,37333105,35727186,35727186,40968392,40968392,-,-
2,Trading Asset Securities,-,63752,175996,175996,41474,-,119509,119509,502882,502882,957912,957912,4690807,4690807,-,-
3,Total Investments,91511585,50088389,31762554,31762554,72637144,-,45637491,45637491,37835986,37835986,36685098,36685098,45659199,45659199,-,-
4,Gross Loans,176127340,160750529,155751283,155751283,149353668,-,130485190,130485190,122013267,122013267,112743534,112743534,103514517,103514517,-,-
5,Allowance for Loan Losses,-2587418,-2735500,-2621456,-2621456,-2506281,-,-1930860,-1930860,-1582265,-1582265,-1316978,-1316978,-1116105,-1116105,-,-
6,Net Loans,173539922,158015029,153129828,153129828,146847387,-,128554330,128554330,120431002,120431002,111426556,111426556,102398412,102398412,-,-
7,"Property, Plant & Equipment",341300,319055,2162524,2162524,269541,-,3317901,3317901,3308185,3308185,1942003,1942003,1941876,1941876,-,-
8,Other Intangible Assets,289207,291558,282738,282738,285024,-,294361,294361,304732,304732,308746,308746,269598,269598,-,-
9,Accrued Interest Receivable,2778453,2459672,2142299,2142299,2528258,-,2292423,2292423,1933891,1933891,1336634,1336634,1459655,1459655,-,-
10,Other Receivables,7088039,6135736,1403161,1403161,7861986,-,962410,962410,1762614,1762614,4007068,4007068,5062537,5062537,-,-
11,Restricted Cash,2377473,3153567,1220568,1220568,6965365,-,2876886,2876886,3225387,3225387,2771861,2771861,3852855,3852855,-,-
12,Other Current Assets,-,-,4106466,4106466,-,-,2347431,2347431,2757904,2757904,1680295,1680295,1629594,1629594,-,-
13,Other Real Estate Owned & Foreclosed,-,-,1614133,1614133,-,-,4323739,4323739,3214650,3214650,3828573,3828573,372330,372330,-,-
14,Other Long-Term Assets,1998619,2050778,311.85,311.85,1939836,-,255.91,255.91,197.62,197.62,-,-,-,-,-,-
15,Total Assets,280712372,265501820,238883600,238883600,240114275,-,211291630,211291630,193994238,193994238,188856642,188856642,184491035,184491035,-,-
16,Accrued Expenses,163334,163334,3615358,3615358,135715,-,1922263,1922263,2685195,2685195,1304883,1304883,1294174,1294174,-,-
17,Interest Bearing Deposits,185456128,183753564,162380667,162380667,152639317,-,134243327,134243327,121657531,121657531,128054096,128054096,118236632,118236632,-,-
18,Non-Interest Bearing Deposits,801888,623060,722468,722468,534246,-,606695,606695,612497,612497,954125,954125,634718,634718,-,-
19,Total Deposits,186258016,184376624,163103135,163103135,153173563,-,134850021,134850021,122270028,122270028,129008222,129008222,118871350,118871350,-,-
20,Short-Term Borrowings,3825798,1521380,997448,997448,94394,-,104073,104073,2594630,2594630,120613,120613,130607,130607,-,-
21,Current Portion of Long-Term Debt,6671808,37026,305322,305322,6210000,-,14291931,14291931,7800000,7800000,1097948,1097948,-,-,-,-
22,Current Income Taxes Payable,-,-,180190,180190,-,-,315172,315172,347196,347196,179803,179803,340907,340907,-,-
23,Accrued Interest Payable,2654975,2696831,3161789,3161789,4694175,-,4081102,4081102,2789922,2789922,2073330,2073330,2192852,2192852,-,-
24,Other Current Liabilities,-,-,29968,29968,-,-,27489,27489,27546,27546,29250,29250,28282,28282,-,-
25,Long-Term Debt,44491017,41691212,36734449,36734449,39768755,-,27673641,27673641,29963016,29963016,31108776,31108776,39596340,39596340,-,-
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,87.9,87.9,-,-
27,Other Long-Term Liabilities,4975729,4521417,613732,613732,7501969,-,753631,753631,244466,244466,786868,786868,231427,231427,-,-
28,Total Liabilities,249040677,235007825,208741390,208741390,211578571,-,184019323,184019323,168721998,168721998,165709692,165709692,162686026,162686026,-,-
29,Common Stock,24657892,20548243,20548243,20548243,20548243,-,13698829,13698829,13698829,13698829,13698829,13698829,13698829,13698829,-,-
30,Additional Paid-In Capital,53272,53272,53272,53272,53272,-,1702686,1702686,1702686,1702686,1702686,1702686,1702686,1702686,-,-
31,Retained Earnings,6960157,9913483,9566297,9566297,7933814,-,11877859,11877859,9870350,9870350,7751360,7751360,6403120,6403120,-,-
32,Comprehensive Income & Other,374.06,-21003,-25603,-25603,374.06,-,-7068,-7068,374.06,374.06,-5925,-5925,374.06,374.06,-,-
33,Shareholders' Equity,31671694,30493995,30142210,30142210,28535703,-,27272307,27272307,25272239,25272239,23146950,23146950,21805009,21805009,-,17435383
34,Total Liabilities & Equity,280712372,265501820,238883600,238883600,240114275,-,211291630,211291630,193994238,193994238,188856642,188856642,184491035,184491035,-,-
35,Total Debt,54988623,43249618,38037220,38037220,46073149,-,42069646,42069646,40357645,40357645,32327337,32327337,39726947,39726947,-,27590555
36,Net Cash (Debt),-15278299,-197830,3197795,3197795,-12948027,-,-21265734,-21265734,-20635074,-20635074,-6499614,-6499614,-13191162,-13191162,-,-10474886
37,Net Cash Per Share,-6002.71,-80.23,1296.86,1296.86,-5197.06,-,-8417.25,-8624.31,-8368.55,-8368.55,-2635.92,-2635.92,-5349.67,-5349.67,-,-4248.09
38,Filing Date Shares Outstanding,2466,2466,2466,2466,2466,2496,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466
39,Total Common Shares Outstanding,2466,2466,2466,2466,2466,2496,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466
40,Book Value Per Share,12844.45,12366.83,12224.16,12224.16,11572.65,-,11060.28,11060.28,10249.15,10249.15,9387.24,9387.24,8843.01,8843.01,-,7745.04
41,Tangible Book Value,31382488,30202437,29859472,29859472,28250679,-,26977946,26977946,24967508,24967508,22838203,22838203,21535411,21535411,-,17162217
42,Tangible Book Value Per Share,12727.16,12248.59,12109.50,12109.50,11457.05,-,10940.90,10940.90,10125.56,10125.56,9262.03,9262.03,8733.68,8733.68,-,7623.70
