,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 6, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,673,442,340,381,408,381,789,809,816,884,938
1,Market Cap Growth,16.07%,16.07%,-16.67%,0%,-48.28%,-52.94%,-3.33%,-8.46%,-13.04%,-5.11%,-8.00%
2,PE Ratio,9.91,6.50,4.76,4.84,5.95,10.16,15.27,9.99,16.72,27.56,13.02
3,PS Ratio,6.28,4.12,2.73,2.77,2.83,2.76,5.07,5.81,9.23,10.35,6.77
4,PB Ratio,0.54,0.33,0.24,0.28,0.29,0.27,0.53,0.54,0.56,0.68,0.68
5,P/FCF Ratio,4.31,2.83,4.58,-,1.69,-59.01,-,6.34,11.64,3.64,5.98
6,P/OCF Ratio,2.07,2.07,4.56,-,1.68,-497.06,-,6.20,10.00,3.51,5.96
7,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.03,0.05,0.09,0.02,0.04,0.04,0.06
8,Debt / FCF Ratio,0.07,0.07,0.17,-,0.19,-11.11,-,0.19,0.85,0.23,0.51
9,Earnings Yield,10.09%,15.37%,21.00%,20.68%,16.82%,9.84%,6.55%,10.01%,5.98%,3.63%,7.68%
10,Earnings Yield,10.09%,15.37%,21.00%,20.68%,16.82%,9.84%,6.55%,10.01%,5.98%,3.63%,7.68%
11,FCF Yield,23.23%,35.38%,21.82%,42.91%,59.18%,-1.69%,6.06%,15.77%,8.59%,27.47%,16.72%
12,Total Shareholder Return,5.55%,-,-,-,-,-,-,-,-,-,-
