,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,3494,3777,4624,4082,7642,870.31,627.52,857.62,-,-,-
1,Trading Asset Securities,-,2598,2869,1883,2609,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,6092,6092,6646,6507,6690,7642,870.31,627.52,857.62,-,-,918.18
3,Cash Growth,-8.94%,-20.28%,663.67%,936.88%,680.09%,-,-,-31.66%,-,-,-,-
4,Accounts Receivable,-,2477,2128,1994,1768,2107,1727,1640,1435,-,-,-
5,Other Receivables,-,1.94,2.64,1.58,1.81,1.27,-0.21,0.29,0.77,-,-,-
6,Receivables,-,2479,2130,1996,1770,2108,1727,1641,1436,-,-,-
7,Inventory,-,1204,1221,1266,1244,1106,1268,1263,1195,-,-,-
8,Other Current Assets,-,1123,831.28,1182,1171,66.75,63.53,42.62,47.17,-,-,-
9,Total Current Assets,-,10898,10829,10950,10876,10923,3928,3574,3536,-,-,-
10,"Property, Plant & Equipment",-,483.77,468.93,466.6,407.96,290.96,296.43,294.56,264.74,-,-,-
11,Other Intangible Assets,-,124.33,133.64,143.35,153.05,161.34,169.43,177.19,186.61,-,-,-
12,Long-Term Deferred Tax Assets,-,46.14,45.51,44.97,37.57,36.31,36.35,38.03,37.28,-,-,-
13,Other Long-Term Assets,-,33.79,28.88,27.52,29.36,36.81,28.31,28.24,54.66,-,-,-
14,Total Assets,-,11586,11506,11632,11504,11449,4459,4112,4080,-,-,-
15,Accounts Payable,-,974.81,951.85,1041,1090,1121,1136,840.92,940.15,-,-,-
16,Accrued Expenses,-,75.78,82.59,48.18,33.88,73.63,59.95,47.15,30.52,-,-,-
17,Current Portion of Leases,-,-,51.16,-,35.87,-,29.48,29.16,29.5,-,-,-
18,Current Income Taxes Payable,-,13.26,2.35,1.23,1.37,16.16,-,8.85,0.67,-,-,-
19,Current Unearned Revenue,-,41.01,41.03,43.47,37.26,12.68,33.56,14.93,14.01,-,-,-
20,Other Current Liabilities,-,174.18,103.3,224.18,229.76,239.85,253.53,363.74,380.91,-,-,-
21,Total Current Liabilities,-,1279,1232,1358,1428,1463,1513,1305,1396,-,-,-
22,Long-Term Leases,-,67.84,81.32,89.64,48.36,34.17,33.42,47.45,46.65,-,-,-
23,Long-Term Deferred Tax Liabilities,-,22.19,22.82,24.6,14.61,9.84,10.24,11.53,12.17,-,-,-
24,Other Long-Term Liabilities,-,0.09,-1.83,-1.42,-0.22,-1.26,15.21,34.36,34.35,-,-,-
25,Total Liabilities,-,1369,1335,1470,1491,1506,1572,1398,1489,-,-,-
26,Common Stock,-,450,450,450,450,450,360,360,360,-,-,-
27,Additional Paid-In Capital,-,8468,8468,8468,8468,8468,1651,1651,1651,-,-,-
28,Retained Earnings,-,1288,1244,1236,1088,1015,867.35,692.46,571.52,-,-,-
29,Comprehensive Income & Other,-,10.88,8.99,7.34,6.52,9.65,9.12,10.5,8.68,-,-,-
30,Shareholders' Equity,10217,10217,10171,10162,10013,9943,2887,2714,2591,-,-,2170
31,Total Liabilities & Equity,-,11586,11506,11632,11504,11449,4459,4112,4080,-,-,-
32,Total Debt,67.84,67.84,132.49,89.64,84.24,34.17,62.9,76.62,76.16,-,-,89.33
33,Net Cash (Debt),6025,6025,6514,6417,6606,7608,807.41,550.9,781.46,-,-,828.85
34,Net Cash Growth,-8.80%,-20.81%,706.75%,1064.82%,745.33%,-,-,-33.53%,-,-,-,-
35,Net Cash Per Share,13.29,13.49,14.38,14.30,14.79,18.05,2.21,1.55,2.16,-,-,2.30
36,Filing Date Shares Outstanding,450,450,450,450,450,450,450,360,360,356.9,360.31,360.31
37,Total Common Shares Outstanding,450,450,450,450,450,450,360,360,360,356.9,360.31,360.31
38,Working Capital,-,9619,9597,9592,9448,9460,2415,2269,2141,-,-,-
39,Book Value Per Share,22.70,22.70,22.60,22.58,22.25,22.10,8.02,7.54,7.20,-,-,6.03
40,Tangible Book Value,10093,10093,10038,10019,9860,9782,2718,2536,2404,-,-,2156
41,Tangible Book Value Per Share,22.43,22.43,22.31,22.26,21.91,21.74,7.55,7.05,6.68,-,-,5.99
42,Buildings,-,-,125.88,-,125.88,-,125.29,125.09,125.09,-,-,-
43,Machinery,-,-,477.72,-,466.82,-,443.35,428.54,399.91,-,-,-
44,Construction In Progress,-,-,121.77,-,107.76,-,27.52,36.59,24.08,-,-,-
