,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,735.96,695.83,821.7,678.61,570.88,893.86,718.58,582.38,492.78,722.32,549.38,549.38
1,Other Revenue,-,-9.23,9.23,-,36.96,-17.17,17.17,-,21.51,-10.19,5.1,5.1
2,Revenue,735.96,686.6,830.94,678.61,607.83,876.68,735.76,582.38,514.29,712.13,554.48,554.48
3,Revenue Growth (YoY),21.08%,-21.68%,12.94%,16.52%,18.19%,23.11%,32.69%,5.03%,-,-,-,-
4,Cost of Revenue,763.28,463.32,588.81,472.63,479.08,584.98,480.36,371.86,391.13,443.88,357.58,357.58
5,Gross Profit,-27.33,223.27,242.12,205.99,128.76,291.7,255.4,210.52,123.16,268.25,196.89,196.89
6,"Selling, General & Admin",-69.22,21.84,20.24,27.14,29.26,23.78,19.73,23.9,26.45,19.3,17.82,17.82
7,Research & Development,-173.54,70.65,53.56,49.33,53.12,56.91,55.75,38.11,54.22,40.29,46.3,46.3
8,Other Operating Expenses,0.82,-1.03,2.56,-2.35,-6.49,2.91,3.09,4.76,1.02,0.44,0.86,0.86
9,Operating Expenses,-270.29,80.2,118.85,71.24,70.54,71.03,96.72,70.53,48.87,93.4,66.78,66.78
10,Operating Income,242.96,143.07,123.28,134.75,58.21,220.68,158.68,139.99,74.28,174.85,130.11,130.11
11,Interest Expense,-40.35,-1.43,-2.14,-1.86,-1.74,-1.57,-1.21,-1.49,-1.68,-1.98,-1.97,-1.97
12,Interest & Investment Income,5.43,11.55,11.53,17.27,23.14,27.42,0.82,1.14,0.62,1.48,1.82,1.82
13,Currency Exchange Gain (Loss),-,-1.89,1.89,-,7.92,-11.89,11.89,-,16.8,-9.32,4.66,4.66
14,Other Non Operating Income (Expenses),0.65,-1.42,-0.92,0.78,-11.43,10.32,3.79,-3.81,-20.21,22.5,-1.19,-1.19
15,EBT Excluding Unusual Items,208.7,149.87,133.64,150.94,76.1,244.96,173.97,135.83,69.81,187.53,133.42,133.42
16,Gain (Loss) on Sale of Investments,-46.51,13.56,17.32,15.63,8.63,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.77,-0.77,-,-0.83,0.89,-0.89,-,0.08,-0.22,0.11,0.11
18,Asset Writedown,-3.65,3.65,0.55,-0.55,-5.88,5.88,-0.39,0.39,2.33,-2.33,-,-
19,Other Unusual Items,0.84,-32.65,31.81,-0.01,7.39,-17.38,17.38,-,-35.82,13.97,-6.98,-6.98
