,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,24462,25128,24750,23796,24165,27540,27842,-,-,-,-,-,-
1,Market Cap Growth,-8.76%,-8.76%,-11.10%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,18437,19103,18236,17379,17559,19932,27034,-,-,-,-,-,-
3,Last Close Price,54.36,55.84,54.82,52.70,53.20,60.63,61.16,-,-,-,-,-,-
4,PE Ratio,42.14,43.25,48.60,40.23,40.05,47.79,51.26,-,-,-,-,-,-
5,Forward PE,28.41,30.74,31.44,29.79,32.25,38.09,41.02,-,-,-,-,-,-
6,PS Ratio,8.35,8.57,8.83,7.95,8.34,9.83,10.28,-,-,-,-,-,-
7,PB Ratio,2.39,2.46,2.42,2.34,2.38,2.75,2.80,-,-,-,-,-,-
8,P/TBV Ratio,2.49,2.49,2.45,2.37,2.41,2.79,2.85,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,356.05,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,525.59,-,103.79,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.29,6.52,6.50,5.80,6.06,7.11,9.98,-,-,-,-,-,-
12,EV/EBITDA Ratio,25.84,26.71,34.38,29.04,28.20,32.24,42.79,-,-,-,-,-,-
13,EV/EBIT Ratio,28.63,29.66,39.70,32.37,30.68,34.51,45.54,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,257.69,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.03,0.03,-,-,0.04
16,Debt / EBITDA Ratio,0.10,0.07,0.11,0.20,0.15,0.19,0.04,0.09,0.13,0.16,-,-,0.15
17,Debt / FCF Ratio,-,-,-,-,-,1.09,-,0.25,-,-4.08,-,-,-
18,Asset Turnover,-,0.24,0.29,0.23,0.21,0.44,0.69,0.57,-,-,-,-,
19,Inventory Turnover,-,-,1.53,1.89,1.51,1.63,1.97,1.52,1.21,-,-,-,-
20,Quick Ratio,-,-,6.70,7.12,6.26,5.92,6.66,1.72,1.74,1.64,-,-,-
21,Current Ratio,-,-,8.52,8.79,8.07,7.62,7.47,2.60,2.74,2.53,-,-,-
22,Return on Equity (ROE),5.68%,4.90%,6.41%,5.87%,2.94%,12.91%,24.98%,18.24%,-,-,-,-,
23,Return on Assets (ROA),-,3.10%,2.66%,2.91%,1.27%,6.94%,9.26%,8.54%,-,-,-,-,
24,Return on Capital (ROIC),5.91%,3.47%,3.00%,3.31%,1.45%,8.54%,13.82%,12.83%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,4.46%,5.23%,5.57%,5.73%,5.94%,18.60%,18.50%,18.98%,-,-,-
26,Earnings Yield,2.38%,2.31%,2.06%,2.49%,2.50%,2.09%,1.95%,-,-,-,-,-,-
27,FCF Yield,-,-1.00%,-0.68%,0.40%,0.28%,0.51%,-,-,-,-,-,-,
28,Dividend Yield,0.96%,-,-,1.00%,-,0.79%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,39.00%,95.26%,-,81.04%,-,-,-,-,-,8.88%,8.88%
30,Buyback Yield / Dilution,-13.35%,-1.51%,-5.99%,-23.79%,-26.18%,-23.58%,-18.08%,-1.53%,1.27%,-,-,-,-
31,Total Shareholder Return,-12.39%,-1.51%,-5.99%,-22.80%,-26.18%,-22.79%,-18.08%,-1.53%,1.27%,-,-,-,-
