,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1463,1573,1483,921.39,964.79,1140,994.02,615.78,777.95,909.96,714.42,353.72,499.64,312.82,275.22
1,Other Revenue,177.69,-,-,-,173.76,-,-,-,116.99,-27.39,27.39,-,-37.23,37.23,-
2,Revenue,1641,1573,1483,921.39,1139,1140,994.02,615.78,894.94,882.58,741.81,353.72,462.4,350.06,275.22
3,Revenue Growth (YoY),44.14%,37.96%,49.14%,49.63%,27.22%,29.17%,34.00%,74.09%,93.54%,152.12%,169.53%,-,-,-,-
4,Cost of Revenue,846.04,842.04,712.65,494.64,634,484.31,524.22,279.53,435.99,463.61,398.28,186.92,279.88,210.69,149.52
5,Gross Profit,795.03,730.72,769.85,426.74,504.55,655.68,469.81,336.25,458.94,418.96,343.53,166.81,182.53,139.37,125.7
6,"Selling, General & Admin",180.01,148.59,220.58,172.64,95.4,188.2,99.02,94.63,124.08,111.37,68.26,61.13,57.56,51.85,43.35
7,Research & Development,190.08,192.65,178.4,167.82,218.5,183.84,115.34,97.65,125.64,101.26,72.38,80.47,69.82,65.22,48.98
8,Other Operating Expenses,2.82,14.86,5.19,-12.98,12.6,-9.08,3.63,-2.3,11.06,-4.7,-1.02,-1.99,-19.81,-14.38,-13.57
9,Operating Expenses,399.19,373.11,410.91,341.47,350.08,370.51,228.17,195.02,269.98,213.63,141.31,144.01,109.15,102.43,80.99
10,Operating Income,395.85,357.61,358.95,85.27,154.47,285.17,241.63,141.23,188.97,205.34,202.21,22.8,73.38,36.94,44.72
11,Interest Expense,-8.13,-7.92,-6.02,-4.82,-4.92,-5.03,-5.12,-5.01,-4.75,-3.06,-2.28,-1.92,-1.56,-1.09,-1.95
12,Interest & Investment Income,26.44,21.31,15.19,12.58,30.49,19.68,53.46,16.55,34.14,2.04,13.33,11.1,0.13,0.11,0.21
13,Currency Exchange Gain (Loss),12.72,-12.9,12.9,-,19,-27.23,27.23,-,58.94,-17.99,17.99,-,2.87,-2.87,-
14,Other Non Operating Income (Expenses),17.31,-17.89,-8.64,6.82,-28.85,28.88,13.76,-15.21,-64.97,63.19,5.41,-5.35,-3.34,-2.94,3.29
15,EBT Excluding Unusual Items,444.19,340.22,372.39,99.86,170.19,301.47,330.96,137.56,212.33,249.52,236.66,26.62,71.48,30.15,46.27
16,Gain (Loss) on Sale of Investments,24.71,7.12,14.18,-21.96,2.38,-9.05,-4.93,19.81,10.33,-12.74,-3.27,-24.5,-6.59,24.06,-7.28
17,Gain (Loss) on Sale of Assets,-0,0,-0,-0,-0.01,0.01,-0.01,-,-0.06,0.02,-0.02,-,-,-,-
18,Asset Writedown,26.73,-26.73,7.33,-7.33,37.27,-37.27,2.19,-2.19,13.19,-13.19,3.84,-3.84,0.23,-0.05,0.05
19,Other Unusual Items,2.04,14.34,3.57,0.02,15.43,-5.79,5.79,-,21.79,-,-,-,-0.05,0.05,-
20,Pretax Income,497.66,334.95,397.48,70.58,225.26,249.37,334.01,155.18,257.58,223.62,237.22,-1.72,65.07,54.21,39.04
21,Income Tax Expense,102.66,19.95,34.48,-9.6,-12.64,16.19,25.51,24.24,29.94,19.36,4.94,-6.03,6.02,2.23,1.34
22,Earnings From Continuing Operations,395,315,363,80.18,237.9,233.18,308.51,130.94,227.64,204.26,232.28,4.31,59.05,51.98,37.7
23,Minority Interest in Earnings,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,395,315,363,80.18,237.9,233.18,308.51,130.94,227.64,204.26,232.28,4.31,59.05,51.98,37.7
25,Net Income to Common,395,315,363,80.18,237.9,233.18,308.51,130.94,227.64,204.26,232.28,4.31,59.05,51.98,37.7
26,Net Income Growth,66.04%,35.09%,17.66%,-38.76%,4.51%,14.16%,32.82%,2937.19%,285.50%,292.97%,516.16%,-,-,-,-
27,Shares Outstanding (Basic),440,438,424,445,441,432,434,436,440,436,429,431,394,403,377
28,Shares Outstanding (Diluted),440,444,441,445,449,457,434,436,440,436,445,431,394,403,377
29,Shares Change (YoY),-2.01%,-2.97%,1.65%,2.06%,2.13%,4.83%,-2.56%,1.24%,11.50%,8.31%,18.08%,-,-,-,-
30,EPS (Basic),0.90,0.72,0.86,0.18,0.54,0.54,0.71,0.30,0.52,0.47,0.54,0.01,0.15,0.13,0.10
31,EPS (Diluted),0.90,0.71,0.82,0.18,0.53,0.51,0.71,0.30,0.52,0.47,0.52,0.01,0.15,0.13,0.10
32,EPS Growth,69.45%,39.22%,15.75%,-40.00%,2.33%,8.90%,36.31%,2900.00%,245.74%,262.82%,421.81%,-,-,-,-
33,Free Cash Flow,534.24,-54.44,400.33,-237.83,-261.38,-201.4,-30.16,-332.45,-432.3,-122.16,-221.59,-178.23,-11.86,-55.45,77.34
34,Free Cash Flow Per Share,1.21,-0.12,0.91,-0.53,-0.58,-0.44,-0.07,-0.76,-0.98,-0.28,-0.50,-0.41,-0.03,-0.14,0.21
35,Dividend Per Share,0.657,-,-,-,0.627,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,4.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,48.45%,46.46%,51.93%,46.32%,44.32%,57.52%,47.26%,54.61%,51.28%,47.47%,46.31%,47.16%,39.47%,39.81%,45.67%
38,Operating Margin,24.12%,22.74%,24.21%,9.26%,13.57%,25.02%,24.31%,22.93%,21.12%,23.27%,27.26%,6.44%,15.87%,10.55%,16.25%
39,Profit Margin,24.07%,20.03%,24.49%,8.70%,20.89%,20.45%,31.04%,21.26%,25.44%,23.14%,31.31%,1.22%,12.77%,14.85%,13.70%
40,Free Cash Flow Margin,32.55%,-3.46%,27.00%,-25.81%,-22.96%,-17.67%,-3.03%,-53.99%,-48.31%,-13.84%,-29.87%,-50.39%,-2.57%,-15.84%,28.10%
41,EBITDA,408.18,367.94,370,95.6,166.44,290.66,252.08,146.71,194.45,207.53,207.13,24.99,74.54,39.32,45.88
42,EBITDA Margin,24.87%,23.39%,24.96%,10.38%,14.62%,25.50%,25.36%,23.83%,21.73%,23.51%,27.92%,7.07%,16.12%,11.23%,16.67%
43,D&A For EBITDA,12.34,10.33,11.05,10.33,11.97,5.49,10.45,5.49,5.49,2.2,4.92,2.2,1.17,2.38,1.17
44,EBIT,395.85,357.61,358.95,85.27,154.47,285.17,241.63,141.23,188.97,205.34,202.21,22.8,73.38,36.94,44.72
45,EBIT Margin,24.12%,22.74%,24.21%,9.25%,13.57%,25.02%,24.31%,22.93%,21.12%,23.27%,27.26%,6.44%,15.87%,10.55%,16.25%
46,Effective Tax Rate,20.63%,5.96%,8.67%,-,-,6.49%,7.64%,15.62%,11.62%,8.66%,2.08%,-,9.25%,4.12%,3.44%
47,Revenue as Reported,1641,1573,1483,921.39,1139,1140,994.02,615.78,894.94,882.58,741.81,353.72,462.4,350.06,275.22
