,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2635,2007,2161,1430,1523,1260,1741,1658,1562,2211,1996,2237,-,253.83,-
1,Short-Term Investments,50.54,-,71.67,-,21.38,-,43.79,-,-,-,474.42,-,-,-,-
2,Trading Asset Securities,138.14,140.4,133.29,119.1,141.21,156.81,46.07,92.51,140.73,100.6,160.36,163.63,-,201.92,-
3,Cash & Short-Term Investments,2823,2148,2366,1549,1686,1417,1831,1750,1703,2311,2631,2400,-,455.74,455.48
4,Cash Growth,67.46%,51.60%,29.25%,-11.50%,-1.01%,-38.70%,-30.41%,-27.08%,-,407.16%,477.55%,-,-,-,-
5,Accounts Receivable,2202,2026,1556,1585,1610,1263,1215,1176,1093,962.45,777.37,525.38,-,307.58,-
6,Other Receivables,34.27,122.83,76.35,95.45,79.26,81.26,61.22,94.03,151.63,45.84,29.09,9.16,-,41.74,-
7,Receivables,2236,2148,1633,1680,1689,1344,1276,1271,1245,1008,806.46,534.54,-,349.32,-
8,Inventory,4232,4359,4388,4200,3925,3605,3315,3156,2690,2308,1937,1728,-,935.19,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75,-
10,Other Current Assets,204.31,287.56,321.35,405.47,288.91,304.12,285.16,279.41,662.65,685.19,224.39,752.8,-,81.29,-
11,Total Current Assets,9496,8943,8708,7835,7589,6670,6708,6456,6300,6313,5598,5416,-,1823,-
12,"Property, Plant & Equipment",1795,1683,1593,1520,1435,1208,1154,1037,568.06,466.96,385.22,374.49,-,81.61,-
13,Long-Term Investments,300.5,172.1,274.43,158.93,413.31,113.61,910.47,69.37,78.33,92.88,567.04,61.72,-,30.58,-
14,Other Intangible Assets,93.18,89.36,90.9,91.78,91.06,89.82,90.7,85.15,86.61,66.91,65.45,66.09,-,69.92,-
15,Long-Term Deferred Tax Assets,106.99,134.27,127.98,130.98,95.8,57.74,38.69,30.17,16.18,16.38,9.2,9.07,-,1.92,-
16,Long-Term Deferred Charges,191.25,156.06,127.38,120,86.7,80.68,76.15,51.39,52.8,69.27,55.49,47.57,-,9.59,-
17,Other Long-Term Assets,145.94,188.04,77.76,271.86,42.78,868.8,24.44,863.06,1073,524.06,17.04,524.57,-,277.02,-
18,Total Assets,12128,11366,11000,10128,9754,9089,9002,8592,8176,7550,6697,6500,-,2294,-
19,Accounts Payable,1488,1719,1568,1428,1491,1236,1041,1071,961.44,837.54,806.11,786.02,-,509.08,-
20,Accrued Expenses,263.02,126.77,213.65,112.82,163.92,97.81,165.58,91.88,132.78,44.74,74.93,56.62,-,24.32,-
21,Short-Term Debt,236.04,236.84,388.09,388.37,222.19,243.62,390.34,390.37,390.37,360.31,33.2,61.8,-,143.5,-
22,Current Portion of Long-Term Debt,220.35,230.69,140.01,61.25,48.08,68.08,23.48,29.93,16.26,25.52,15.73,28.7,-,11.71,-
23,Current Portion of Leases,14.31,-,17.31,-,18.63,-,21.23,-,9.63,-,13.09,-,-,15.28,-
24,Current Income Taxes Payable,145.66,86.34,-,69.97,39.46,62.69,60.94,54,42.74,40.97,10.14,7.98,-,3.99,-
25,Current Unearned Revenue,1106,921.14,1042,936.31,876.31,745.05,1016,944.26,822.06,661.63,398.1,443.45,-,232.72,-
26,Other Current Liabilities,55.9,83.74,282.32,90.93,18.79,50.67,178.81,59.2,21.25,46.57,22.98,39.14,-,4.45,-
27,Total Current Liabilities,3530,3405,3651,3088,2879,2504,2897,2641,2397,2017,1374,1424,-,945.06,-
28,Long-Term Debt,758.19,643.34,405.17,279.25,282.29,285.37,114.87,125.39,130.13,133.59,138.54,141.86,-,120.91,-
29,Long-Term Leases,21.62,17.04,19.81,20.48,23.25,23.78,26.7,37.41,7.73,9.46,11.37,12.59,-,18.39,-
30,Long-Term Unearned Revenue,57.9,29.99,30.75,31.59,34.29,37.14,41.53,44.65,46.98,44.05,49.23,50,-,27.29,-
31,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,8.11,-,-,-,-,-,-,-
32,Other Long-Term Liabilities,87.6,80.16,80.55,78.17,71.19,85.95,67.34,72.12,66.72,61.58,56.41,46.68,-,32.21,-
33,Total Liabilities,4463,4184,4195,3504,3296,2936,3148,2929,2652,2266,1630,1675,-,1147,-
34,Common Stock,438.74,436.15,436.15,435.71,435.71,435.71,435.71,433.56,433.56,433.56,433.56,433.56,-,390.2,-
35,Additional Paid-In Capital,4388,4305,4240,4150,4064,3993,3928,3892,3882,3870,3860,3851,-,-,-
36,Retained Earnings,2834,2439,2124,2034,1954,1716,1483,1336,1205,976.93,772.67,540.4,-,359.51,-
37,Comprehensive Income & Other,5.24,1.36,4.65,4.48,5.21,7.15,8.27,2.29,3.71,3.19,1.57,0.25,-,397.72,-
38,Total Common Equity,7666,7182,6805,6624,6458,6152,5854,5663,5524,5284,5068,4825,-,1147,1049
39,Minority Interest,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,7666,7182,6805,6624,6458,6152,5854,5663,5524,5284,5068,4825,-,1147,1049
41,Total Liabilities & Equity,12128,11366,11000,10128,9754,9089,9002,8592,8176,7550,6697,6500,-,2294,-
42,Total Debt,1251,1128,970.38,749.35,594.45,620.86,576.62,583.1,554.12,528.89,211.92,244.96,-,309.79,289.03
43,Net Cash (Debt),1573,1020,1396,799.68,1091,795.89,1254,1167,1149,1782,2419,2155,-,145.96,166.44
44,Net Cash Growth,44.09%,28.15%,11.30%,-31.49%,-5.01%,-55.35%,-48.15%,-45.85%,-,1121.22%,1353.16%,-,-,-,-
45,Net Cash Per Share,3.57,2.30,3.17,1.80,2.43,1.74,2.89,2.67,2.61,4.09,5.43,5.00,-,0.36,0.44
46,Filing Date Shares Outstanding,438.74,436.15,436.15,435.71,435.71,431.66,435.71,436.46,439.71,433.56,433.56,433.56,394.36,390.2,376.97
47,Total Common Shares Outstanding,438.74,436.15,436.15,435.71,435.71,431.66,435.71,436.46,439.71,433.56,433.56,433.56,394.36,390.2,376.97
