,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,45234,43874,46010,36859,37819,45492,51318,47865,41574,34641,45142,41088,39194,-,-,-
1,Market Cap Growth,-3.56%,-3.56%,-10.34%,-22.99%,-9.03%,31.32%,13.68%,16.49%,6.07%,-,-,-,-,-,-,-
2,Enterprise Value,43661,42854,44614,36060,36749,44696,50064,46698,40425,32859,42723,38933,35853,-,-,-
3,Last Close Price,103.10,100.00,105.49,83.95,86.22,103.71,116.99,109.27,94.90,79.08,103.05,93.80,89.47,-,-,-
4,PE Ratio,39.50,38.05,46.19,40.32,43.99,49.96,57.00,54.93,52.29,51.82,90.30,118.20,256.10,-,-,-
5,Forward PE,30.07,30.61,40.26,27.13,34.14,45.02,55.37,53.62,53.70,46.85,75.72,94.12,94.17,-,-,-
6,PS Ratio,8.02,7.81,8.99,7.87,9.02,11.70,14.08,14.13,13.26,12.06,18.50,21.53,27.19,-,-,-
7,PB Ratio,5.90,5.72,6.41,5.42,5.71,7.04,8.34,8.18,7.34,6.27,8.54,8.11,8.12,-,-,-
8,P/TBV Ratio,5.79,5.79,6.49,5.49,5.79,7.14,8.46,8.30,7.45,6.37,8.65,8.21,8.24,-,-,-
9,P/FCF Ratio,70.43,68.31,-,-122.75,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,36.08,36.08,115.55,175.56,-,-,-,-364.54,-,-128.91,-,-,-,-,-,-
11,EV/Sales Ratio,7.77,7.63,8.72,7.70,8.76,11.49,13.74,13.79,12.89,11.44,17.51,20.41,24.87,-,-,-
12,EV/EBITDA Ratio,34.39,34.51,44.61,39.08,45.66,52.22,56.64,58.31,53.48,51.82,83.09,112.53,194.07,-,-,-
13,EV/EBIT Ratio,36.45,35.78,46.65,40.80,47.94,54.34,58.42,60.09,54.80,53.06,84.82,116.11,201.61,-,-,-
14,EV/FCF Ratio,67.98,66.72,-,-120.09,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.16,0.16,0.16,0.14,0.11,0.09,0.10,0.10,0.10,0.10,0.10,0.04,0.05,-,0.27,0.28
16,Debt / EBITDA Ratio,0.99,0.73,0.77,0.63,1.96,0.79,0.53,0.55,0.99,0.65,0.64,0.25,2.45,-,1.68,1.57
17,Debt / FCF Ratio,1.95,1.95,-,-3.23,-,-,-,-,-,-,-,-,-,-,-,3.74
18,Asset Turnover,0.56,0.56,0.56,0.37,0.48,0.50,0.45,0.29,0.46,0.50,0.45,-,-,-,-,
19,Inventory Turnover,0.71,0.79,0.77,0.66,0.49,0.67,0.56,0.65,0.38,0.70,0.87,0.87,-,-,-,-
20,Quick Ratio,1.43,1.43,1.26,1.10,1.05,1.17,1.10,1.07,1.14,1.23,1.65,2.50,2.06,-,0.85,-
21,Current Ratio,2.69,2.69,2.63,2.38,2.54,2.64,2.66,2.32,2.44,2.63,3.13,4.07,3.80,-,1.93,-
22,Return on Equity (ROE),21.28%,18.02%,21.62%,4.90%,15.09%,15.54%,21.43%,9.36%,16.85%,15.79%,18.78%,-,-,18.93%,-,
23,Return on Assets (ROA),8.42%,7.99%,8.49%,2.14%,4.10%,7.88%,6.87%,4.21%,6.01%,7.21%,7.66%,-,-,-,-,
24,Return on Capital (ROIC),11.49%,11.12%,11.85%,2.96%,5.59%,10.80%,9.53%,5.73%,7.95%,9.26%,9.77%,-,-,6.61%,-,
25,Return on Capital Employed (ROCE),13.93%,13.93%,12.01%,12.03%,10.89%,11.96%,13.02%,12.73%,12.40%,10.72%,9.11%,6.30%,3.50%,-,6.05%,-
26,Earnings Yield,2.55%,2.63%,2.16%,2.48%,2.27%,2.00%,1.75%,1.82%,1.91%,1.93%,1.11%,0.85%,0.39%,-,-,-
27,FCF Yield,1.42%,1.46%,-0.33%,-0.81%,-1.93%,-1.81%,-1.94%,-1.92%,-2.67%,-2.75%,-1.18%,-1.14%,-0.43%,-,-,-
28,Dividend Yield,0.62%,0.66%,-,-,-,0.60%,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,25.87%,1.93%,88.91%,1.85%,4.90%,1.90%,71.14%,1.52%,3.56%,1.78%,1.40%,1.10%,42.11%,4.48%,7.66%,7.54%
30,Buyback Yield / Dilution,0.52%,2.01%,2.97%,-1.65%,-2.06%,-2.13%,-4.83%,2.56%,-1.24%,-11.50%,-8.31%,-18.08%,-,-,-,-
31,Total Shareholder Return,1.15%,2.67%,2.97%,-1.65%,-2.06%,-1.53%,-4.83%,2.56%,-1.24%,-11.50%,-8.31%,-18.08%,-,-,-,-
