,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Operating Revenue,129.14,124.55,124.55,132.31,104.48,104.48
1,Other Revenue,-1.26,0.63,0.63,-0.7,0.35,0.35
2,Revenue,127.88,125.18,125.18,131.61,104.83,104.83
3,Revenue Growth (YoY),21.99%,19.41%,-,-,-,-
4,Cost of Revenue,92.25,89.95,89.95,88.42,74.7,74.7
5,Gross Profit,35.63,35.23,35.23,43.19,30.13,30.13
6,"Selling, General & Admin",11.99,12.98,12.98,12.49,10.43,10.43
7,Research & Development,6.37,7.23,7.23,7.3,6.12,6.12
8,Other Operating Expenses,-3.34,0.32,0.32,0.18,-0.5,-0.5
9,Operating Expenses,15.22,21.06,21.06,21.1,15.88,15.88
10,Operating Income,20.41,14.17,14.17,22.09,14.25,14.25
11,Interest Expense,-0.15,-0.29,-0.29,-0.14,-0.11,-0.11
12,Interest & Investment Income,1.86,0.8,0.8,0.9,0.64,0.64
13,Currency Exchange Gain (Loss),0.08,-0.04,-0.04,-1.96,0.98,0.98
14,Other Non Operating Income (Expenses),2.07,-0.07,-0.07,2.53,0.44,0.44
15,EBT Excluding Unusual Items,24.26,14.57,14.57,23.44,16.19,16.19
16,Gain (Loss) on Sale of Assets,-,-0.02,-0.02,-,-0,-0
17,Asset Writedown,-2.87,-,-,-2.27,-,-
18,Other Unusual Items,-5.01,2.51,2.51,0.01,-0.01,-0.01
19,Pretax Income,16.37,17.06,17.06,21.18,16.19,16.19
20,Income Tax Expense,1.91,1.68,1.68,2.21,1.41,1.41
21,Earnings From Continuing Operations,14.46,15.37,15.37,18.97,14.77,14.77
22,Minority Interest in Earnings,0,0,0,0,0,0
23,Net Income,14.46,15.37,15.37,18.97,14.77,14.77
24,Net Income to Common,14.46,15.37,15.37,18.97,14.77,14.77
25,Net Income Growth,-2.09%,4.07%,-,-,-,-
26,Shares Outstanding (Basic),57,42,42,42,42,42
27,Shares Outstanding (Diluted),57,42,42,42,42,42
28,Shares Change (YoY),35.16%,-0.21%,-,-,-,-
29,EPS (Basic),0.25,0.36,0.36,0.45,0.35,0.35
30,EPS (Diluted),0.25,0.36,0.36,0.45,0.35,0.35
31,EPS Growth,-27.56%,4.29%,-,-,-,-
32,Free Cash Flow,-19.18,-18.82,-18.82,-21.37,-11.3,-11.3
33,Free Cash Flow Per Share,-0.34,-0.45,-0.45,-0.51,-0.27,-0.27
34,Dividend Per Share,-,0.100,0.100,-,-,-
35,Gross Margin,27.86%,28.14%,28.14%,32.82%,28.74%,28.74%
36,Operating Margin,15.96%,11.32%,11.32%,16.79%,13.59%,13.59%
37,Profit Margin,11.31%,12.28%,12.28%,14.41%,14.09%,14.09%
38,Free Cash Flow Margin,-15.00%,-15.03%,-15.03%,-16.24%,-10.78%,-10.78%
39,EBITDA,25.02,18.78,18.78,26.53,18.69,18.69
40,EBITDA Margin,19.57%,15.00%,15.00%,20.16%,17.83%,17.83%
41,D&A For EBITDA,4.61,4.61,4.61,4.44,4.44,4.44
42,EBIT,20.41,14.17,14.17,22.09,14.25,14.25
43,EBIT Margin,15.96%,11.32%,11.32%,16.79%,13.59%,13.59%
44,Effective Tax Rate,11.67%,9.87%,9.87%,10.43%,8.74%,8.74%
45,Revenue as Reported,127.88,125.18,125.18,131.61,104.83,104.83
