,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,338.6,469.62,469.62,-,-,-
1,Cash & Short-Term Investments,338.6,469.62,469.62,-,-,92.84
2,Cash Growth,-,405.83%,-,-,-,-
3,Accounts Receivable,174.25,179.05,179.05,-,-,-
4,Other Receivables,1.64,1.43,1.43,-,-,-
5,Receivables,175.9,180.48,180.48,-,-,-
6,Inventory,44.04,37.97,37.97,-,-,-
7,Other Current Assets,7.75,6.26,6.26,-,-,-
8,Total Current Assets,566.28,694.33,694.33,-,-,-
9,"Property, Plant & Equipment",381.28,343.92,343.92,-,-,-
10,Other Intangible Assets,52.1,51.89,51.89,-,-,-
11,Long-Term Deferred Tax Assets,5.45,4.93,4.93,-,-,-
12,Long-Term Deferred Charges,7.05,6.36,6.36,-,-,-
13,Other Long-Term Assets,9.25,8.67,8.67,-,-,-
14,Total Assets,1021,1110,1110,-,-,-
15,Accounts Payable,166.07,158.82,158.82,-,-,-
16,Accrued Expenses,15.17,16.73,16.73,-,-,-
17,Short-Term Debt,1.03,12.19,12.19,-,-,-
18,Current Portion of Long-Term Debt,1.84,71.01,71.01,-,-,-
19,Current Portion of Leases,-,1.82,1.82,-,-,-
20,Current Income Taxes Payable,5.38,1.26,1.26,-,-,-
21,Current Unearned Revenue,2.84,1.4,1.4,-,-,-
22,Other Current Liabilities,10.59,14.79,14.79,-,-,-
23,Total Current Liabilities,202.92,278.02,278.02,-,-,-
24,Long-Term Debt,38.95,54.1,54.1,-,-,-
25,Long-Term Leases,9.54,9.91,9.91,-,-,-
26,Long-Term Unearned Revenue,7.01,7.17,7.17,-,-,-
27,Total Liabilities,258.42,349.2,349.2,-,-,-
28,Common Stock,56.24,56.24,56.24,-,-,-
29,Additional Paid-In Capital,392.69,392.68,392.68,-,-,-
30,Retained Earnings,315.42,312.2,312.2,-,-,-
31,Comprehensive Income & Other,-1.42,-0.29,-0.29,-,-,-
32,Total Common Equity,762.92,760.84,760.84,-,-,323.12
33,Minority Interest,0.06,0.06,0.06,-,-,-
34,Shareholders' Equity,762.98,760.9,760.9,-,-,323.18
35,Total Liabilities & Equity,1021,1110,1110,-,-,-
36,Total Debt,51.36,149.02,149.02,-,-,30.79
37,Net Cash (Debt),287.24,320.6,320.6,-,-,62.05
38,Net Cash Growth,-,416.69%,-,-,-,-
39,Net Cash Per Share,5.04,7.61,7.61,-,-,1.47
40,Filing Date Shares Outstanding,56.24,56.24,56.24,42.14,42.21,42.21
41,Total Common Shares Outstanding,56.24,56.24,56.24,42.14,42.21,42.21
42,Working Capital,363.37,416.31,416.31,-,-,-
43,Book Value Per Share,13.57,13.53,13.53,-,-,7.66
44,Tangible Book Value,710.83,708.94,708.94,-,-,277.4
45,Tangible Book Value Per Share,12.64,12.61,12.61,-,-,6.58
46,Buildings,-,80.52,80.52,-,-,-
47,Machinery,-,158.13,158.13,-,-,-
48,Construction In Progress,-,178.23,178.23,-,-,-
