,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,421.94,417.57,411.44,400.47,480.08,371.9,338.93,302.71,396.37,290.16,330.14
1,Other Revenue,-64.74,64.74,-,131.09,-51.8,51.8,-,90.39,-44.17,-,-
2,Revenue,357.2,482.31,411.44,531.56,428.28,423.7,338.93,393.1,352.2,290.16,330.14
3,Revenue Growth (YoY),-16.60%,13.83%,21.39%,35.22%,21.60%,46.02%,2.66%,-,-,-,-
4,Cost of Revenue,278.31,386.58,289.56,443.61,324.73,325.48,244.25,319.65,264.44,214.98,243.27
5,Gross Profit,78.9,95.73,121.87,87.95,103.56,98.22,94.68,73.44,87.76,75.18,86.87
6,"Selling, General & Admin",28.19,25.26,25.48,42.21,19.79,17.73,18.94,29.51,18.49,14.54,14.38
7,Research & Development,17.55,20.05,17.89,14.47,16.07,18.11,11.71,7.82,17.67,9.6,9.22
8,Other Operating Expenses,1.21,1.82,4.14,1.64,3.19,2.18,-10.89,3.47,-10.7,-10.29,2.6
9,Operating Expenses,49.85,65.46,48.63,70.49,41.69,55.26,18.75,52.33,25.58,13.79,26.26
10,Operating Income,29.05,30.28,73.24,17.46,61.86,42.95,75.93,21.12,62.17,61.39,60.61
11,Interest Expense,-7.02,-5.75,-5.48,-4.32,-3.77,-5.13,-5.96,-7.01,-7.06,-0.35,-6.47
12,Interest & Investment Income,2.56,1.92,1.25,2.1,2.15,2.69,1.68,0.26,0.24,6.47,0.35
13,Currency Exchange Gain (Loss),-,-,-,0,-,-,-,-0.01,-0,-,-
14,Other Non Operating Income (Expenses),2.7,-0.55,-0.32,-0.88,-0.51,-0.03,-0.25,4.44,-0.09,-15.5,-0.09
15,EBT Excluding Unusual Items,27.29,25.9,68.7,14.36,59.73,40.49,71.4,18.8,55.27,52,54.4
16,Gain (Loss) on Sale of Investments,-0.04,-0.31,0.38,-0.7,0.21,0.49,-,-0.34,-0.8,-0.02,-
17,Gain (Loss) on Sale of Assets,-0.11,0.18,0.01,0.11,-0.02,0.05,0,-,0.01,-,0.04
18,Asset Writedown,-18.43,3.6,-4.31,13.29,-13.87,0.34,-0.34,6.67,-6.86,-4.42,-2.69
19,Other Unusual Items,-1.6,-1.59,3.19,1.21,0.72,-0.72,-,3.09,-15.31,-,-
20,Pretax Income,7.1,27.79,67.96,28.27,46.76,40.66,71.07,28.22,32.3,47.57,51.75
21,Income Tax Expense,2.5,2.15,13.29,8.53,7.73,3.92,16.48,5.43,2.73,4.95,10.86
22,Earnings From Continuing Operations,4.59,25.64,54.67,19.74,39.03,36.74,54.59,22.79,29.57,42.62,40.89
23,Minority Interest in Earnings,-0.5,-0.61,-0.26,-,-,-,-,-,-,-,-
24,Net Income,4.09,25.03,54.41,19.74,39.03,36.74,54.59,22.79,29.57,42.62,40.89
25,Net Income to Common,4.09,25.03,54.41,19.74,39.03,36.74,54.59,22.79,29.57,42.62,40.89
26,Net Income Growth,-89.51%,-31.88%,-0.33%,-13.36%,31.97%,-13.80%,33.50%,-,-,-,-
27,Shares Outstanding (Basic),117,120,121,118,120,121,99,91,90,80,100
28,Shares Outstanding (Diluted),117,120,121,118,120,121,99,91,90,80,100
29,Shares Change (YoY),-2.26%,-0.83%,21.82%,30.42%,33.84%,51.29%,-0.48%,-,-,-,-
30,EPS (Basic),0.03,0.21,0.45,0.17,0.33,0.30,0.55,0.25,0.33,0.53,0.41
31,EPS (Diluted),0.03,0.21,0.45,0.17,0.33,0.30,0.55,0.25,0.33,0.53,0.41
32,EPS Growth,-89.27%,-31.31%,-18.18%,-33.57%,-1.40%,-43.02%,34.15%,-,-,-,-
33,Free Cash Flow,-83,-78.94,-187.78,-30.85,-100.15,-142.81,-68.3,22.44,-45.6,16.76,1.03
34,Free Cash Flow Per Share,-0.71,-0.66,-1.55,-0.26,-0.83,-1.18,-0.69,0.25,-0.51,0.21,0.01
35,Dividend Per Share,-,0.060,-,0.400,-,-,-,0.300,-,-,-
36,Dividend Growth,-,-,-,33.33%,-,-,-,-,-,-,-
37,Gross Margin,22.09%,19.85%,29.62%,16.55%,24.18%,23.18%,27.93%,18.68%,24.92%,25.91%,26.31%
38,Operating Margin,8.13%,6.28%,17.80%,3.28%,14.44%,10.14%,22.40%,5.37%,17.65%,21.16%,18.36%
