,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,427.16,464.67,433.62,504.43,418.11,-,629.31,190.35,-,170.84,-
1,Trading Asset Securities,80.08,80.07,130.38,-,100.7,-,100,-,-,-,-
2,Cash & Short-Term Investments,507.24,544.74,564,504.43,518.81,-,729.31,190.35,-,170.84,116.05
3,Cash Growth,-2.23%,-,-22.67%,165.00%,-,-,528.47%,-,-,-,-
4,Accounts Receivable,1202,1187,1069,1034,941.05,-,756.51,801.65,-,739.57,-
5,Other Receivables,34.32,24.18,32.62,17.96,29.11,-,105.23,4.81,-,14.79,-
6,Receivables,1236,1212,1101,1052,970.16,-,861.74,806.46,-,754.36,-
7,Inventory,691.3,670.53,695.35,599.44,507.14,-,446.63,396.19,-,351.78,-
8,Prepaid Expenses,-,-,-,0.08,-,-,-,-,-,-,-
9,Other Current Assets,191.88,129.12,195.42,146.33,168.45,-,155.2,159.61,-,95.38,-
10,Total Current Assets,2627,2556,2556,2303,2165,-,2193,1553,-,1372,-
11,"Property, Plant & Equipment",860.2,841.82,830.65,833.36,728.12,-,625.25,635.42,-,591.46,-
12,Long-Term Investments,13.49,13.41,13.33,44,3,-,3,3,-,3,-
13,Goodwill,7.96,7.96,7.96,-,-,-,-,-,-,-,-
14,Other Intangible Assets,156.35,157.35,156.69,157.74,158.59,-,159.32,160.43,-,128.15,-
15,Long-Term Accounts Receivable,-,7.47,-,1.3,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,56.11,53.42,46.64,44.57,45.11,-,37.26,36,-,30.96,-
17,Long-Term Deferred Charges,8.87,9.64,8.98,8.36,9.97,-,9.41,10.83,-,8.19,-
18,Other Long-Term Assets,108.23,150.36,92.5,128.66,209.59,-,159.69,144.33,-,117.34,-
19,Total Assets,3838,3797,3713,3521,3319,-,3187,2543,-,2251,-
20,Accounts Payable,514.5,609.05,810.27,795.98,714.94,-,712.06,587.89,-,446.61,-
21,Accrued Expenses,14.12,61.1,16.12,72.47,15.8,-,14.02,97.09,-,9.88,-
22,Short-Term Debt,777.56,689.11,538.3,402.1,313.1,-,200.65,328.81,-,341.85,-
23,Current Portion of Long-Term Debt,48.56,50.73,27.42,27.92,44.1,-,49.12,110.93,-,87.17,-
24,Current Portion of Leases,-,0.38,-,0.76,-,-,-,0.73,-,-,-
25,Current Income Taxes Payable,14.61,7.45,30.58,10.84,24.87,-,29.87,19.87,-,34.47,-
26,Current Unearned Revenue,11.82,7.08,11.18,4.07,4.75,-,29.29,2.84,-,6.35,-
27,Other Current Liabilities,134.76,100.31,57.67,114.11,119.12,-,60.17,109.91,-,88.06,-
28,Total Current Liabilities,1516,1525,1492,1428,1237,-,1095,1258,-,1014,-
29,Long-Term Debt,198.51,155.37,82.09,19.8,34.03,-,80.99,111.59,-,120.11,-
30,Long-Term Leases,5.33,6,4.37,2.23,1.86,-,2.1,2.16,-,0.6,-
31,Long-Term Deferred Tax Liabilities,7.58,7.32,7.53,7.26,7.21,-,7.74,7.91,-,8.12,-
32,Other Long-Term Liabilities,0.57,0.57,2.58,4.18,1.32,-,6,9,-,8.02,-
33,Total Liabilities,1728,1694,1588,1462,1281,-,1192,1389,-,1151,-
34,Common Stock,120,120,120,120,120,-,120,90,-,90,-
35,Additional Paid-In Capital,861.94,861.94,861.94,861.94,861.94,-,861.94,107.59,-,107.59,-
36,Retained Earnings,1098,1093,1116,1062,1042,-,1003,947.91,-,895.55,-
37,Comprehensive Income & Other,20.68,18.25,17.73,14.87,13.64,-,10.36,8.39,-,7.08,-
38,Total Common Equity,2100,2094,2116,2059,2038,-,1995,1154,-,1100,1034
39,Minority Interest,9.72,9.22,8.61,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2110,2103,2125,2059,2038,-,1995,1154,-,1100,1034
41,Total Liabilities & Equity,3838,3797,3713,3521,3319,-,3187,2543,-,2251,-
42,Total Debt,1030,901.59,652.18,452.82,393.08,-,332.85,554.21,-,549.74,522.33
43,Net Cash (Debt),-522.72,-356.85,-88.18,51.62,125.73,-,396.46,-363.86,-,-378.89,-406.29
44,Net Cash Per Share,-4.46,-2.98,-0.73,0.44,1.05,-,3.99,-4.01,-,-4.74,-4.07
45,Filing Date Shares Outstanding,120,120,120,120,120,120.81,120,90,89.65,90,99.73
46,Total Common Shares Outstanding,120,120,120,120,120,120.81,120,90,89.65,90,99.73
47,Working Capital,1111,1031,1065,874.29,927.88,-,1098,294.55,-,357.98,-
48,Book Value Per Share,17.50,17.45,17.63,17.16,16.98,-,16.62,12.82,-,12.22,11.48
49,Tangible Book Value,1936,1928,1951,1901,1879,-,1835,993.46,-,972.08,911.19
50,Tangible Book Value Per Share,16.13,16.07,16.26,15.84,15.66,-,15.30,11.04,-,10.80,10.12
51,Buildings,-,381.43,-,278.23,-,-,-,244.57,-,-,-
52,Machinery,-,1064,-,1011,-,-,-,805.82,-,-,-
53,Construction In Progress,-,99.74,-,182,-,-,-,123.94,-,-,-
