,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,1441,1492,1523,933.43,1328,983.67,1270,634.36,1084,858.42,997.09,517.03,838.75
1,Other Revenue,-180.27,180.27,-,308.58,-163.8,163.8,-,246.72,-128.35,128.35,-,177.08,45.47
2,Revenue,1261,1672,1523,1242,1164,1147,1270,881.09,955.71,986.77,997.09,694.11,884.23
3,Revenue Growth (YoY),8.31%,45.73%,19.96%,40.96%,21.81%,16.28%,27.34%,26.94%,8.08%,-,-,-,-
4,Cost of Revenue,782.41,1079,998.93,833.73,745.77,811.22,952.33,780.58,683.66,694.2,731.33,320.1,715.48
5,Gross Profit,478.43,593.56,524.28,408.27,418.37,336.25,317.4,100.51,272.05,292.57,265.76,374.01,168.75
6,"Selling, General & Admin",48.46,41.38,50.64,44,40.54,35.36,45.81,-50.51,54.53,69.46,82.05,130.22,31.18
7,Research & Development,15.29,12.1,16.68,16.2,15.49,9.8,13.77,8.97,8.01,7.75,10.65,32.95,8.59
8,Other Operating Expenses,15.67,26.72,19.53,12.5,13.84,15.59,17.45,13.66,14.25,12.61,14.42,36.7,7.95
9,Operating Expenses,77.35,80.68,86.1,79.38,69.74,60.49,77.23,-28.84,76.44,106.42,106.1,198.27,54.96
10,Operating Income,401.08,512.88,438.18,328.89,348.63,275.76,240.17,129.35,195.61,186.15,159.65,175.74,113.79
11,Interest Expense,-1,-18.84,-15.43,-23.63,-16.61,-19.97,-27.58,-35.09,-32.27,-37.6,-37.38,-176.88,-42.3
12,Interest & Investment Income,1.69,2.14,1.76,3.67,4.13,3.05,5.33,1.32,0.65,0.8,2.44,9.2,1.64
13,Currency Exchange Gain (Loss),-3,3,-,12.18,-14.05,14.05,-,14.71,-8.22,8.22,-,-5.37,1.37
14,Other Non Operating Income (Expenses),-20.64,-8.62,-0.3,-0.76,7.95,-4.03,-4.58,30.07,-29.85,1,-1.87,12.42,-2.85
15,EBT Excluding Unusual Items,378.13,490.55,424.21,320.36,330.05,268.87,213.34,140.35,125.92,158.57,122.85,15.1,71.66
16,Gain (Loss) on Sale of Investments,0.02,-2.95,-3.59,-1.34,-0.55,-9.9,-2.96,-4.17,-2.56,-1.5,-0.72,0.55,-0.46
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,1.34,-,-,-,-,-,0.26,-
18,Asset Writedown,-7.97,-0.48,-,31.61,-30.68,-0.93,-,12.74,-12.13,2.59,-3.2,-5.79,-1.45
19,Other Unusual Items,-1.41,0.12,1.3,-1.51,-,-,-,-51.11,-,-,-,-83.74,-
20,Pretax Income,368.76,487.24,421.92,349.12,298.83,259.38,210.39,97.82,111.23,159.66,118.92,-73.62,69.75
21,Income Tax Expense,59.14,73.54,69.29,48.71,49.55,43.95,34.94,18.59,16.09,23.1,18.32,-13.07,11.97
