,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,28285,30401,28463,20450,18672,20072,19916,21317,19894,-,-,-,-,-
1,Market Cap Growth,51.46%,51.46%,42.91%,-4.07%,-6.15%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,29565,31709,29497,21658,19880,21228,21864,24745,23322,-,-,-,-,-
3,Last Close Price,12.70,13.65,12.78,9.06,8.28,8.90,8.83,9.36,8.73,-,-,-,-,-
4,PE Ratio,20.90,22.09,21.63,18.30,19.85,27.90,35.24,43.83,48.34,-,-,-,-,-
5,Forward PE,19.74,20.89,21.66,20.44,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.05,5.34,5.08,4.03,3.87,4.50,4.68,5.21,5.21,-,-,-,-,-
7,PB Ratio,3.74,4.01,3.91,2.79,2.68,3.01,3.11,3.34,3.20,-,-,-,-,-
8,P/TBV Ratio,4.15,4.15,4.06,2.89,2.79,3.14,3.25,3.49,3.36,-,-,-,-,-
9,P/FCF Ratio,33.51,36.02,38.35,16.84,19.71,-,12.90,-,30.87,-,-,-,-,-
10,P/OCF Ratio,28.55,28.55,27.67,12.72,14.45,10.57,11.94,-,28.76,-,-,-,-,-
11,EV/Sales Ratio,5.19,5.56,5.27,4.27,4.12,4.76,5.14,6.05,6.10,-,-,-,-,-
12,EV/EBITDA Ratio,13.31,14.28,13.60,11.18,11.42,13.77,15.81,19.17,19.36,-,-,-,-,-
13,EV/EBIT Ratio,17.66,18.86,18.11,15.56,16.66,21.36,26.00,32.94,34.77,-,-,-,-,-
14,EV/FCF Ratio,35.03,37.57,39.74,17.83,20.99,-,14.16,-,36.19,-,-,-,-,-
15,Debt / Equity Ratio,0.25,0.25,0.31,0.26,0.28,0.35,0.36,0.47,0.53,-,0.74,0.77,0.77,0.91
16,Debt / EBITDA Ratio,0.85,0.88,0.85,0.83,1.03,1.18,1.40,1.97,3.05,-,2.88,3.16,2.99,4.49
17,Debt / FCF Ratio,2.23,2.23,3.00,1.57,2.05,-,1.51,-,5.07,-,27.08,-,38.64,-
18,Asset Turnover,0.48,0.63,0.59,0.49,0.47,0.46,0.50,-,-,-,-,-,-,
19,Inventory Turnover,4.17,3.44,3.78,2.63,2.61,3.31,3.26,3.11,-,-,-,-,-,-
20,Quick Ratio,1.41,1.41,1.41,1.14,0.85,1.10,1.14,1.19,1.13,-,0.94,-,0.66,0.79
21,Current Ratio,2.05,2.05,1.92,1.76,1.56,1.62,1.57,1.68,1.67,-,1.55,-,1.25,1.40
22,Return on Equity (ROE),16.67%,22.66%,19.72%,17.62%,15.27%,13.48%,11.14%,-,-,11.16%,8.42%,-,-,
23,Return on Assets (ROA),9.48%,12.11%,10.58%,8.15%,8.80%,6.94%,5.86%,-,-,-,-,-,-,
24,Return on Capital (ROIC),10.57%,13.68%,12.07%,9.20%,9.85%,7.62%,6.38%,-,-,5.42%,4.72%,-,-,
25,Return on Capital Employed (ROCE),19.57%,19.65%,19.21%,17.19%,15.70%,13.03%,11.44%,9.81%,8.73%,-,8.72%,-,4.20%,1.52%
26,Earnings Yield,4.87%,4.53%,4.62%,5.47%,5.04%,3.58%,2.84%,2.28%,2.07%,-,-,-,-,-
27,FCF Yield,2.98%,2.78%,2.61%,5.94%,5.07%,8.43%,7.75%,2.82%,3.24%,-,-,-,-,-
28,Dividend Yield,1.74%,-,-,-,2.71%,-,-,-,1.06%,-,-,-,-,-
29,Payout Ratio,40.18%,3.25%,123.87%,3.87%,5.63%,6.70%,105.72%,16.39%,43.16%,36.48%,27.04%,36.78%,-,72.00%
30,Buyback Yield / Dilution,-5.39%,2.74%,-7.16%,-0.49%,-18.29%,-19.24%,-10.78%,-9.00%,1.28%,4.43%,-,-,-,-
31,Total Shareholder Return,-3.64%,2.74%,-7.16%,-0.49%,-15.57%,-19.24%,-10.78%,-9.00%,2.34%,4.43%,-,-,-,-
