,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,624.17,929.12,889.72,760.94,1102,1185,1031,1632,-,517.74,-,510.05,338.98
1,Trading Asset Securities,0.61,-,-,-,-,-,-,1.15,-,-,-,1.21,-
2,Cash & Short-Term Investments,624.79,929.12,889.72,760.94,1102,1185,1031,1633,-,517.74,511.26,511.26,338.98
3,Cash Growth,-43.31%,-21.57%,-13.74%,-53.41%,-,128.80%,101.75%,219.44%,-,-,-,-,-
4,Accounts Receivable,2183,2066,1935,1403,1548,1560,1890,1417,-,1521,-,1178,1512
5,Other Receivables,1.38,1.4,1.39,0.63,2.01,1.89,1.68,2.59,-,1.48,-,1.19,2.59
6,Receivables,2185,2068,1936,1404,1550,1562,1892,1420,-,1523,-,1179,1515
7,Inventory,896.83,920.62,1361,1676,876.82,925.62,1067,1384,-,1223,-,1453,1290
8,Other Current Assets,381.93,162.74,182.02,114.94,386.27,122.96,138.59,91.25,-,113.49,-,72.12,143.5
9,Total Current Assets,4088,4080,4369,3956,3915,3795,4129,4528,-,3377,-,3216,3288
10,"Property, Plant & Equipment",6102,6178,5872,5870,5662,5577,5650,5539,-,5724,-,5920,6226
11,Long-Term Investments,41.22,41.48,31.74,6.78,6.82,6.87,6.9,6.93,-,-,-,-,-
12,Goodwill,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,-,1.37,-,1.37,1.37
13,Other Intangible Assets,241,245.48,251.45,257.99,264.53,271.08,277.64,283.07,-,296.18,-,271.83,206.66
14,Long-Term Deferred Tax Assets,28.26,27.05,21.3,21.65,19.99,16.65,12.58,11.34,-,9.65,-,6.96,5.54
15,Long-Term Deferred Charges,1.76,1.98,2.2,2.42,2.63,3.79,3.07,3.4,-,4.06,-,4.72,44.29
16,Other Long-Term Assets,47.55,23.83,24.99,21.64,169.34,89.67,33.98,17.97,-,45.19,-,40.94,61.43
17,Total Assets,10551,10599,10574,10139,10042,9761,10114,10390,-,9457,-,9462,9832
18,Accounts Payable,689,783.99,985.26,479.98,756.93,650.65,585.65,282.99,-,154.56,-,427.66,217.91
19,Accrued Expenses,26.69,60.59,24.83,31.57,117.02,61.31,22.51,66.32,-,36.93,-,20.7,48.16
20,Short-Term Debt,320.18,750.6,850.75,850.68,658.47,679.53,880.52,978.83,-,840.66,-,700.35,940.92
21,Current Portion of Long-Term Debt,699.54,365.55,382.99,538.36,762.47,758.64,853.06,847.26,-,627.22,-,878.17,628.25
22,Current Portion of Leases,-,0.41,-,3.8,-,4.15,-,1.88,-,1.82,-,1.02,0.74
23,Current Income Taxes Payable,117.14,84.22,139.8,36.52,-,65.53,68.98,24.79,-,29.37,-,0.14,5.59
24,Current Unearned Revenue,77.65,18.42,55.36,28.94,77.97,134.06,12.14,38,-,13.57,-,21.26,13.95
25,Other Current Liabilities,66.81,58.49,41.19,565.85,39.05,56.15,29.13,467.33,-,470.58,-,513.58,495.02
26,Total Current Liabilities,1997,2122,2480,2536,2412,2410,2452,2707,-,2175,-,2563,2351
27,Long-Term Debt,393,650,483,357.33,692.33,692.33,1023,1428,-,2233,-,2092,2746
28,Long-Term Leases,473.06,458.29,193.7,188.12,186.09,199.86,216.83,10.2,-,10.63,-,3.13,4.25
29,Long-Term Unearned Revenue,93.5,94.56,82.34,83.74,82.66,55.11,33.18,34.24,-,24.67,-,26.22,7.92
30,Long-Term Deferred Tax Liabilities,0.14,0.09,0.02,0.31,0.88,0.6,0.71,0.08,-,-,-,-,-
31,Other Long-Term Liabilities,5.47,3.22,1.41,0.08,5.33,3.41,2.51,-,-,-,-,-,-
32,Total Liabilities,2962,3328,3241,3165,3379,3361,3728,4180,-,4443,-,4684,5109
33,Common Stock,2227,2227,2223,2223,2223,2223,2223,2223,-,2000,-,2000,2000
34,Additional Paid-In Capital,3281,3278,3259,3252,3244,3235,3229,3229,-,2431,-,2431,2431
35,Retained Earnings,2062,1752,1839,1486,1186,936.36,927.66,752.21,-,577.85,-,340.7,287.13
36,Total Common Equity,7570,7258,7320,6960,6652,6394,6380,6204,-,5008,4771,4771,4718
37,Minority Interest,18.84,12.9,12.88,12.87,10.87,6,6,6,-,6,-,6,6
38,Shareholders' Equity,7589,7271,7333,6973,6663,6400,6386,6210,-,5014,4777,4777,4724
39,Total Liabilities & Equity,10551,10599,10574,10139,10042,9761,10114,10390,-,9457,-,9462,9832
40,Total Debt,1886,2225,1910,1938,2299,2335,2973,3266,-,3713,3675,3675,4320
41,Net Cash (Debt),-1261,-1296,-1021,-1177,-1197,-1150,-1942,-1633,-,-3196,-3163,-3163,-3981
42,Net Cash Per Share,-0.57,-0.56,-0.46,-0.50,-0.53,-0.53,-0.89,-0.83,-,-1.65,-1.57,-1.58,-1.99
43,Filing Date Shares Outstanding,2227,2227,2223,2223,2223,2223,2223,2223,2223,2000,2012,2000,2000
44,Total Common Shares Outstanding,2227,2227,2223,2223,2223,2223,2223,2223,2000,2000,2012,2000,2000
45,Working Capital,2091,1958,1889,1421,1503,1385,1677,1820,-,1202,-,653.24,937.06
46,Book Value Per Share,3.40,3.26,3.29,3.13,2.99,2.88,2.87,2.79,-,2.50,2.39,2.39,2.36
47,Tangible Book Value,7328,7011,7068,6701,6386,6122,6101,5920,-,4711,4498,4498,4510
48,Tangible Book Value Per Share,3.29,3.15,3.18,3.01,2.87,2.75,2.74,2.66,-,2.36,2.25,2.25,2.25
49,Buildings,-,2792,-,2779,-,2632,-,2637,-,2600,-,2560,2466
50,Machinery,-,5879,-,5861,-,5849,-,5815,-,5798,-,5725,5452
51,Construction In Progress,-,753.83,-,537.8,-,131.52,-,60.12,-,37.22,-,96.38,397.37
