,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,86840,86036,51139,65992,76743,48635,68618,150971,296509,253791,156347,Upgrade
1,Market Cap Growth,30.37%,30.37%,-33.36%,35.69%,11.84%,-67.78%,-76.86%,-40.51%,89.65%,208.45%,47.32%,Upgrade
2,Enterprise Value,78320,75742,38213,53575,64393,35740,55039,137184,282528,250514,153329,Upgrade
3,Last Close Price,5.40,5.35,3.18,4.88,5.68,3.60,5.08,11.20,22.00,18.88,12.96,Upgrade
4,PE Ratio,62.05,64.38,53.41,75.05,125.37,343.26,-,-,716.88,800.08,-,Upgrade
5,Forward PE,40.58,42.63,38.54,87.61,177.51,-,-,274.30,-,-,230.37,Upgrade
6,PS Ratio,2.64,2.74,1.75,2.18,2.51,1.94,2.70,7.05,16.10,17.59,14.89,Upgrade
7,PB Ratio,5.13,5.09,3.25,3.83,4.43,2.95,3.95,8.90,17.50,15.40,27.46,Upgrade
8,P/TBV Ratio,5.48,5.48,3.51,4.11,4.78,3.19,4.29,9.69,17.54,15.43,27.42,Upgrade
9,P/FCF Ratio,108.53,107.52,44.64,95.41,-,138.69,-,122.72,251.82,332.79,247.98,Upgrade
10,P/OCF Ratio,106.14,106.14,43.69,92.91,-,133.28,-,120.08,247.56,329.75,244.76,Upgrade
11,EV/Sales Ratio,2.49,2.41,1.30,1.77,2.11,1.43,2.17,6.41,15.34,17.36,14.60,Upgrade
12,EV/EBITDA Ratio,59.65,58.21,53.32,183.79,-,-,-,-,-,1221.02,-,Upgrade
13,EV/EBIT Ratio,62.55,59.48,55.32,202.35,-,-,-,-,-,1345.40,-,Upgrade
14,EV/FCF Ratio,97.88,94.66,33.35,77.46,-,101.92,-,111.52,239.95,328.49,243.19,Upgrade
15,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,Upgrade
16,Debt / FCF Ratio,0.09,0.09,0.08,0.14,-,0.28,-,0.07,0.04,0.07,0.12,Upgrade
17,Return on Capital Employed (ROCE),7.47%,7.47%,4.34%,1.52%,-,-,-,-,-,1.13%,-,Upgrade
18,Earnings Yield,1.54%,1.55%,1.87%,1.33%,0.80%,0.29%,-0.48%,-0.13%,0.14%,0.12%,-0.00%,Upgrade
19,FCF Yield,0.92%,0.93%,2.24%,1.05%,0.37%,0.72%,0.74%,0.81%,0.40%,0.30%,0.40%,Upgrade
20,Buyback Yield / Dilution,-13.32%,-18.78%,-7.87%,-0.23%,-0.55%,-0.32%,0.33%,-2.72%,-12.51%,-10.86%,-3.13%,Upgrade
21,Total Shareholder Return,-13.32%,-18.78%,-7.87%,-0.23%,-0.55%,-0.32%,0.33%,-2.72%,-12.51%,-10.86%,-3.13%,Upgrade
