,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,7423232,7238421,7700448,5271350,4809319,3962167,4533667,4066966,3136897,4013628,4133637,3966958,5000368,5187048,4867025,5320391,4900360,3753609,3081222,2790386,2094024,Upgrade
1,Market Cap Growth,82.69%,82.69%,69.85%,29.61%,53.31%,-1.28%,9.68%,2.52%,-37.27%,-22.62%,-15.07%,-25.44%,2.04%,38.19%,57.96%,90.67%,134.02%,58.34%,24.78%,19.42%,-20.02%,Upgrade
2,Enterprise Value,7205370,7072195,7537340,5149185,4659541,3840834,4344199,3815926,2841732,3828514,3983694,3801674,4880437,5172206,4769771,5269944,4882411,3829402,3047590,2770741,2051380,Upgrade
3,Last Close Price,48200.00,47000.00,50000.00,33807.31,30844.12,25411.60,28657.68,25707.62,19828.58,25370.47,26129.06,25075.47,30902.20,32055.88,30078.14,32879.94,29716.33,22762.30,19406.58,17274.85,12963.78,Upgrade
4,PE Ratio,24.95,23.63,31.15,21.56,18.61,14.56,17.25,16.34,14.76,21.83,21.39,23.50,28.39,29.89,28.08,27.58,26.60,20.89,18.79,18.04,14.41,Upgrade
5,Forward PE,19.93,14.25,14.25,14.25,14.13,11.68,13.85,13.33,14.88,19.00,16.10,17.43,24.51,21.00,20.91,24.61,21.56,17.00,15.36,15.06,12.12,Upgrade
6,PS Ratio,3.37,3.28,3.56,2.53,2.40,1.99,2.33,2.15,1.73,2.44,2.79,3.00,3.89,4.10,3.59,3.83,3.60,2.74,2.20,1.94,1.46,Upgrade
7,PB Ratio,3.40,3.32,3.58,2.54,2.24,1.90,2.25,2.09,1.59,2.12,2.26,2.24,2.71,2.89,2.82,3.14,2.76,2.17,1.89,1.76,1.31,Upgrade
8,P/TBV Ratio,3.43,3.43,3.71,2.63,2.32,1.97,2.34,2.18,1.65,2.20,2.36,2.34,2.82,3.01,2.94,3.28,2.89,2.27,1.97,1.84,1.37,Upgrade
9,P/FCF Ratio,62.12,60.57,48.54,308.11,-,-38.44,-,-,-,14.37,13.89,14.68,22.33,28.50,28.40,81.17,137.19,-227.06,-,56.81,-,Upgrade
10,P/OCF Ratio,33.80,33.80,32.19,77.40,-,-100.22,-,-,-,10.60,10.45,11.62,18.46,22.08,19.35,33.59,38.34,51.31,-,19.68,-,Upgrade
11,EV/Sales Ratio,3.27,3.21,3.49,2.47,2.32,1.93,2.24,2.01,1.57,2.33,2.69,2.88,3.80,4.08,3.51,3.79,3.58,2.80,2.18,1.93,1.43,Upgrade
12,EV/EBITDA Ratio,13.87,13.62,16.34,11.28,10.21,8.29,9.63,8.89,7.32,10.73,11.65,12.60,15.86,17.56,15.57,16.30,15.32,12.12,10.36,9.93,7.92,Upgrade
13,EV/EBIT Ratio,17.36,17.03,21.13,14.64,12.85,10.08,11.44,10.34,8.67,12.91,14.16,15.78,19.76,22.10,19.25,19.75,18.51,14.59,12.65,12.07,9.61,Upgrade
14,EV/FCF Ratio,60.30,59.18,47.51,300.97,-,-37.27,-,-,-,13.71,13.38,14.07,21.79,28.41,27.83,80.40,136.69,-231.65,-,56.41,-,Upgrade
15,Debt / Equity Ratio,0.04,0.04,0.05,0.05,0.06,0.02,0.04,0.09,0.05,0.05,0.07,0.05,0.08,0.15,0.13,0.12,0.14,0.08,0.12,0.05,0.04,Upgrade
16,Debt / EBITDA Ratio,0.17,0.12,0.22,0.22,0.27,0.10,0.18,0.40,0.22,0.22,0.36,0.33,0.46,0.69,1.13,0.65,0.86,0.31,0.72,0.28,0.22,Upgrade
17,Debt / FCF Ratio,0.72,0.72,0.66,5.64,-,-0.48,-,-,-,0.34,0.44,0.35,0.70,1.45,1.36,3.05,6.85,-7.92,-,1.62,-,Upgrade
18,Asset Turnover,1.03,0.86,0.83,0.81,1.00,0.75,0.72,0.83,1.00,0.78,0.67,0.56,0.71,0.47,0.58,0.55,0.93,0.58,0.61,0.66,Upgrade,
19,Inventory Turnover,1.68,2.10,1.81,2.14,1.41,1.74,1.60,1.95,1.70,2.51,2.38,1.72,1.07,1.70,1.44,1.52,1.26,2.28,1.65,1.80,1.79,Upgrade
20,Quick Ratio,2.03,2.03,1.46,1.40,1.69,1.48,0.99,1.08,1.52,1.62,1.45,1.33,1.59,1.56,1.53,1.34,2.79,1.43,1.08,1.08,1.59,Upgrade
21,Current Ratio,4.38,4.38,3.40,3.18,4.03,3.92,2.75,2.31,3.03,2.89,2.78,2.86,3.25,2.88,3.19,2.56,5.17,2.83,2.32,2.63,3.87,Upgrade
22,Return on Equity (ROE),22.27%,13.70%,12.48%,11.71%,14.13%,14.10%,16.28%,16.10%,14.74%,12.41%,10.31%,11.56%,15.13%,7.32%,11.38%,9.56%,16.74%,12.65%,11.88%,10.41%,Upgrade,
23,Return on Assets (ROA),15.20%,9.08%,8.62%,8.46%,9.86%,8.73%,9.89%,10.84%,10.62%,8.95%,6.50%,7.80%,8.96%,4.15%,6.96%,6.61%,11.20%,6.91%,7.78%,7.55%,Upgrade,
24,Return on Capital (ROIC),17.09%,10.43%,9.66%,9.36%,11.38%,10.37%,11.53%,12.39%,12.02%,10.04%,7.16%,8.56%,9.91%,4.71%,7.85%,7.30%,12.64%,7.93%,8.79%,8.49%,Upgrade,
25,Return on Capital Employed (ROCE),19.02%,19.02%,16.59%,16.93%,16.90%,18.28%,18.87%,19.00%,16.61%,15.65%,15.41%,13.61%,13.37%,12.41%,13.59%,14.90%,13.35%,15.01%,14.57%,14.25%,13.15%,Upgrade
26,Earnings Yield,4.01%,4.43%,3.54%,5.12%,5.90%,7.56%,6.52%,6.93%,7.93%,5.57%,5.36%,4.97%,4.00%,3.65%,3.96%,3.99%,4.29%,5.59%,6.21%,6.52%,7.98%,Upgrade
27,FCF Yield,1.61%,1.65%,2.06%,0.32%,-1.80%,-2.60%,-2.28%,0.21%,5.04%,6.96%,7.20%,6.81%,4.48%,3.51%,3.52%,1.23%,0.73%,-0.44%,-1.84%,1.76%,2.06%,Upgrade
28,Dividend Yield,0.93%,-,-,-,-,1.79%,-,-,-,1.71%,-,-,-,2.03%,-,-,-,2.85%,-,-,-,Upgrade
29,Payout Ratio,21.82%,-,96.68%,-,-,92.15%,-,-,-,-,-,214.55%,-,-,319.32%,-,-,-,97.04%,-,-,Upgrade
