,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,4220,2637,2769,2621,3258,4340,4205,4614,4213,4389,-,-,-,-
1,Market Cap Growth,-39.24%,-39.24%,-34.15%,-43.18%,-22.67%,-1.11%,-,-,-,-,-,-,-,-
2,Enterprise Value,3715,2132,2200,2029,2557,3599,3447,3829,4144,4320,-,-,-,-
3,Last Close Price,35.24,22.02,23.00,21.42,26.62,35.35,34.25,37.70,34.04,35.46,-,-,-,-
4,PE Ratio,234.93,148.44,-,164.59,106.64,278.86,-,84.59,-,54.37,-,-,-,-
5,Forward PE,43.78,26.77,31.72,25.40,34.13,-,-,-,-,-,-,-,-,-
6,PS Ratio,12.62,7.97,10.27,10.38,12.81,19.71,17.90,16.94,14.76,13.99,-,-,-,-
7,PB Ratio,3.68,2.28,2.39,2.19,2.74,3.53,3.45,3.77,3.38,3.50,-,-,-,-
8,P/TBV Ratio,2.35,2.35,2.47,2.26,2.80,3.60,3.51,3.84,3.43,3.55,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-96.81,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,210.43,-,-305.18,-,-,-,-,-,-
11,EV/Sales Ratio,11.23,6.45,8.16,8.03,10.06,16.35,14.67,14.06,14.52,13.77,-,-,-,-
12,EV/EBITDA Ratio,83.13,46.94,-,151.44,99.18,341.25,-,79.06,-,47.33,-,-,-,-
13,EV/EBIT Ratio,142.77,81.93,-,-407.10,310.00,-602.77,-,116.76,-,55.81,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-80.34,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.03,0.01,0.01,0.02,0.02,0.02,0.07,0.09,0.10,0.10
16,Debt / EBITDA Ratio,1.30,0.40,-,1.43,1.49,0.31,-,0.31,-,0.26,0.62,0.25,0.80,0.22
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-0.59,-,-,-,1.04,3.88,-
18,Asset Turnover,-,0.13,0.23,0.17,0.25,0.09,0.24,0.07,0.40,0.44,-,-,-,
19,Inventory Turnover,-,-,1.54,2.74,1.89,2.51,0.97,2.79,0.99,3.98,2.94,-,-,-
20,Quick Ratio,-,-,5.31,6.90,10.09,9.27,12.82,11.52,12.60,9.96,3.18,2.96,-,3.06
21,Current Ratio,-,-,5.93,7.60,10.90,10.07,13.95,12.47,13.50,10.49,3.70,3.37,-,3.45
22,Return on Equity (ROE),7.72%,-6.66%,2.90%,2.11%,4.23%,-4.00%,7.56%,-2.70%,13.95%,8.60%,29.18%,8.68%,-,
23,Return on Assets (ROA),-,-2.16%,0.79%,0.33%,1.37%,-3.42%,3.21%,-2.24%,4.35%,4.21%,-,-,-,
24,Return on Capital (ROIC),6.57%,-2.42%,0.86%,0.36%,1.49%,-3.70%,3.46%,-2.44%,4.92%,5.09%,20.19%,5.80%,-,
25,Return on Capital Employed (ROCE),-,-,-,-0.40%,0.67%,-0.47%,-,2.60%,-,6.00%,20.51%,18.82%,-,9.48%
26,Earnings Yield,0.42%,0.67%,0.33%,0.61%,0.94%,0.36%,0.77%,1.18%,1.50%,1.84%,-,-,-,-
27,FCF Yield,-,-5.98%,-5.60%,-3.48%,-1.48%,-1.27%,-1.03%,-0.71%,-0.07%,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,1.08%,-,-,-,-
29,Payout Ratio,0.00%,-,-,3.53%,1.52%,1.26%,-,190.80%,-,0.97%,3.47%,1.48%,4.84%,1.15%
30,Buyback Yield / Dilution,1.08%,-94.26%,23.74%,18.39%,-8.10%,42.45%,-94.87%,-29.43%,-42.46%,-2.58%,-,-,-,-
31,Total Shareholder Return,1.08%,-94.26%,23.74%,18.39%,-8.10%,42.45%,-94.87%,-29.43%,-42.46%,-1.49%,-,-,-,-
