,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,147.4,72.61,53.7,57.05,57.01,36.97,74.04,23.02,84.85,69.43,92.14,51.27,98.3
1,Other Revenue,-,-26.08,26.08,-,29.14,-7.32,7.32,-,16.06,-2.34,2.34,-,2.64
2,Revenue,147.4,46.53,79.78,57.05,86.15,29.65,81.36,23.02,100.91,67.09,94.48,51.27,100.93
3,Revenue Growth (YoY),71.10%,56.92%,-1.94%,147.82%,-14.62%,-55.81%,-13.88%,-55.10%,-0.02%,-,-,-,-
4,Cost of Revenue,-100.87,27.71,43,30.16,40.31,14.15,38.28,12.98,45.37,31.91,42.67,23.97,34.53
5,Gross Profit,248.27,18.81,36.78,26.89,45.84,15.5,43.08,10.04,55.54,35.18,51.81,27.3,66.4
6,"Selling, General & Admin",-54.61,19.58,17.46,17.57,23.88,21.48,17.45,18.99,18.56,16.28,11.5,13.38,18.18
7,Research & Development,-20.57,7.66,7.21,5.7,6.05,11.02,8.8,7.69,7.02,6.59,6.21,5.39,4.54
8,Other Operating Expenses,304.87,-1.53,0.97,0.41,0.6,-0.45,-4.77,-1.45,8.49,-0.11,-5.72,-0.5,1.43
9,Operating Expenses,216.32,30.79,32.51,25.11,38.44,33.93,25.57,22.49,38.03,24.95,12.86,16.57,25.25
10,Operating Income,31.95,-11.98,4.27,1.78,7.4,-18.43,17.5,-12.44,17.5,10.23,38.95,10.73,41.15
11,Interest Expense,-6.14,-0.44,-,-0.7,-,-0.52,-,-0.66,-,-0.25,-0.49,-0.45,-
12,Interest & Investment Income,0.91,1.56,2.98,1.83,2.46,2.05,2.99,1.85,0.91,0.28,0.57,0.01,0.66
13,Currency Exchange Gain (Loss),-,-0.12,0.12,-,0.23,-0.06,0.06,-,0.09,-0.04,0.04,-,-0.05
14,Other Non Operating Income (Expenses),-0.37,-9.34,-1.28,1.03,-1.27,-0.08,-0.7,0.69,-0.5,0.33,-0.15,0.18,0.04
15,EBT Excluding Unusual Items,26.35,-20.31,6.09,3.94,8.83,-17.03,19.86,-10.57,18,10.54,38.93,10.47,41.81
16,Gain (Loss) on Sale of Investments,-4.31,1.29,1.29,1.73,-2.71,5.05,3.31,2.98,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.08,-0.08,-,-5.64,0.01,-0.01,-,0.69,0.04,-0.01,-,0
18,Asset Writedown,0.16,-0.14,-0.01,-,-0.01,-0.04,-0,-,0.2,-0.23,-0.1,0.1,-0
19,Other Unusual Items,-,-1.23,0.58,0.65,10.06,-1.77,1.77,-,9.49,1.52,-1.52,-,2.67
20,Pretax Income,22.19,-20.32,7.87,6.33,10.53,-13.79,24.93,-7.59,28.38,11.86,37.3,10.57,44.47
21,Income Tax Expense,-0.13,-0.72,-0.79,-0.04,-2.42,-1.56,1.58,0.85,-1.67,1.9,5.29,1.48,4.99
22,Earnings From Continuing Operations,22.33,-19.59,8.66,6.37,12.95,-12.23,23.36,-8.44,30.05,9.97,32.01,9.09,39.48
23,Earnings From Discontinued Operations,-,-,-0.16,0.16,-,-,0.01,-0.01,-,-,-,-,-
24,Net Income to Company,22.33,-19.59,8.5,6.53,12.95,-12.23,23.37,-8.46,30.05,9.97,32.01,9.09,39.48
25,Minority Interest in Earnings,-0.87,0.72,0.15,-,-0.22,0.25,-0.1,-,-0.42,0.13,-0.15,0.04,0.05
26,Net Income,21.46,-18.87,8.65,6.53,12.73,-11.98,23.27,-8.46,29.63,10.1,31.86,9.13,39.54
27,Net Income to Common,21.46,-18.87,8.65,6.53,12.73,-11.98,23.27,-8.46,29.63,10.1,31.86,9.13,39.54
28,Net Income Growth,68.59%,-,-62.84%,-,-57.04%,-,-26.97%,-,-25.06%,-,-,-,-
29,Shares Outstanding (Basic),104,136,103,131,54,178,126,121,93,92,97,85,91
30,Shares Outstanding (Diluted),104,136,103,131,54,178,126,121,93,92,97,85,91
31,Shares Change (YoY),94.26%,-23.74%,-18.39%,8.10%,-42.45%,94.87%,29.43%,42.46%,2.58%,-,-,-,-
32,EPS (Basic),0.21,-0.14,0.08,0.05,0.24,-0.07,0.18,-0.07,0.32,0.11,0.33,0.11,0.44
33,EPS (Diluted),0.21,-0.14,0.08,0.05,0.24,-0.07,0.18,-0.07,0.32,0.11,0.33,0.11,0.44
34,EPS Growth,-13.21%,-,-54.47%,-,-25.36%,-,-43.58%,-,-26.94%,-,-,-,-
35,Free Cash Flow,-,-44.81,-20.85,-62.35,-37.45,-26.15,12.66,-13.26,-26.86,-20.2,30.46,13.44,-2.18
36,Free Cash Flow Per Share,-,-0.33,-0.20,-0.48,-0.70,-0.15,0.10,-0.11,-0.29,-0.22,0.31,0.16,-0.02
37,Dividend Per Share,-,-,-,-,-,-,-,-,0.385,-,-,-,-
38,Gross Margin,168.43%,40.43%,46.11%,47.14%,53.21%,52.27%,52.95%,43.63%,55.04%,52.44%,54.84%,53.24%,65.79%
39,Operating Margin,21.68%,-25.74%,5.35%,3.11%,8.59%,-62.17%,21.51%,-54.06%,17.35%,15.24%,41.23%,20.93%,40.77%
40,Profit Margin,14.56%,-40.56%,10.84%,11.45%,14.77%,-40.40%,28.60%,-36.73%,29.36%,15.05%,33.73%,17.81%,39.17%
41,Free Cash Flow Margin,-,-96.30%,-26.14%,-109.30%,-43.47%,-88.20%,15.56%,-57.60%,-26.62%,-30.10%,32.25%,26.21%,-2.16%
42,EBITDA,36.62,-7.31,9.67,6.44,12.07,-14.78,22.05,-8.79,21.35,13.82,42.41,13.7,49.06
43,EBITDA Margin,24.84%,-15.71%,12.12%,11.29%,14.01%,-49.84%,27.10%,-38.18%,21.16%,20.60%,44.89%,26.72%,48.60%
44,D&A For EBITDA,4.67,4.67,5.4,4.67,4.67,3.65,4.54,3.65,3.85,3.59,3.46,2.97,7.91
45,EBIT,31.95,-11.98,4.27,1.78,7.4,-18.43,17.5,-12.44,17.5,10.23,38.95,10.73,41.15
46,EBIT Margin,21.68%,-25.74%,5.35%,3.11%,8.59%,-62.17%,21.51%,-54.06%,17.35%,15.24%,41.23%,20.93%,40.77%
47,Effective Tax Rate,-,-,-,-,-,-,6.33%,-,-,15.99%,14.17%,13.99%,11.22%
48,Revenue as Reported,-,46.53,79.78,57.05,86.15,29.65,81.36,23.02,100.91,67.09,94.48,51.27,100.93
