,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 4, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,116,88,97,143,116,128,160,152,199,191,592
1,Market Cap Growth,-38.55%,-38.55%,-16.55%,11.87%,-27.50%,-15.79%,-19.68%,-20.50%,-66.35%,-,-
2,Enterprise Value,-247,-128,-118,27,-6,76,65,4,-1,-36,560
3,Last Close Price,0.14,0.11,0.12,0.18,0.14,0.16,0.20,0.19,0.25,0.24,0.74
4,PE Ratio,6.11,4.64,10.70,10.03,8.62,10.29,-72.54,-,-,-,-
5,PS Ratio,0.12,0.09,0.13,0.20,0.18,0.25,0.36,0.29,0.38,0.48,0.84
6,PB Ratio,0.50,0.38,0.43,0.64,0.54,0.63,0.81,0.80,0.97,0.84,2.51
7,P/TBV Ratio,0.38,0.38,0.43,0.64,0.54,0.63,0.81,0.80,0.97,0.84,2.51
8,P/FCF Ratio,0.65,0.49,0.95,2.04,-,4.59,-,-,-,-,5.02
9,P/OCF Ratio,0.46,0.46,0.86,1.91,-,4.09,-,-,-,-,4.69
10,EV/Sales Ratio,-,-,-,0.04,-,0.15,0.15,0.01,-,-,0.79
11,EV/EBITDA Ratio,-,-,-,1.39,-,5.31,-40.48,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-4.38,-,-,-,-
13,EV/FCF Ratio,-1.39,-,-,0.39,-,2.72,-,-,-,-,4.75
14,Debt / Equity Ratio,0.09,0.09,0.11,0.07,0.09,0.12,0.14,0.28,0.20,0.19,0.19
15,Debt / FCF Ratio,0.12,0.12,0.25,0.23,-,0.85,-,-,-,-,0.38
16,Return on Capital Employed (ROCE),-,-0.77%,-,-,3.17%,-,-6.81%,-,-,-,-
17,Earnings Yield,16.36%,21.57%,9.35%,9.97%,11.61%,9.72%,-1.38%,-22.88%,-17.99%,-70.32%,-15.92%
18,FCF Yield,153.65%,202.53%,104.99%,49.07%,44.06%,21.79%,-53.81%,-62.50%,-39.07%,27.55%,19.92%
