,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Total Interest Expense,4.25,3.83,9.65,12.23,13.59,15.74,17.11,21.21,26.93,30.51,Upgrade
1,Net Interest Income,-4.25,-3.83,-9.65,-12.23,-13.59,-15.74,-17.11,-21.21,-26.93,-30.51,Upgrade
2,Brokerage Commission,9.41,9.47,44.57,38.36,148.65,95.29,66.38,196.8,325.9,220.41,Upgrade
3,Underwriting & Investment Banking Fee,2.79,3.09,11.03,9.5,25.14,22.76,16.16,59.81,12.65,74.11,Upgrade
4,Gain on Sale of Investments (Rev),-,-18.27,-,5.42,-,-12.89,-,10.31,-,-25.44,Upgrade
5,Other Revenue,13.87,14.3,25.98,34.78,16,11.36,44.78,28.3,36.09,58.38,Upgrade
6,Revenue,21.81,4.75,71.92,75.82,176.2,100.79,110.21,274.01,347.7,296.96,Upgrade
7,Revenue Growth (YoY),-69.68%,-93.73%,-59.18%,-24.77%,59.88%,-63.22%,-68.30%,-7.73%,-41.14%,254.37%,Upgrade
8,Cost of Services Provided,41.38,79.28,106.74,119.66,174.25,152.24,163.33,224.92,294.39,211.46,Upgrade
9,Other Operating Expenses,-5.9,-1.49,-0.34,-29.86,24.15,108.9,29.62,104.3,5.74,1.16,Upgrade
10,Total Operating Expenses,37.67,99.4,106.4,89.79,216.42,261.14,204.83,313.46,315.88,204.27,Upgrade
11,Operating Income,-15.86,-94.65,-34.48,-13.97,-40.23,-160.35,-94.62,-39.45,31.82,92.69,Upgrade
12,Other Non-Operating Income (Expenses),2.68,8.2,2.87,-0.24,-1.08,-9.62,1.83,-8.39,23.26,-10.23,Upgrade
13,EBT Excluding Unusual Items,-13.55,-98.62,-29.29,-11.21,-41.31,-169.97,-92.79,-47.84,55.08,86.79,Upgrade
14,Impairment of Goodwill,-,-0.64,-,-,-,-,-,-,-,-,Upgrade
15,Asset Writedown,-,0.7,-,-,-,-,-,-,-10,-45,Upgrade
16,Gain (Loss) on Sale of Investments,0.5,-4.06,-1.38,-33.09,-16.31,-65.45,-43.4,53.63,-18.9,135.47,Upgrade
17,Other Unusual Items,-0.87,-,-,-1.73,0.33,2.16,-,2.07,-,-,Upgrade
18,Pretax Income,-13.96,-102.72,-31.04,-46.03,-57.29,-233.26,-136.2,9.21,26.18,177.26,Upgrade
19,Income Tax Expense,-,0.62,-0.53,2.74,-,-0.51,2.31,-12.51,20.14,12.57,Upgrade
20,Earnings From Continuing Ops.,-13.96,-103.34,-30.51,-48.77,-57.29,-232.76,-138.51,21.72,6.04,164.7,Upgrade
21,Minority Interest in Earnings,-,-0.03,1.02,-1.37,-,-,-,-,-,-,Upgrade
22,Net Income,-13.96,-103.37,-29.5,-50.14,-57.29,-232.76,-138.51,21.72,6.04,164.7,Upgrade
23,Net Income to Common,-13.96,-103.37,-29.5,-50.14,-57.29,-232.76,-138.51,21.72,6.04,164.7,Upgrade
24,Net Income Growth,-,-,-,-,-,-,-,-86.81%,-86.17%,-,Upgrade
25,Shares Outstanding (Basic),16903,16760,16450,15992,15970,15970,15970,15972,15578,14719,Upgrade
26,Shares Outstanding (Diluted),16903,16760,16450,15992,15970,15970,15970,15972,15578,14879,Upgrade
27,Shares Change (YoY),2.76%,4.80%,3.01%,0.14%,-,-0.01%,2.51%,7.34%,5.85%,1.01%,Upgrade
28,EPS (Basic),-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,0.00,0.00,0.01,Upgrade
29,EPS (Diluted),-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,0.00,0.00,0.01,Upgrade
30,EPS Growth,-,-,-,-,-,-,-,-87.71%,-86.96%,-,Upgrade
31,Free Cash Flow,-7.62,42.19,75.65,-125.65,-1.28,159.55,-45,-182.64,-63.06,-132.67,Upgrade
32,Free Cash Flow Per Share,-0.00,0.00,0.00,-0.01,-0.00,0.01,-0.00,-0.01,-0.00,-0.01,Upgrade
33,Operating Margin,-72.70%,-1991.71%,-47.94%,-18.42%,-22.83%,-159.10%,-85.86%,-14.40%,9.15%,31.21%,Upgrade
34,Profit Margin,-64.00%,-2175.25%,-41.01%,-66.13%,-32.51%,-230.94%,-125.68%,7.93%,1.74%,55.46%,Upgrade
35,Free Cash Flow Margin,-34.95%,887.84%,105.17%,-165.71%,-0.72%,158.31%,-40.84%,-66.66%,-18.14%,-44.68%,Upgrade
36,Revenue as Reported,26.06,8.58,81.58,88.05,189.79,116.52,127.32,295.21,374.64,327.46,Upgrade
