,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,311,293,302,587,1874,431,160,271,319,303,751,Upgrade
1,Market Cap Growth,-50.05%,-50.05%,-83.90%,36.02%,1073.35%,58.82%,-50.00%,-10.53%,-57.45%,-71.36%,18.63%,Upgrade
2,Last Close Price,0.02,0.02,0.02,0.04,0.12,0.03,0.01,0.02,0.02,0.02,0.05,Upgrade
3,PE Ratio,-,-,-,-,-,-,-,-,11.51,1.78,3.60,Upgrade
4,PS Ratio,11.41,11.03,3.93,3.97,7.44,1.56,0.76,0.71,0.51,0.47,0.85,Upgrade
5,PB Ratio,0.40,0.38,0.39,0.54,1.70,0.39,0.14,0.24,0.25,0.23,0.62,Upgrade
6,P/FCF Ratio,9.00,-,2.56,-11.73,-,-,1.39,-,-,-,-,Upgrade
7,P/OCF Ratio,7.93,-,2.55,-11.88,-,-,1.35,-,-,-,-,Upgrade
8,Debt / Equity Ratio,0.22,0.22,0.22,0.21,0.21,0.35,0.36,0.52,0.53,0.66,0.76,Upgrade
9,Debt / FCF Ratio,4.99,-,1.46,-4.62,-,-,3.50,-,-,-,-,Upgrade
10,Earnings Yield,-37.72%,-40.05%,-44.05%,-13.58%,-5.73%,-67.27%,-232.48%,-43.02%,8.69%,56.27%,27.76%,Upgrade
11,FCF Yield,11.11%,11.80%,39.07%,-8.53%,-6.77%,36.71%,71.73%,-83.85%,-76.93%,-64.51%,-24.03%,Upgrade
12,Buyback Yield / Dilution,-3.77%,-2.76%,-4.80%,-3.01%,-0.14%,-,0.01%,-2.51%,-7.34%,-5.85%,-1.01%,Upgrade
13,Total Shareholder Return,-3.77%,-2.76%,-4.80%,-3.01%,-0.14%,-,0.01%,-2.51%,-7.34%,-5.85%,-1.01%,Upgrade
