,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2773,2613,2832,3490,2920,2495,2395,2421,2225,2440
1,Revenue Growth (YoY),-2.08%,-25.11%,-3.01%,39.84%,21.93%,3.06%,7.63%,-0.76%,-7.05%,-
2,Cost of Revenue,2585,2458,2682,3369,2784,2425,2288,2315,2121,2327
3,Gross Profit,188.06,155.51,150.48,120.74,135.76,70.82,106.98,106.62,104.54,113.18
4,"Selling, General & Admin",98.61,92.15,80.89,78.05,72.38,62.83,67.67,26.98,60.65,64.28
5,Other Operating Expenses,17.79,9.27,-1.37,-1.61,14.4,2.94,1.57,-0.08,10.15,1.29
6,Operating Expenses,116.4,101.42,79.52,76.44,86.78,65.77,69.24,26.91,70.8,65.57
7,Operating Income,71.66,54.09,70.96,44.3,48.98,5.05,37.74,79.72,33.74,47.61
8,Interest Expense,-29.68,-33.54,-19.11,-12.3,-7.97,-8.75,-2.98,-2.93,-4.59,-5.77
9,Interest & Investment Income,0.75,0.6,1.33,1.49,1.31,0.06,0.06,0.27,0.12,0.3
10,Currency Exchange Gain (Loss),0.93,-2.03,0.09,0.04,-0,-0.08,-0.02,-0.06,-0.01,-
11,Other Non Operating Income (Expenses),0.5,2.69,0.9,1.33,4.77,22.61,6.93,-4.33,-1.18,-7.36
12,EBT Excluding Unusual Items,44.17,21.82,54.18,34.87,47.09,18.89,41.72,72.67,28.08,34.78
13,Gain (Loss) on Sale of Assets,-,0.61,0.64,-0.08,-,-,-,0.04,-,0.05
14,Other Unusual Items,-,-0.04,-,-,-,0.36,-,0.05,-,0.01
15,Pretax Income,49.87,30.08,54.82,34.79,47.09,19.26,41.72,72.76,28.08,34.84
16,Income Tax Expense,13.65,3.81,8.86,3.52,5.42,4.2,8.22,5.96,5.73,7.55
17,Earnings From Continuing Operations,36.22,26.27,45.95,31.27,41.67,15.06,33.5,66.8,22.34,27.3
18,Minority Interest in Earnings,-0.38,0.16,-0.5,-0.63,-0.21,-,-,-,-,-
19,Net Income,35.85,26.43,45.46,30.65,41.46,15.06,33.5,66.8,22.34,27.3
20,Net Income to Common,35.85,26.43,45.46,30.65,41.46,15.06,33.5,66.8,22.34,27.3
21,Net Income Growth,-21.15%,-13.76%,9.64%,103.49%,23.75%,-77.45%,49.95%,144.72%,-28.44%,-
22,Shares Outstanding (Basic),500,500,500,500,500,500,500,500,500,420
23,Shares Outstanding (Diluted),500,500,500,500,500,500,500,500,500,420
24,Shares Change (YoY),-,-,-,-,-,-,-,19.12%,38.45%,-
25,EPS (Basic),0.07,0.05,0.09,0.06,0.08,0.03,0.07,0.13,0.04,0.07
26,EPS (Diluted),0.07,0.05,0.09,0.06,0.08,0.03,0.07,0.13,0.04,0.07
27,EPS Growth,-21.15%,-13.76%,9.64%,103.49%,23.75%,-77.45%,49.95%,105.43%,-48.31%,-
28,Free Cash Flow,221.31,324.1,-431.05,20.68,-1.18,98.29,-155.61,129.78,-257.19,42.57
29,Free Cash Flow Per Share,0.44,0.65,-0.86,0.04,-0.00,0.20,-0.31,0.26,-0.51,0.10
30,Dividend Per Share,0.015,0.018,0.015,0.018,0.025,0.018,0.025,0.028,0.025,-
31,Dividend Growth,0%,0%,-40.00%,0%,0%,-34.55%,0%,-,-,-
32,Operating Margin,2.58%,2.07%,2.51%,1.27%,1.68%,0.20%,1.58%,3.29%,1.52%,1.95%
33,Profit Margin,1.29%,1.01%,1.61%,0.88%,1.42%,0.60%,1.40%,2.76%,1.00%,1.12%
34,Free Cash Flow Margin,7.98%,12.40%,-15.22%,0.59%,-0.04%,3.94%,-6.50%,5.36%,-11.56%,1.74%
35,EBITDA,78.03,59.64,76.44,50.95,55.19,9.06,41.34,82.71,37.08,51.57
36,D&A For EBITDA,6.37,5.55,5.49,6.64,6.21,4.01,3.61,3,3.34,3.96
37,EBIT,71.66,54.09,70.96,44.3,48.98,5.05,37.74,79.72,33.74,47.61
