,Fiscal Quarter,Q4 2017,Q4 2016,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,210621,184223,78771,74419,71410,65719
1,Revenue Growth (YoY),194.95%,180.32%,-,-,-,-
2,Cost of Revenue,136064,141537,58991,56205,52989,49904
3,Gross Profit,74558,42686,19780,18214,18421,15815
4,"Selling, General & Admin",22629,24157,11200,9918,8159,7287
5,Operating Expenses,22629,24157,11200,9918,8159,7287
6,Operating Income,51929,18529,8580,8296,10261,8529
7,Interest Expense,-3090,-4769,-2151,-2409,-3945,-4140
8,Interest & Investment Income,11.31,3.8,7.64,5.8,10.78,11
9,Other Non Operating Income (Expenses),-5320,198.81,109.96,132.22,145.12,78.1
10,Pretax Income,43530,13962,6547,6025,6472,4478
11,Income Tax Expense,9200,2796,1643,1509,1618,1119
12,Net Income,34330,11166,4904,4515,4854,3358
13,Net Income to Common,34330,11166,4904,4515,4854,3358
14,Net Income Growth,607.23%,232.52%,-,-,-,-
15,Shares Outstanding (Basic),30,22,25,25,25,25
16,Shares Outstanding (Diluted),30,22,25,25,25,25
17,Shares Change (YoY),17.94%,-15.10%,-,-,-,-
18,EPS (Basic),1149.60,519.20,193.71,178.29,191.71,132.57
19,EPS (Diluted),1149.60,519.20,193.71,178.29,191.71,132.57
20,EPS Growth,499.64%,291.64%,-,-,-,-
21,Free Cash Flow,-,-,12835,12835,6617,6617
22,Free Cash Flow Per Share,-,-,507.00,506.79,261.32,261.20
23,Gross Margin,35.40%,23.17%,25.11%,24.48%,25.80%,24.07%
24,Operating Margin,24.66%,10.06%,10.89%,11.15%,14.37%,12.98%
25,Profit Margin,16.30%,6.06%,6.23%,6.07%,6.80%,5.11%
26,Free Cash Flow Margin,-,-,16.29%,17.25%,9.27%,10.07%
27,EBIT,51929,18529,8580,8296,10261,8529
28,EBIT Margin,24.66%,10.06%,10.89%,11.15%,14.37%,12.98%
29,Effective Tax Rate,21.14%,20.03%,25.10%,25.05%,25.00%,25.00%
30,Revenue as Reported,210621,184223,78771,74419,71410,65719
