,Fiscal Quarter,Current,Q4 2017,Q4 2016,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 13, 2025","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,483475,362606,225255,96544,88257,64384,68002
1,Market Cap Growth,245.15%,463.19%,231.25%,-,-,-,-
2,Enterprise Value,636467,427465,290114,-,-,-,-
3,Last Close Price,44000.00,8407.43,4818.24,1640.69,1408.80,1027.73,954.16
4,PE Ratio,6.38,6.60,8.85,5.48,6.93,7.84,20.25
5,PS Ratio,0.37,0.66,0.55,0.33,0.42,0.47,1.03
6,PB Ratio,1.18,1.98,1.56,0.98,-,-,-
7,P/TBV Ratio,2.75,1.99,1.56,0.98,-,-,-
8,P/FCF Ratio,-,-,-,2.48,3.39,4.87,10.28
9,P/OCF Ratio,5.56,-,-,2.29,3.09,4.31,9.11
10,EV/Sales Ratio,0.44,0.78,0.71,-,-,-,-
11,EV/EBIT Ratio,5.09,4.89,6.35,-,-,-,-
12,Debt / Equity Ratio,0.46,1.05,1.72,0.71,-,-,-
13,Debt / FCF Ratio,-,-,-,1.80,-,-,-
14,Quick Ratio,0.68,0.60,0.36,0.40,-,-,-
15,Current Ratio,1.10,0.97,0.60,0.77,-,-,-
16,Return on Capital Employed (ROCE),25.50%,33.27%,18.54%,33.13%,-,-,-
17,Earnings Yield,17.42%,15.14%,11.29%,18.26%,14.42%,12.76%,4.94%
18,FCF Yield,-1.12%,-,-,40.29%,29.54%,20.55%,9.73%
19,Payout Ratio,39.14%,-,-,-,-,111.77%,161.57%
20,Buyback Yield / Dilution,59.11%,-17.94%,15.10%,-,-,-,-
21,Total Shareholder Return,60.93%,-17.94%,15.10%,-,-,-,-
