,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Market Capitalization,191000,177000,182000,198000,199000,137000,163000,143000,138000,143000,-
1,Market Cap Growth,-,29.20%,11.66%,38.46%,44.20%,-4.20%,-,-,-,-,-
2,Enterprise Value,26503,173848,110156,126156,127156,19874,45874,25874,20874,120925,-
3,Last Close Price,19100.00,17700.00,18200.00,18420.90,18513.93,6723.03,7316.10,6171.56,5417.83,5614.12,-
4,PE Ratio,6.89,9.44,12.34,14.43,10.73,7.07,5.42,3.87,4.71,6.23,-
5,PS Ratio,0.06,0.07,0.07,0.08,0.07,0.05,0.07,0.06,0.08,0.13,-
6,PB Ratio,0.98,0.91,0.95,1.06,-,0.85,-,-,0.85,0.88,-
7,P/TBV Ratio,1.02,1.02,1.07,1.19,-,0.98,-,-,0.98,1.01,-
8,P/FCF Ratio,6.17,0.58,-,1.10,-,2.28,-,12.37,-,-,-
9,P/OCF Ratio,5.52,0.58,-,1.10,-,2.28,-,12.37,-,-,-
10,EV/Sales Ratio,0.01,0.07,0.04,0.05,0.05,0.01,0.02,0.01,0.01,0.11,-
11,EV/EBITDA Ratio,2.36,-,-,36.57,-,0.91,-,0.76,0.89,8.25,-
12,EV/EBIT Ratio,2.83,-,-,20.39,-,0.91,1.37,0.61,0.63,4.62,-
13,EV/FCF Ratio,0.86,0.57,-,0.70,-,0.33,-,2.24,-,-,-
14,Debt / Equity Ratio,-,-,0.37,-,-,-,-,-,-,-,0.34
15,Asset Turnover,6.12,-,-,-,-,-,-,-,-,-,
16,Inventory Turnover,6235.63,27.15,-,-,-,-,-,-,-,-,-
17,Quick Ratio,1.44,1.44,0.68,4.39,-,1.23,-,-,-,1.34,0.90
18,Current Ratio,2.26,2.26,1.81,4.72,-,1.80,-,-,-,2.04,1.79
19,Return on Equity (ROE),11.16%,-,-,-,-,-,-,15.48%,-,-,
20,Return on Assets (ROA),-5.97%,-,-,-,-,-,-,-,-,-,
21,Return on Capital (ROIC),-9.36%,-,-,-,-,-,-,11.00%,-,-,
22,Return on Capital Employed (ROCE),4.80%,-,-,3.31%,-,13.59%,-,-,-,16.03%,8.61%
23,Earnings Yield,14.51%,10.59%,8.10%,6.93%,9.32%,14.15%,18.43%,25.85%,21.22%,16.06%,-
24,FCF Yield,16.20%,172.52%,-,90.51%,-,43.89%,-,8.08%,-,-,-
25,Dividend Yield,7.33%,-,-,7.60%,-,-,-,-,-,-,-
26,Payout Ratio,50.53%,259.82%,-,789.80%,-,1008.61%,-,182.09%,-,-,-
27,Total Shareholder Return,7.33%,-,-,7.60%,-,-,-,-,-,-,-
