,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Cash & Equivalents,164497,73152,146165,-,51844,-,-,-,107126,74575
1,Short-Term Investments,-,-,-,-,20000,-,-,-,10000,-
2,Cash & Short-Term Investments,164497,73152,146165,-,71844,-,-,117126,117126,74575
3,Cash Growth,128.97%,-,-,-,-38.66%,-,-,-,-,-
4,Accounts Receivable,21761,61561,35583,-,99247,-,-,-,14027,27418
5,Other Receivables,83,-,52.74,-,329.77,-,-,-,4890,662.85
6,Receivables,21844,61561,35635,-,99577,-,-,-,18917,28081
7,Inventory,980.38,153918,4.25,-,62585,-,-,-,64024,84797
8,Prepaid Expenses,674.44,7904,497.32,-,108.37,-,-,-,308.57,68.46
9,Other Current Assets,104845,63616,13390,-,16419,-,-,-,6860,17460
10,Total Current Assets,292842,360152,195692,-,250533,-,-,-,207236,204981
11,"Property, Plant & Equipment",6309,5701,6945,-,21707,-,-,-,29560,34496
12,Other Intangible Assets,20655,20684,20769,-,21567,-,-,-,21688,21712
13,Long-Term Deferred Tax Assets,-,-,-,-,194.58,-,-,-,26.56,-
14,Other Long-Term Assets,4460,4408,4689,-,5920,-,-,-,6099,6178
15,Total Assets,324266,390944,228094,-,299921,-,-,-,264609,267366
16,Accounts Payable,7870,5527,4894,-,94332,-,-,-,77052,27562
17,Accrued Expenses,15716,22751,14727,-,10258,-,-,-,10116,11234
18,Short-Term Debt,-,70000,-,-,-,-,-,-,-,52500
19,Current Income Taxes Payable,979.94,1300,759.65,-,647.12,-,-,-,4419,3756
20,Current Unearned Revenue,18.18,18.18,18.18,-,-,-,-,-,-,-
21,Other Current Liabilities,104828,99803,21018,-,33702,-,-,-,9839,19618
22,Total Current Liabilities,129413,199400,41416,-,138939,-,-,-,101426,114670
23,Total Liabilities,129413,199400,41416,-,138939,-,-,-,101426,114670
24,Common Stock,100000,100000,100000,-,100000,-,-,-,100000,100000
25,Retained Earnings,69968,66659,61793,-,60982,-,-,-,63183,52696
26,Comprehensive Income & Other,24885,24885,24885,-,-,-,-,-,-,-
27,Shareholders' Equity,194853,191544,186678,-,160982,-,-,163183,163183,152696
28,Total Liabilities & Equity,324266,390944,228094,-,299921,-,-,-,264609,267366
29,Total Debt,-,70000,-,-,-,-,-,-,-,52500
30,Net Cash (Debt),164497,3152,146165,-,71844,-,-,117126,117126,22075
31,Net Cash Growth,128.97%,-,-,-,-38.66%,-,-,-,-,-
32,Net Cash Per Share,16449.72,-,-,-,-,-,-,-,-,-
33,Filing Date Shares Outstanding,10,-,-,-,-,-,-,-,-,-
34,Total Common Shares Outstanding,10,-,-,-,-,-,-,-,-,-
35,Working Capital,163428,160752,154275,-,111594,-,-,-,105810,90310
36,Book Value Per Share,19485.32,-,-,-,-,-,-,-,-,-
37,Tangible Book Value,174198,170860,165909,-,139415,-,-,141496,141496,130984
38,Tangible Book Value Per Share,17419.82,-,-,-,-,-,-,-,-,-
39,Buildings,62241,-,62241,-,-,-,-,-,-,-
40,Machinery,16333,-,15518,-,-,-,-,-,-,-
41,Construction In Progress,-,-,-,-,-,-,-,-,519.4,31
