,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Revenue,546771,717367,562357,801036,687002,583008,723457,617014,580987,496489
1,Revenue Growth (YoY),-20.41%,23.05%,-22.27%,29.82%,18.25%,17.43%,-,-,-,-
2,Cost of Revenue,525643,703876,549941,777909,672247,563205,692797,592225,561206,474155
3,Gross Profit,21128,13490,12416,23128,14755,19802,30660,24789,19781,22333
4,"Selling, General & Admin",29668,15071,12061,23133,13442,15279,21796,17611,6773,9179
5,Operating Expenses,29668,15071,12061,23133,13442,15279,21796,17611,6773,9179
6,Operating Income,-8540,-1581,354.46,-5.25,1313,4524,8864,7178,13009,13154
7,Interest Expense,-91.62,-,-72.6,-136.71,-,-,-,-,-,-155.88
8,Interest & Investment Income,595.27,450.03,271.64,287.11,342.04,444.13,744.66,713.65,1090,882.33
9,Other Non Operating Income (Expenses),14914,7400,3247,6695,79.93,22.24,-,0.53,1413,339.6
10,Pretax Income,6878,6269,3801,6841,1735,4990,9609,7892,15512,14220
11,Income Tax Expense,1487,1254,927.85,1368,347.08,998.02,1922,1578,3456,3306
12,Net Income,5390,5015,2873,5472,1388,3992,7687,6314,12056,10914
13,Net Income to Common,5390,5015,2873,5472,1388,3992,7687,6314,12056,10914
14,Net Income Growth,288.27%,25.63%,-62.63%,-13.33%,-88.48%,-63.42%,-,-,-,-
15,Shares Outstanding (Basic),10,-,-,-,-,-,-,-,-,-
16,Shares Outstanding (Diluted),10,-,-,-,-,-,-,-,-,-
17,EPS (Basic),539.03,-,-,-,-,-,-,-,-,-
18,EPS (Diluted),539.03,-,-,-,-,-,-,-,-,-
19,Free Cash Flow,174730,-,130634,-,48567,-,11557,-,-,-
20,Free Cash Flow Per Share,17472.99,-,-,-,-,-,-,-,-,-
21,Dividend Per Share,-,-,1400.000,-,-,-,-,-,-,-
22,Gross Margin,3.86%,1.88%,2.21%,2.89%,2.15%,3.40%,4.24%,4.02%,3.40%,4.50%
23,Operating Margin,-1.56%,-0.22%,0.06%,-0.00%,0.19%,0.78%,1.23%,1.16%,2.24%,2.65%
24,Profit Margin,0.99%,0.70%,0.51%,0.68%,0.20%,0.68%,1.06%,1.02%,2.08%,2.20%
25,Free Cash Flow Margin,31.96%,-,23.23%,-,7.07%,-,1.60%,-,-,-
26,EBITDA,-8080,-1112,835.31,-,2614,-,10481,8828,14659,-
27,EBITDA Margin,-1.48%,-0.15%,0.15%,-,0.38%,-,1.45%,1.43%,2.52%,-
28,D&A For EBITDA,460.13,468.75,480.85,-,1301,-,1616,1650,1650,-
29,EBIT,-8540,-1581,354.46,-5.25,1313,4524,8864,7178,13009,13154
30,EBIT Margin,-1.56%,-0.22%,0.06%,-0.00%,0.19%,0.78%,1.23%,1.16%,2.24%,2.65%
31,Effective Tax Rate,21.63%,20.00%,24.41%,20.00%,20.00%,20.00%,20.00%,20.00%,22.28%,23.25%
32,Revenue as Reported,546771,717367,562357,801036,687002,583008,723457,617014,580987,496489
