,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,476.29,397.73,509.52,511.28,474.45,-,544.43,521.45,388.71,345.54,316.39,-,-,-
1,Trading Asset Securities,400,400,350,350,310,-,240,240,360,300,300,-,-,-
2,Cash & Short-Term Investments,876.29,797.73,859.52,861.28,784.45,-,784.43,761.45,748.71,645.54,616.39,-,-,166.98
3,Cash Growth,11.71%,-,9.57%,13.11%,4.77%,-,27.26%,-,-,286.60%,-,-,-,-
4,Accounts Receivable,142.1,120.83,119.28,99.88,150.45,-,118.22,125.26,113.96,123.23,104.03,-,-,-
5,Other Receivables,12.01,39.52,9.83,37.3,14.03,-,8.31,38.38,9.13,17.34,10.09,-,-,-
6,Receivables,154.11,160.35,129.11,137.18,164.48,-,126.53,163.65,123.1,140.58,114.11,-,-,-
7,Inventory,170.4,190.19,165.81,154.18,173.36,-,159.43,146.67,144.27,162.33,178.64,-,-,-
8,Other Current Assets,56.68,29.93,34.88,9.45,29.76,-,28.4,16.01,36.95,27.96,37.33,-,-,-
9,Total Current Assets,1257,1178,1189,1162,1152,-,1099,1088,1053,976.41,946.47,-,-,-
10,"Property, Plant & Equipment",593.14,587.94,586.98,591.86,570.14,-,565.83,565.62,531.24,518.38,481.96,-,-,-
11,Long-Term Investments,62.16,60.66,60.1,60.11,88.87,-,65.36,64.56,64.25,63.14,61.42,-,-,-
12,Other Intangible Assets,105.52,106.57,107.63,108.04,109.08,-,110.68,111.71,112.72,113.73,114.74,-,-,-
13,Long-Term Deferred Tax Assets,1.65,1.65,0.34,0.28,4.83,-,4.89,5.22,2.87,2.92,2.21,-,-,-
14,Long-Term Deferred Charges,0.01,0.05,0.1,0.18,0.41,-,0.86,1.04,1.23,1.42,1.21,-,-,-
15,Other Long-Term Assets,41.32,34.5,52.21,52.37,41.67,-,36.7,36.76,62.19,45.15,48.35,-,-,-
16,Total Assets,2061,1970,1997,1975,1967,-,1883,1873,1828,1721,1656,-,-,-
17,Accounts Payable,145.02,139.13,155.97,161.85,182.33,-,172.81,173.74,136.68,124.05,90.69,-,-,-
18,Accrued Expenses,82.67,75.01,58.67,89.68,79.02,-,59.51,104.09,87.21,82.27,51.26,-,-,-
19,Current Portion of Leases,5.27,5.11,5.46,5.35,5.96,-,6.75,6.82,4.03,4.4,4.89,-,-,-
20,Current Income Taxes Payable,25.27,12.79,30.17,14.44,17.18,-,16.13,3.89,36.86,9.76,16.43,-,-,-
