,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,523.45,537.85,476.5,582.11,-,750.18,560.56,126.53,126.53,192.44,-
1,Trading Asset Securities,-,38.07,78.82,170.87,-,113.58,390.1,90.07,90.07,-,-
2,Cash & Short-Term Investments,523.45,575.92,555.32,752.97,-,863.76,950.66,216.6,216.6,192.44,191.16
3,Cash Growth,-,-33.32%,-41.59%,247.64%,-,348.84%,397.30%,-,-,-,-
4,Accounts Receivable,291.05,307.82,297.1,263.36,-,266.16,241.5,186.56,186.56,160.74,-
5,Other Receivables,3.01,2.79,2.78,2.04,-,2.22,0.75,0.68,0.68,-,-
6,Receivables,294.05,310.61,299.89,265.39,-,268.38,242.25,187.24,187.24,160.74,-
7,Inventory,318.96,317.16,322.8,334.22,-,317.3,298.66,285.45,285.45,267.9,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.25,-
9,Other Current Assets,9.1,8.58,6.09,11.9,-,14.71,11.49,11.71,11.71,18.23,-
10,Total Current Assets,1146,1212,1184,1364,-,1464,1503,700.99,700.99,639.56,-
11,"Property, Plant & Equipment",173.64,140.93,107.44,93.58,-,82.97,83.73,81.98,81.98,57.1,-
12,Long-Term Investments,32.87,19.71,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,95.07,95.89,96.72,97.57,-,8.88,9.11,9.47,9.47,9.02,-
14,Long-Term Accounts Receivable,-,0.18,-,-,-,0.09,-,-,-,0.06,-
15,Long-Term Deferred Tax Assets,9.12,8.45,8.49,7.47,-,6.68,5.82,5.84,5.84,6.12,-
16,Long-Term Deferred Charges,15.03,15.38,15.88,16.38,-,17.38,17.88,18.37,18.37,15.69,-
17,Other Long-Term Assets,27.09,6.77,5.92,5.49,-,0.33,0.39,0.45,0.45,0.31,-
18,Total Assets,1498,1500,1419,1585,-,1580,1620,817.12,817.12,727.87,-
19,Accounts Payable,130.25,101.22,131.96,124.95,-,147.48,171.34,142.6,142.6,150.81,-
20,Accrued Expenses,46.99,19.73,17.77,24.42,-,18.22,5.8,22.15,22.15,18.89,-
21,Short-Term Debt,29.54,29.54,-,-,-,-,10.01,10.01,10.01,10.01,-
22,Current Portion of Leases,2.85,4.34,5.81,7.15,-,7.01,7.23,6.87,6.87,5.64,-
23,Current Income Taxes Payable,2.56,1.95,1.97,4.35,-,0.47,5.96,5.11,5.11,6,-
24,Current Unearned Revenue,2.09,3.19,0.44,1.24,-,1.42,2.24,3.85,3.85,8.74,-
25,Other Current Liabilities,1.25,71.29,0.32,17.77,-,36.12,43.47,28.9,28.9,3.56,-
26,Total Current Liabilities,215.53,231.27,158.27,179.87,-,210.72,246.05,219.5,219.5,203.65,-
27,Long-Term Leases,-,-,-,0.12,-,3.12,4.29,6.04,6.04,8.9,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.29,0.23,0.24,0.24,-,-
29,Other Long-Term Liabilities,4.85,5.54,5.8,6.13,-,7.23,8.06,8.6,8.6,10.57,-
30,Total Liabilities,220.38,236.81,164.07,186.13,-,221.35,258.63,234.38,234.38,223.11,-
31,Common Stock,60,60,60,60,-,60,60,45,45,45,-
32,Additional Paid-In Capital,922.89,914.67,936.18,936.18,-,933.04,936.18,204.37,204.37,203.74,-
33,Retained Earnings,437.28,432.03,417.43,402.54,-,362.71,365.24,333.35,333.35,256.2,-
34,Treasury Stock,-143.95,-143.95,-159.1,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,1.78,0.03,-0.04,0.13,-,3.37,-0.07,0.02,0.02,-0.19,-
36,Shareholders' Equity,1278,1263,1254,1399,-,1359,1361,582.74,582.74,504.75,426.93
37,Total Liabilities & Equity,1498,1500,1419,1585,-,1580,1620,817.12,817.12,727.87,-
38,Total Debt,32.39,33.88,5.81,7.27,-,10.12,21.54,22.92,22.92,24.54,15.6
39,Net Cash (Debt),491.05,542.04,549.51,745.71,-,853.64,929.13,193.67,193.67,167.9,175.57
40,Net Cash Growth,-,-36.50%,-40.86%,285.03%,-,408.42%,429.21%,-,-,-,-
41,Net Cash Per Share,8.42,9.49,9.22,12.29,-,14.27,18.64,4.29,4.29,3.73,3.92
42,Filing Date Shares Outstanding,58.27,60,60,60,60.41,60,60,60,60,45,44.76
43,Total Common Shares Outstanding,58.27,60,60,60,60.41,60,60,45,45,45,44.76
44,Working Capital,930.03,981,1026,1185,-,1253,1257,481.49,481.49,435.91,-
45,Book Value Per Share,21.93,21.05,20.91,23.31,-,22.65,22.69,12.95,12.95,11.22,9.49
46,Tangible Book Value,1183,1167,1158,1301,-,1350,1352,573.27,573.27,495.73,417.41
47,Tangible Book Value Per Share,20.30,19.45,19.30,21.69,-,22.50,22.54,12.74,12.74,11.02,9.28
48,Buildings,-,60.16,-,60.16,-,-,-,-,-,-,-
49,Machinery,-,26.98,-,25.61,-,21.55,-,19.96,19.96,15.2,-
50,Construction In Progress,-,64.24,-,12.57,-,61.37,-,57.46,57.46,32.84,-
