,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,74.88,92.89,88.56,78.01,82.5,84.61,101.55,107.4,107.4,105.08,105.96
1,Other Revenue,-1.69,1.69,-,0.56,-0.04,0.04,-,0.06,0.06,0.04,-
2,Revenue,73.19,94.57,88.56,78.57,82.46,84.65,101.55,107.47,107.47,105.12,105.96
3,Revenue Growth (YoY),-11.24%,11.72%,-12.79%,-26.89%,-23.27%,-19.47%,-4.16%,-,-,-,-
4,Cost of Revenue,33.23,47.81,45.26,49.73,38.34,48.85,47.18,47.97,47.97,44.5,46.05
5,Gross Profit,39.96,46.77,43.3,28.84,44.12,35.81,54.37,59.5,59.5,60.62,59.91
6,"Selling, General & Admin",19.2,15.84,15.42,13.19,14.33,15.65,10.49,11.65,11.65,10.44,9.79
7,Research & Development,11.3,10.54,8.81,7.98,10.9,11.35,8.2,8.57,8.57,7.47,6.12
8,Other Operating Expenses,-2.24,0.37,0.4,-3.48,-0.64,0.08,-2.42,-1.72,-1.72,-3.8,0.68
9,Operating Expenses,30.35,25.25,30.59,26.71,31.06,30.73,17.49,19.84,19.84,15.19,17.2
10,Operating Income,9.61,21.52,12.71,2.14,13.06,5.08,36.88,39.66,39.66,45.43,42.72
11,Interest Expense,-0.24,-0.21,-0.07,-0.55,-0.1,-0.17,-0.22,-0.25,-0.25,-0.26,-0.19
12,Interest & Investment Income,2.35,1.99,2.77,7.75,2.81,2.71,1.18,0.64,0.64,0.54,0.44
13,Currency Exchange Gain (Loss),-0.94,0.94,-,0.58,-2.08,2.08,-,1.76,1.76,3.84,-
14,Other Non Operating Income (Expenses),-0.77,-1.16,0.8,4.97,1.74,0.75,-0.97,1.01,1.01,0.29,-1.73
15,EBT Excluding Unusual Items,10.02,23.08,16.21,14.89,15.43,10.45,36.88,42.82,42.82,49.84,41.24
16,Gain (Loss) on Sale of Investments,0.08,0.52,0.91,0.75,1,2.31,0.1,0.03,0.03,-,-
17,Gain (Loss) on Sale of Assets,-0.02,-,-,0,-,-,0.06,-0,-0,-0.01,0.02
18,Asset Writedown,-2.48,1.2,-1.2,8.81,-8.81,0.76,-0.76,0.01,0.01,0.49,-0.5
19,Other Unusual Items,-2.51,2.51,-0,10.87,-0.16,0.16,-,1.16,1.16,-2.49,-
20,Pretax Income,5.08,27.3,15.92,35.31,7.46,13.68,36.28,44.02,44.02,47.84,40.76
21,Income Tax Expense,-0.17,2.52,1.02,3.24,-0.3,0.61,4.38,5.45,5.45,6.4,5.4
22,Net Income,5.25,24.78,14.89,32.07,7.76,13.06,31.9,38.57,38.57,41.43,35.36
23,Net Income to Common,5.25,24.78,14.89,32.07,7.76,13.06,31.9,38.57,38.57,41.43,35.36
24,Net Income Growth,-32.33%,89.73%,-53.31%,-16.84%,-79.88%,-68.47%,-9.79%,-,-,-,-
25,Shares Outstanding (Basic),58,57,60,61,60,60,50,45,45,45,45
26,Shares Outstanding (Diluted),58,57,60,61,60,60,50,45,45,45,45
27,Shares Change (YoY),-3.41%,-4.50%,19.53%,34.48%,33.90%,32.77%,11.36%,-,-,-,-
28,EPS (Basic),0.09,0.43,0.25,0.53,0.13,0.22,0.64,0.85,0.85,0.92,0.79
29,EPS (Diluted),0.09,0.43,0.25,0.53,0.13,0.22,0.64,0.85,0.85,0.92,0.79
30,EPS Growth,-29.94%,98.67%,-60.94%,-38.17%,-84.97%,-76.25%,-18.99%,-,-,-,-
31,Free Cash Flow,-10.26,-5.84,-33.83,31.11,-123.83,-43.06,-35.56,2.37,2.37,23.36,-18.54
32,Free Cash Flow Per Share,-0.18,-0.10,-0.57,0.51,-2.05,-0.72,-0.71,0.05,0.05,0.52,-0.41
33,Dividend Per Share,-,-,-,0.175,-,-,-,-,-,-,-
34,Gross Margin,54.60%,49.45%,48.89%,36.71%,53.50%,42.30%,53.54%,55.37%,55.37%,57.67%,56.54%
35,Operating Margin,13.13%,22.75%,14.35%,2.72%,15.84%,6.00%,36.32%,36.91%,36.91%,43.22%,40.31%
36,Profit Margin,7.17%,26.21%,16.82%,40.82%,9.41%,15.43%,31.41%,35.89%,35.89%,39.41%,33.37%
37,Free Cash Flow Margin,-14.01%,-6.17%,-38.20%,39.60%,-150.17%,-50.87%,-35.02%,2.21%,2.21%,22.22%,-17.50%
38,EBITDA,10.61,22.97,13.71,3.13,14.06,6.3,37.88,40.85,40.85,46.24,43.34
39,EBITDA Margin,14.49%,24.29%,15.47%,3.99%,17.05%,7.44%,37.30%,38.01%,38.01%,43.99%,40.90%
40,D&A For EBITDA,1,1.45,1,1,1,1.22,1,1.19,1.19,0.81,0.62
41,EBIT,9.61,21.52,12.71,2.14,13.06,5.08,36.88,39.66,39.66,45.43,42.72
42,EBIT Margin,13.13%,22.75%,14.35%,2.72%,15.84%,6.00%,36.32%,36.91%,36.91%,43.22%,40.31%
43,Effective Tax Rate,-,9.22%,6.44%,9.17%,-,4.49%,12.08%,12.37%,12.37%,13.39%,13.25%
44,Revenue as Reported,73.19,94.57,88.56,347.23,82.46,84.65,101.55,107.47,107.47,105.12,105.96
