,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4585,4037,3857,4571,5699,5094,7107,6773,-,-,-,-
1,Market Cap Growth,-20.74%,-20.74%,-45.73%,-32.51%,-,-,-,-,-,-,-,-
2,Enterprise Value,4094,3495,3307,3854,4982,4240,6178,6580,-,-,-,-
3,Last Close Price,78.69,67.29,64.09,75.96,94.70,84.65,117.83,112.30,-,-,-,-
4,PE Ratio,60.22,52.43,48.51,67.43,67.21,55.80,58.20,45.01,-,-,-,-
5,Forward PE,33.77,28.88,32.52,42.27,-,-,-,-,-,-,-,-
6,PS Ratio,13.85,12.06,11.21,13.68,16.41,13.54,17.72,16.07,-,-,-,-
7,PB Ratio,3.59,3.16,3.05,3.64,4.07,-,5.23,4.98,-,-,-,-
8,P/TBV Ratio,3.41,3.41,3.31,3.95,4.38,-,5.26,5.01,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-33.26,-,-,-,-,-,-,-
10,P/OCF Ratio,69.94,69.94,306.80,-,-117.84,-,-,-,-,-,-,-
11,EV/Sales Ratio,12.22,10.44,9.61,11.53,14.35,11.27,15.40,15.61,-,-,-,-
12,EV/EBITDA Ratio,61.13,69.33,61.39,103.61,81.17,42.79,49.08,39.68,-,-,-,-
13,EV/EBIT Ratio,71.46,76.03,66.92,116.84,87.15,44.78,50.93,40.70,-,-,-,-
14,EV/FCF Ratio,-217.65,-,-,-,-29.08,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.00,0.01,-,0.01,0.02,0.04,0.04,0.05,0.04
16,Debt / EBITDA Ratio,0.48,0.76,0.33,0.11,0.21,-,0.28,0.14,0.14,0.14,0.13,0.09
17,Debt / FCF Ratio,-,-,-,-,-0.04,-,-,-,2.40,3.19,5.10,-
18,Asset Turnover,0.20,0.26,-,0.20,-,0.21,0.33,0.53,0.56,-,-,
19,Inventory Turnover,-,0.42,0.60,-,0.60,-,0.63,0.65,0.67,0.69,-,-
20,Quick Ratio,3.79,3.79,3.83,5.40,5.66,-,5.37,4.85,1.84,1.84,1.73,-
21,Current Ratio,5.32,5.32,5.24,7.48,7.59,-,6.95,6.11,3.19,3.19,3.14,-
22,Return on Equity (ROE),1.65%,7.88%,-,9.17%,-,3.84%,13.13%,26.48%,28.37%,35.58%,-,
23,Return on Assets (ROA),1.60%,3.69%,-,0.34%,-,0.79%,7.57%,12.14%,12.84%,-,-,
24,Return on Capital (ROIC),1.84%,4.21%,-,0.38%,-,0.92%,9.27%,16.37%,17.47%,23.38%,-,
25,Return on Capital Employed (ROCE),4.47%,3.58%,3.90%,2.62%,4.07%,-,8.86%,11.77%,28.02%,21.39%,16.82%,-
26,Earnings Yield,1.68%,1.91%,2.06%,1.48%,1.49%,1.79%,1.72%,2.22%,-,-,-,-
27,FCF Yield,-0.41%,-0.47%,-3.43%,-3.71%,-3.01%,-3.93%,-1.04%,-0.11%,-,-,-,-
28,Dividend Yield,0.22%,-,-,-,0.18%,-,-,-,-,-,-,-
29,Payout Ratio,13.68%,197.94%,0.56%,-,-,201.02%,0.51%,0.27%,0.22%,0.22%,0.22%,0.32%
30,Buyback Yield / Dilution,-9.54%,3.41%,4.50%,-19.53%,-34.48%,-33.90%,-32.77%,-11.36%,-,-,-,-
31,Total Shareholder Return,-9.32%,3.41%,4.50%,-19.53%,-34.30%,-33.90%,-32.77%,-11.36%,-,-,-,-
