,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+3 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+3 Quarters
0,Market Capitalization,385054,489688,339015,355756,397610,355756,368313,385054,531542,703142,791035,565025,397610,322273,326459,313903,280420,292976,489688,539913,242751,Upgrade
1,Market Cap Growth,37.65%,37.65%,-7.95%,-7.61%,-25.20%,-49.40%,-53.44%,-31.85%,33.68%,118.18%,142.31%,80.00%,41.79%,10.00%,-33.33%,-41.86%,15.52%,-37.50%,-5.65%,104.76%,-,Upgrade
2,Enterprise Value,758147,1123619,831592,1097551,1156635,1128359,982055,998797,1078060,1264519,1243547,738605,526904,85122,309322,296766,263283,275839,381931,548736,-,Upgrade
3,Last Close Price,9200.00,11700.00,8100.00,8500.00,9500.00,8500.00,8800.00,9200.00,12700.00,16800.00,18900.00,13500.00,9183.33,7443.33,7540.00,7250.00,6217.60,6496.00,10857.60,11971.20,5382.40,Upgrade
4,PE Ratio,-,-,17.98,15.00,30.90,42.85,68.62,-,-,45.90,40.05,43.50,29.28,28.85,-,24.22,15.43,13.26,30.33,27.90,16.78,Upgrade
5,PS Ratio,0.23,0.31,0.22,0.24,0.24,0.21,0.23,0.25,0.40,0.50,0.59,0.45,0.36,0.36,0.40,0.43,0.41,0.41,0.72,0.70,0.41,Upgrade
6,PB Ratio,0.72,0.78,0.54,0.56,0.64,0.57,0.61,0.64,0.86,1.14,1.30,0.93,0.65,0.52,0.60,0.57,-,-,0.90,0.99,0.45,Upgrade
7,P/TBV Ratio,0.93,0.93,0.62,0.65,0.74,0.67,0.71,0.74,1.00,1.31,1.50,1.07,0.76,0.60,0.62,0.59,-,-,0.91,1.01,0.46,Upgrade
8,P/FCF Ratio,2.85,-,-,13.22,-2.11,-,-,-2.19,-,-,-,-,-,-,1.38,4.76,4.07,6.18,-,25.62,-,Upgrade
9,P/OCF Ratio,3.62,-,-,12.33,-2.14,-,-,-2.44,-,-,-,-,-,-,1.28,3.75,3.85,5.74,-,16.90,-,Upgrade
10,EV/Sales Ratio,0.46,0.71,0.54,0.75,0.69,0.67,0.62,0.64,0.81,0.90,0.92,0.59,0.47,0.09,0.38,0.41,0.38,0.39,0.56,0.72,-,Upgrade
11,EV/EBITDA Ratio,5.44,8.46,5.49,7.21,8.34,13.13,14.97,18.88,-,23.64,24.86,31.95,-,7.50,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,12.44,16.94,9.23,11.78,14.72,40.33,91.23,707.22,-,59.80,42.70,54.07,275.48,-61.89,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,5.62,-,-,40.79,-6.14,-,-,-5.67,-,-,-,-,-,-,1.31,4.50,3.82,5.82,-,26.04,-,Upgrade
