,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+3 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+3 Quarters
0,Revenue,459588,386337,441518,295610,424899,297434,662032,306510,320471,263894,442620,375686,264473,179720,289537,167752,179964,92365,250700,190780,Upgrade
1,Revenue Growth (YoY),8.16%,29.89%,-33.31%,-3.56%,32.59%,12.71%,49.57%,-18.41%,21.17%,46.84%,52.87%,123.95%,46.96%,94.58%,15.49%,-12.07%,20.86%,-47.82%,228.96%,-,Upgrade
2,Cost of Revenue,432417,354517,390020,255835,382932,263782,632647,314226,295576,238690,423991,360849,235857,172933,274577,159664,170522,84062,247999,178965,Upgrade
3,Gross Profit,27172,31820,51498,39775,41967,33652,29385,-7716,24895,25204,18629,14837,28616,6787,14961,8088,9443,8302,2701,11816,Upgrade
4,"Selling, General & Admin",25840,14821,27333,15921,16912,13546,19839,19015,17053,14449,17055,13863,12795,11495,25134,10402,9673,9983,15576,10904,Upgrade
5,Operating Expenses,25840,14821,27333,15921,16912,13546,19839,19015,17053,14449,17055,13863,12795,11495,25134,10402,9673,9983,15576,10904,Upgrade
6,Operating Income,1332,16998,24165,23853,25056,20106,9546,-26731,7842,10755,1574,973.99,15820,-4708,-10173,-2314,-230.34,-1681,-12876,911.5,Upgrade
7,Interest Expense,-10798,-15571,-14761,-20473,-18136,-16868,-11752,-11636,-10903,-10472,-6780,-9081,-13832,-1888,-2606,-2179,-2021,-1998,-2080,-1479,Upgrade
8,Interest & Investment Income,280.3,1067,1783,376.47,3213,3308,-,44110,7204,4514,4795,3089,1538,2266,7149,3577,2917,2743,3531,1714,Upgrade
9,Earnings From Equity Investments,2139,1401,4981,-,-,-,8505,-5211,12.36,6.18,1361,2716,1786,1334,1342,3177,5542,2079,14246,6732,Upgrade
10,Other Non Operating Income (Expenses),-775.07,244.98,-2650,461.87,19.48,190.25,-7487,-2.38,741.59,1052,500.13,7406,6481,-132.4,7236,800.7,27.63,-246.8,3803,-655.7,Upgrade
11,Pretax Income,-7822,4141,13518,4219,10152,6737,-1188,530.81,4898,5855,1450,5105,11793,-3128,2948,3062,6235,895.52,6625,7222,Upgrade
12,Income Tax Expense,1251,699.18,2834,645.07,1486,383.14,484.07,667.15,549.29,596.96,851.11,228.75,1404,113.22,-184.28,94.03,602.01,106.68,1212,710.09,Upgrade
13,Earnings From Continuing Operations,-9073,3442,10684,3574,8665,6354,-1673,-136.34,4348,5258,598.75,4876,10389,-3242,3132,2968,5633,788.83,5413,6512,Upgrade
14,Minority Interest in Earnings,-3016,-3183,-1954,-225.9,-2148,-1233,-444.65,-1081,-767.23,-1130,1985,152.02,-2377,608.07,40.3,-346.75,464.82,279.51,2970,37.47,Upgrade
15,Net Income,-12089,258.56,8730,3348,6517,5121,-2117,-1218,3581,4128,2584,5028,8012,-2634,3172,2621,6098,1068,8384,6549,Upgrade
16,Net Income to Common,-12089,258.56,8730,3348,6517,5121,-2117,-1218,3581,4128,2584,5028,8012,-2634,3172,2621,6098,1068,8384,6549,Upgrade
17,Net Income Growth,-,-94.95%,-,-,81.99%,24.07%,-,-,-55.30%,-,-18.54%,91.82%,31.39%,-,-62.16%,-59.98%,4129.99%,-75.01%,139.90%,-,Upgrade
18,Shares Outstanding (Basic),42,43,42,42,42,42,42,42,42,42,42,42,42,42,46,42,42,41,42,42,Upgrade
19,Shares Outstanding (Diluted),42,43,42,42,42,42,42,42,42,42,42,42,42,42,46,42,42,41,42,42,Upgrade
20,Shares Change (YoY),0.19%,2.66%,-1.35%,-0.33%,0.33%,0.17%,0.24%,0.21%,-0.73%,0.24%,-7.38%,0.70%,0.44%,1.73%,8.80%,-0.90%,-13.08%,-1.98%,-0.44%,-,Upgrade
21,EPS (Basic),-288.83,6.00,209.00,80.00,156.00,122.00,-50.00,-29.00,86.00,98.50,61.18,120.00,191.00,-63.00,69.56,63.00,146.00,26.00,200.00,156.00,Upgrade
22,EPS (Diluted),-288.83,6.00,209.00,80.00,156.00,122.00,-50.00,-29.00,86.00,98.50,61.18,120.00,191.00,-63.00,69.56,63.00,146.00,26.00,200.00,156.00,Upgrade
23,EPS Growth,-,-95.08%,-,-,81.40%,23.86%,-,-,-54.97%,-,-12.05%,90.48%,30.82%,-,-65.22%,-59.62%,4766.67%,-74.51%,140.96%,-,Upgrade
24,Free Cash Flow,-,-155052,250484,13292,-,-236871,35081,-108903,-51195,-51195,-266980,-50053,-47479,89988,120030,21424,4879,-80420,122963,-,Upgrade
25,Free Cash Flow Per Share,-,-3598.07,5996.58,317.63,-,-5643.18,828.50,-2593.73,-1229.47,-1221.72,-6320.39,-1194.64,-1131.91,2152.69,2631.84,514.93,116.83,-1957.18,2933.44,-,Upgrade
26,Gross Margin,5.91%,8.24%,11.66%,13.46%,9.88%,11.31%,4.44%,-2.52%,7.77%,9.55%,4.21%,3.95%,10.82%,3.78%,5.17%,4.82%,5.25%,8.99%,1.08%,6.19%,Upgrade
27,Operating Margin,0.29%,4.40%,5.47%,8.07%,5.90%,6.76%,1.44%,-8.72%,2.45%,4.08%,0.36%,0.26%,5.98%,-2.62%,-3.51%,-1.38%,-0.13%,-1.82%,-5.14%,0.48%,Upgrade
