,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+20 Quarters
0,Cash & Equivalents,16928,11161,10348,-,6271,8777,6338,4491,11867,5628,3160,5072,5622,5456,6126,-,12900,14165,2068,16519,Upgrade
1,Short-Term Investments,85000,25000,-,-,-,5486,5486,5486,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,101928,36161,10348,6271,6271,14264,11825,9978,11867,5628,3160,5072,5622,5456,6126,12900,12900,14165,2068,16519,Upgrade
3,Cash Growth,1525.46%,153.51%,-12.48%,-37.15%,-47.16%,153.43%,274.19%,96.71%,111.07%,3.15%,-48.41%,-60.68%,-56.42%,-61.48%,196.16%,-21.91%,38.40%,175.67%,-15.39%,6.93%,Upgrade
4,Accounts Receivable,59987,84671,47337,-,60871,49811,45315,42445,48832,49672,45623,39756,40146,25890,35070,-,35112,31467,29483,28135,Upgrade
5,Other Receivables,174.61,1414,1124,-,1966,1418,1273,2773,587.44,2265,1184,1968,653.93,1262,1430,-,88.54,453.76,134.05,55.73,Upgrade
6,Receivables,125102,86085,48461,-,62837,51229,46589,45218,49420,51937,46807,41724,40800,27152,36500,-,35200,31921,29617,28191,Upgrade
7,Inventory,62155,109825,117056,-,131744,116994,123563,114940,129436,111837,97659,93020,108146,125362,124082,-,146313,168073,127166,97865,Upgrade
8,Prepaid Expenses,1110,1317,779.5,-,354.4,122.33,327.36,367,295.01,177.68,317.21,193.72,270.58,130.23,249.59,-,255.47,131.24,374.44,77.3,Upgrade
9,Other Current Assets,5126,4431,1325,-,54388,7357,2548,3429,959.75,3017,2852,13165,21308,12847,8783,-,2498,29646,31414,6981,Upgrade
10,Total Current Assets,295421,237819,177970,-,255594,189966,184851,173932,191977,172597,150795,153175,176147,170947,175741,-,197166,243936,190641,149633,Upgrade
11,"Property, Plant & Equipment",17047,25956,145659,-,106067,108568,113199,117795,122092,126900,130197,107298,95610,98545,101964,-,106140,73576,76389,78229,Upgrade
12,Long-Term Investments,1972,48984,1313,-,1193,1460,1460,1467,1467,1013,1013,819.99,819.99,946.66,946.66,-,853.32,859.99,859.99,1180,Upgrade
13,Other Long-Term Assets,4457,6326,8582,-,9066,6438,6335,6446,5502,5132,4976,3317,3328,3333,3022,-,893.91,699.78,733.24,-,Upgrade
14,Total Assets,318898,319085,333524,-,371921,306432,305845,299640,321038,305643,286981,264611,275906,273772,281673,-,305053,319072,268622,229042,Upgrade
15,Accounts Payable,15945,16745,44254,-,31205,38067,36003,39073,38697,31653,17668,28153,12327,21982,24518,-,23495,34639,15424,27875,Upgrade
16,Accrued Expenses,13955,14734,5205,-,6173,4173,5294,4022,9121,6134,6206,4705,10302,9285,13064,-,11734,12588,9561,9176,Upgrade
17,Short-Term Debt,-,28159,69005,-,98807,78845,61602,62561,62217,61643,40303,31148,34702,43672,44115,-,47805,80061,47771,31852,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,6622,5509,6115,5419,6069,9214,12683,12384,15671,11270,14159,-,13328,3157,12255,5565,Upgrade
19,Current Portion of Leases,-,-,559.45,-,8382,-,715.43,-,660.19,-,608.96,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,3637,1529,1017,-,-,-,939.92,997.6,2688,3287,2853,2913,4859,6438,9893,-,7825,3418,3180,2556,Upgrade
21,Current Unearned Revenue,-,-,-,-,13513,-,14574,-,12846,-,16420,-,17355,-,-,-,7666,-,-,-,Upgrade
22,Other Current Liabilities,424.27,237.56,936.45,-,5140,206.58,5403,1076,5787,1380,4914,1633,5756,3472,789.76,-,366,1767,10388,160.62,Upgrade
23,Total Current Liabilities,33961,61405,120976,-,169842,126801,130647,113150,138084,113312,101657,80937,100973,96119,106539,-,112219,135630,98580,77183,Upgrade
24,Long-Term Debt,-,-,11689,-,11338,14638,14638,17906,17906,21218,21218,14179,13617,14271,14271,-,22700,27008,20299,25615,Upgrade
25,Long-Term Leases,-,-,36649,-,32656,559.45,559.45,931.78,931.78,1275,1275,1592,2154,1884,1884,-,-,-,-,-,Upgrade
26,Long-Term Deferred Tax Liabilities,-,-,226.12,-,226.12,271.43,271.43,316.43,316.43,220.31,220.31,133.69,133.69,-,-,-,-,-,-,-,Upgrade
27,Other Long-Term Liabilities,8640,9337,-,-,-,-,-,-,-,-,-,-,-,171.81,203.11,-,160.75,100.19,56.33,44.73,Upgrade
28,Total Liabilities,42601,70741,169540,-,214062,142270,146116,132304,157238,136026,124370,96841,116877,112446,122897,-,135080,162738,118935,102843,Upgrade
29,Common Stock,150713,150713,105463,-,105463,105463,103395,103395,103395,103395,103395,103395,103395,103395,103395,-,103395,98495,98495,81976,Upgrade
30,Additional Paid-In Capital,15557,15557,24015,-,24015,24048,24081,24081,24081,24081,24081,24081,24081,24081,24081,-,24081,24081,24081,24081,Upgrade
31,Retained Earnings,110344,82390,34824,-,28699,34967,32570,40177,36640,42458,35452,40610,31870,34168,31617,-,42815,34076,27429,20459,Upgrade
32,Treasury Stock,-317.12,-317.12,-317.12,-,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-317.12,-,-317.12,-317.12,-317.12,-317.12,Upgrade
33,Shareholders' Equity,276297,248343,163984,157859,157859,164161,159729,167336,163799,169617,162611,167769,159029,161326,158776,169974,169974,156334,149688,126199,Upgrade
34,Total Liabilities & Equity,318898,319085,333524,-,371921,306432,305845,299640,321038,305643,286981,264611,275906,273772,281673,-,305053,319072,268622,229042,Upgrade
35,Total Debt,-,28159,117902,157805,157805,99552,83631,86818,87784,93351,76088,59303,66144,71097,74429,83833,83833,110225,80325,63031,Upgrade
36,Net Cash (Debt),101928,8001,-107553,-151534,-151534,-85289,-71806,-76840,-75917,-87723,-72928,-54231,-60522,-65641,-68303,-70933,-70933,-96060,-78257,-46512,Upgrade
37,Net Cash Per Share,5642.87,531.69,-8039.87,-11335.74,-11042.22,-6369.25,-5367.25,-5749.77,-5674.02,-6560.28,-5451.45,-4055.00,-4526.01,-4904.70,-5107.43,-5299.78,-5469.91,-7438.15,-6047.05,-4389.56,Upgrade
38,Filing Date Shares Outstanding,18.06,15.05,13.64,13.37,13.64,13.64,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,12.74,12.74,10.6,Upgrade
39,Total Common Shares Outstanding,18.06,15.05,13.64,13.37,13.64,13.64,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,12.74,12.74,10.6,Upgrade
40,Working Capital,261460,176414,56994,-,85752,63164,54205,60782,53893,59285,49138,72238,75175,74828,69202,-,84947,108307,92061,72450,Upgrade
41,Book Value Per Share,15296.18,16502.16,12019.00,11570.08,11570.08,12031.95,11941.68,12510.41,12245.98,12680.90,12157.13,12542.78,11889.33,12061.10,11870.41,12707.61,12707.61,12270.46,11748.78,11905.71,Upgrade
42,Tangible Book Value,276297,248343,163984,157859,157859,164161,159729,167336,163799,169617,162611,167769,159029,161326,158776,169974,169974,156334,149688,126199,Upgrade
43,Tangible Book Value Per Share,15296.18,16502.16,12019.00,11570.08,11570.08,12031.95,11941.68,12510.41,12245.98,12680.90,12157.13,12542.78,11889.33,12061.10,11870.41,12707.61,12707.61,12270.46,11748.78,11905.71,Upgrade
44,Buildings,10668,10668,9591,-,9591,9591,9591,9591,9591,9591,9591,9746,9746,9455,9455,-,9455,9455,9455,9455,Upgrade
