,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,6033,6637,4462,5925,6517,5506,3864,2965,-,-,-,4522,4522,1689,1689
1,Short-Term Investments,-,70.09,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,741,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,6033,6707,4462,5925,6517,6247,3864,2965,-,-,4522,4522,4522,1689,1689
4,Cash Growth,-7.42%,7.36%,15.49%,99.83%,-,-,-14.56%,-34.43%,-,-,167.80%,-,-,-,-
5,Accounts Receivable,3208,4456,4666,4440,3227,4107,4036,4951,-,-,-,3536,3536,3194,3194
6,Other Receivables,2219,1439,1667,1108,1017,1323,4442,769.41,-,-,-,397.77,9.84,2506,2506
7,Receivables,5427,5896,6334,5548,4244,5430,8478,5720,-,-,-,3934,3546,5700,5700
8,Inventory,13728,13012,13172,11977,9048,12579,10108,10127,-,-,-,9848,13042,10125,10125
9,Prepaid Expenses,-,29.65,-,1.68,-,94.56,-,23.99,-,-,-,176.18,391.31,1.96,1.96
10,Other Current Assets,4520,4388,4967,2158,3754,2212,3683,2387,-,-,-,3484,463.56,3759,3759
11,Total Current Assets,29709,30033,28935,25610,23562,26562,26132,21223,-,-,-,21965,21965,21275,21275
12,"Property, Plant & Equipment",21.3,24.32,16.84,33.56,42.92,54.92,62.33,80.24,-,-,-,838.01,838.01,541.47,541.47
13,Long-Term Investments,19684,19589,18413,18357,17941,17698,16561,16588,-,-,-,14105,14080,13516,13516
14,Other Intangible Assets,19.19,19.19,18.04,18.62,15.58,15.51,10.66,10.74,-,-,-,12.01,12.01,11.38,11.38
15,Long-Term Accounts Receivable,-,154.02,-,-,-,30.86,-,730,-,-,-,1342,1342,694.1,694.1
16,Long-Term Deferred Tax Assets,159.63,195.72,316.8,26.85,66.68,27.31,23.32,18.83,-,-,-,43.42,43.42,126.09,126.09
17,Long-Term Deferred Charges,2.62,1.56,2.25,1.71,2.26,2.13,2.22,2.43,-,-,-,3.6,3.6,4.85,4.85
18,Other Long-Term Assets,144.2,40.63,151.84,143.07,443.26,141.67,938.81,41.67,-,-,-,28.49,53.2,62.71,62.71
19,Total Assets,50166,50365,48154,44487,42073,44825,43731,38966,-,-,-,38570,38570,36460,36460
20,Accounts Payable,9177,9005,5926,8560,7120,7694,4031,7594,-,-,-,8683,8683,9575,9575
21,Accrued Expenses,288.63,359.29,220.85,512.77,297.65,444.75,274.58,531.12,-,-,-,397.73,397.73,389.5,389.5
22,Short-Term Debt,10235,12455,13561,8527,6817,10175,10528,7338,-,-,-,7484,7484,5862,5862
23,Current Portion of Long-Term Debt,1736,2177,3298,2482,3859,1589,2971,2230,-,-,-,1002,1002,710.97,710.97
24,Current Portion of Leases,-,447.81,-,680.05,-,731.94,-,768.06,-,-,-,223.44,223.44,284.21,284.21
25,Current Income Taxes Payable,316.64,197.62,273.64,30.74,176.42,2.55,308.65,62.36,-,-,-,99.58,99.58,189.75,189.75
26,Current Unearned Revenue,1252,860.16,1266,575.35,2200,808.37,2196,855.65,-,-,-,1622,1622,1163,1163
27,Other Current Liabilities,1056,1043,428.25,541.35,369.13,983.47,659.86,768.99,-,-,-,973.06,973.06,508.26,508.26
28,Total Current Liabilities,24061,26544,24973,21909,20838,22428,20969,20149,-,-,-,20485,20485,18682,18682
29,Long-Term Debt,4580,2589,3267,3112,2508,4107,4348,3897,-,-,-,4967,4967,5331,5331
30,Long-Term Leases,141.95,167.14,1.45,4.03,3.88,6.21,636.31,692.61,-,-,-,2035,2035,1067,1067
31,Long-Term Unearned Revenue,0.01,0.01,-,0.01,-,0.01,-,0.01,-,-,-,0.01,0.01,0.15,0.15
32,Long-Term Deferred Tax Liabilities,215.6,233.81,389.23,200.52,242.75,187.75,136.54,139.91,-,-,-,77.09,77.09,99.39,99.39
33,Other Long-Term Liabilities,174.22,112.1,139.09,95.43,100.45,65.12,116.4,66.96,-,-,-,62.57,62.57,35.6,35.6
34,Total Liabilities,29172,29691,28770,25370,23694,26842,26206,24995,-,-,-,27671,27671,25255,25255
35,Common Stock,4900,4900,4900,4900,4900,4900,4900,4399,-,-,-,4399,4399,4399,4399
36,Additional Paid-In Capital,5571,5589,4467,4469,4024,4025,4005,1313,-,-,-,1314,1314,1196,1196
37,Retained Earnings,9981,9370,9154,8999,8514,8009,8219,7677,-,-,-,5561,5561,5789,5789
38,Comprehensive Income & Other,541.25,814.83,863.57,748.79,941.84,1048,400.11,583.32,-,-,-,-375.29,-375.29,-179.22,-179.22
39,Shareholders' Equity,20993,20675,19384,19117,18380,17983,17525,13971,-,-,10899,10899,10899,11205,11205
40,Total Liabilities & Equity,50166,50365,48154,44487,42073,44825,43731,38966,-,-,-,38570,38570,36460,36460
41,Total Debt,16693,17836,20127,14805,13188,16608,18484,14926,-,-,15712,15712,15712,13255,13255
42,Net Cash (Debt),-10659,-11129,-15665,-8880,-6671,-10361,-14620,-11961,-,-,-11190,-11190,-11190,-11567,-11567
43,Net Cash Per Share,-2.09,-2.36,-3.20,-1.83,-1.33,-2.12,-3.32,-2.61,-,-,-2.54,-2.51,-2.51,-2.61,-2.61
44,Filing Date Shares Outstanding,4900,4900,4900,4900,4900,4900,4900,4399,4385,4358,4399,4399,4399,4399,4399
45,Total Common Shares Outstanding,4900,4900,4900,4900,4900,4900,4900,4399,4385,4358,4399,4399,4399,4399,4399
46,Working Capital,5648,3489,3962,3702,2724,4134,5163,1074,-,-,-,1480,1480,2593,2593
47,Book Value Per Share,4.28,4.22,3.96,3.90,3.75,3.67,3.58,3.18,-,-,2.48,2.48,2.48,2.55,2.55
48,Tangible Book Value,20974,20656,19366,19098,18364,17967,17514,13961,-,-,10887,10887,10887,11194,11194
49,Tangible Book Value Per Share,4.28,4.22,3.95,3.90,3.75,3.67,3.57,3.17,-,-,2.47,2.47,2.47,2.54,2.54
50,Machinery,-,-,-,-,-,-,-,-,-,-,-,15.66,15.66,15.62,15.62
51,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,7.76,7.76,8.7,8.7
