,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,37240,40033,33663,39396,37779,39102,43022,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,2.38%,2.38%,-21.75%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,47899,51162,49328,48276,44450,49463,57642,-,-,-,-,-,-,-,-,-
3,Last Close Price,7.60,8.17,6.72,7.87,7.55,7.81,8.46,-,-,-,-,-,-,-,-,-
4,PE Ratio,16.88,18.18,16.06,23.60,18.36,20.53,25.21,-,-,-,-,-,-,-,-,-
5,PS Ratio,0.30,0.32,0.26,0.32,0.30,0.32,0.36,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.77,1.91,1.63,2.03,1.98,2.13,2.39,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.91,1.91,1.63,2.03,1.98,2.13,2.39,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-8.44,-26.86,-,-,15.64,8.52,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-8.44,-26.94,-,-,15.59,8.51,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.38,0.41,0.39,0.39,0.36,0.40,0.49,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,31.00,34.07,-,24.14,18.26,27.86,47.94,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,31.92,34.09,-,24.15,18.27,27.88,47.99,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-10.09,-10.78,-39.36,-,-,19.79,11.42,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.80,0.80,0.86,1.04,0.77,0.72,0.92,1.05,1.07,-,-,1.44,1.44,1.44,1.18,1.18
15,Debt / EBITDA Ratio,10.80,22.66,-,12.83,3.50,5.84,80.52,5.60,8.03,-,-,5.89,-,-,3.96,3.96
16,Debt / FCF Ratio,-,-3.52,-14.23,-,-,5.28,3.29,-,-,-,-,-,-4.86,-4.21,-,-
17,Asset Turnover,2.45,3.04,2.32,2.79,3.09,3.02,2.68,-,-,-,-,2.94,3.02,3.08,-,
18,Inventory Turnover,10.82,9.13,11.40,8.39,11.03,12.17,11.78,10.60,-,-,-,-,10.08,9.96,10.71,-
19,Quick Ratio,0.48,0.48,0.47,0.43,0.52,0.52,0.52,0.59,0.43,-,-,-,0.41,0.39,0.40,0.40
20,Current Ratio,1.23,1.23,1.13,1.16,1.17,1.13,1.18,1.25,1.05,-,-,-,1.07,1.07,1.14,1.14
21,Return on Equity (ROE),11.72%,19.01%,3.22%,10.34%,11.11%,11.82%,13.79%,-,-,-,19.05%,4.99%,4.92%,27.68%,-,
22,Return on Assets (ROA),0.91%,-0.45%,2.11%,5.86%,3.24%,0.17%,4.99%,-,-,-,-,-3.86%,-4.25%,5.66%,-,
23,Return on Capital (ROIC),1.21%,-0.57%,2.67%,7.74%,4.26%,0.21%,6.36%,-,-,-,6.26%,-5.60%,-6.24%,8.44%,-,
24,Return on Capital Employed (ROCE),5.75%,5.75%,-,8.62%,10.77%,8.35%,5.36%,4.39%,4.47%,-,-,-,-,-,9.29%,4.65%
25,Earnings Yield,5.91%,5.50%,6.23%,4.24%,5.45%,4.87%,3.97%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-12.74%,-11.85%,-3.72%,-7.24%,1.17%,6.39%,11.73%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.97%,-,-,-,1.99%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,76.05%,157.35%,30.97%,160.77%,35.11%,194.35%,35.07%,33.61%,98.49%,186.32%,8.34%,9.24%,114.51%,114.51%,4.74%,4.74%
29,Buyback Yield / Dilution,-3.60%,-1.59%,3.27%,-11.33%,-5.69%,-14.37%,-12.06%,0.01%,-2.71%,1.69%,1.64%,0.71%,-,-,-,-
30,Total Shareholder Return,-1.63%,-1.59%,3.27%,-11.33%,-3.71%,-14.37%,-12.06%,0.01%,-2.71%,1.69%,1.64%,0.71%,-,-,-,-
