,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,31078,37147,26832,30042,33636,33410,27733,27676,28988,36527,25613,28199,28199,27994,27994
1,Other Revenue,-270.6,270.6,-,177.04,-74.44,74.44,-,370.57,-230.42,230.42,-,144.56,144.56,70.16,70.16
2,Revenue,30807,37418,26832,30219,33562,33484,27733,28046,28757,36758,25613,28344,28344,28065,28065
3,Revenue Growth (YoY),-8.21%,11.75%,-3.25%,7.75%,16.71%,-8.91%,8.28%,-1.05%,1.46%,30.98%,-8.73%,-,-,-,-
4,Cost of Revenue,30506,37311,26390,28993,32897,33397,26800,27414,28660,36784,24926,28847,28847,27113,27113
5,Gross Profit,300.77,106.33,441.9,1227,664.91,86.95,933.18,632.14,96.89,-26.46,687.57,-503.27,-503.27,951.39,951.39
6,"Selling, General & Admin",189.24,120.63,88.33,110.51,102.87,63.41,143.89,102.76,128.64,125.07,102.05,114.07,114.07,95.28,95.28
7,Research & Development,8.71,14.45,1.39,3.69,9.71,12.04,2.97,2.98,7.16,7.42,3.81,5.74,5.74,4.53,4.53
8,Other Operating Expenses,-81.13,64.05,-44.12,91.63,0.62,-8.66,-38.89,127.43,9.29,-11.28,-84.74,10.25,10.25,12.91,12.91
9,Operating Expenses,116.9,194.96,50.13,213.02,101.16,57.16,107.97,276.75,106.25,144.74,21.12,92.47,134.5,125.29,125.29
10,Operating Income,183.87,-88.63,391.77,1014,563.75,29.78,825.21,355.38,-9.35,-171.2,666.44,-595.74,-637.77,826.1,826.1
11,Interest Expense,-226.95,-313.87,-248.74,-227.33,-218.18,-257.6,-196.12,-172.78,-141.41,-98.99,-66.13,-53.13,-53.13,-36.54,-36.54
12,Interest & Investment Income,972.13,839.71,92.09,34.76,379.15,284.43,7.42,214.04,1664,644.09,136.5,631.93,631.93,31.09,31.09
13,Currency Exchange Gain (Loss),221.02,-221.02,-,-324.59,266.77,-266.77,-,-602.5,250.05,-250.05,-,43.38,43.38,19.14,19.14
