,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1167,1346,1476,2130,1566,1722,436.91,785.83,-,-,-,531.29,531.29,418.92,418.92
1,Trading Asset Securities,321.08,300.46,100.27,-,100.32,100.01,60.14,0.05,-,-,-,60.05,60.05,5.14,5.14
2,Cash & Short-Term Investments,1488,1647,1576,2130,1667,1822,497.05,785.88,-,-,591.34,591.34,591.34,424.06,424.06
3,Cash Growth,-10.72%,-9.62%,217.06%,171.03%,-,-,-15.95%,32.90%,-,-,39.45%,-,-,-,-
4,Accounts Receivable,2920,2683,2494,2248,2098,1679,1496,1554,-,-,-,1445,1445,1085,1085
5,Other Receivables,35.1,5.03,30.76,5.39,39.31,3.59,26.63,4.48,-,-,-,5.76,5.76,7.05,7.05
6,Receivables,2955,2688,2525,2253,2137,1683,1523,1558,-,-,-,1451,1451,1093,1093
7,Inventory,136.91,153.91,173.75,198.62,294.88,109.89,123.33,140.46,-,-,-,100.89,100.89,95.44,95.44
8,Other Current Assets,187.06,200.88,250.29,173.22,175.05,180.8,165.01,110.73,-,-,-,98.07,98.07,128.91,128.91
9,Total Current Assets,4767,4690,4525,4755,4274,3795,2308,2595,-,-,-,2241,2241,1741,1741
10,"Property, Plant & Equipment",195.31,196.37,160.72,153.22,142.75,141.61,140.87,134.77,-,-,-,64.48,64.48,62.63,62.63
11,Long-Term Investments,20.24,20.24,20,20,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,-,-,6.69,6.69,7.5,7.5,7.5,7.5,-,-,-,7.5,7.5,7.5,7.5
13,Other Intangible Assets,15.71,15.87,15.99,16.19,16.4,16.65,16.88,17.14,-,-,-,19.59,19.59,20.02,20.02
14,Long-Term Accounts Receivable,232.83,143.21,98.28,82.6,101.25,101.1,131.04,128.35,-,-,-,95.21,95.21,93.76,93.76
15,Long-Term Deferred Tax Assets,54.37,49.02,44.89,44.25,36.51,31.57,28.12,28.05,-,-,-,35,35,27.51,27.51
16,Long-Term Deferred Charges,1.53,0.33,0.37,0.42,0.47,0.51,0.56,0.6,-,-,-,0.79,0.79,0.88,0.88
17,Other Long-Term Assets,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
18,Total Assets,5287,5115,4872,5078,4599,4094,2633,2912,-,-,-,2464,2464,1953,1953
19,Accounts Payable,2207,2181,1869,2083,1657,1228,1056,1342,-,-,-,1194,1194,836.04,836.04
20,Accrued Expenses,43.76,34.29,26.96,51.22,37.93,30.03,20.93,40.21,-,-,-,34.75,34.75,17.77,17.77
21,Short-Term Debt,-,-,-,-,-,-,40.05,50.2,-,-,-,55.02,55.02,60.21,60.21
22,Current Portion of Leases,3.02,3.21,2.63,1.27,1.68,1.96,2.33,2.32,-,-,-,1.41,1.41,1.7,1.7
23,Current Income Taxes Payable,35.98,22.41,33.48,34.54,30.43,19.24,33.05,39.31,-,-,-,43.38,43.38,13.89,13.89
24,Current Unearned Revenue,15.82,13.79,51.41,72.01,64.86,78.37,61.86,71.09,-,-,-,50.78,50.78,37.79,37.79
25,Other Current Liabilities,155.87,65.55,55.51,63.44,98.28,60.95,55.86,51.74,-,-,-,47.29,47.29,73.44,73.44
26,Total Current Liabilities,2462,2320,2039,2305,1891,1418,1270,1597,-,-,-,1427,1427,1041,1041
27,Long-Term Debt,-,-,-,-,-,-,26.04,20.03,-,-,-,-,-,-,-
28,Long-Term Leases,3.79,4.34,3.88,0.85,0.91,1.01,1.09,1.18,-,-,-,1.48,1.48,1.89,1.89
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0.72,0.79,0.97,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,0.03,0.57,0.07,0.07,0.07,0.08,-,-,-,0.36,0.36,0.25,0.25
31,Total Liabilities,2466,2324,2043,2307,1892,1420,1298,1618,-,-,-,1428,1428,1043,1043
32,Common Stock,527.33,522.5,522.5,522.5,522.5,522.5,392.5,392.5,-,-,-,392.5,392.5,392.5,392.5
33,Additional Paid-In Capital,1338,1313,1312,1311,1309,1308,75.98,74.67,-,-,-,69.42,69.42,67.05,67.05
34,Retained Earnings,980.32,952.79,992.54,936.87,872.68,841.84,865.19,824.78,-,-,-,573.94,573.94,450.99,450.99
35,Treasury Stock,-26.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,1.39,1.81,1.64,1.61,1.96,1.82,0.92,1.12,-,-,-,-0.5,-0.5,-0.29,-0.29
37,Total Common Equity,2821,2790,2829,2772,2706,2674,1335,1293,-,-,1035,1035,1035,910.25,910.25
38,Minority Interest,0.28,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,2822,2790,2829,2772,2706,2674,1335,1293,-,-,1035,1035,1035,910.25,910.25
40,Total Liabilities & Equity,5287,5115,4872,5078,4599,4094,2633,2912,-,-,-,2464,2464,1953,1953
41,Total Debt,6.81,7.55,6.51,2.13,2.59,2.97,69.5,73.73,-,-,57.91,57.91,57.91,63.79,63.79
42,Net Cash (Debt),1481,1639,1569,2128,1664,1819,427.55,712.15,-,-,533.43,533.43,533.43,360.26,360.26
43,Net Cash Growth,-10.99%,-9.88%,267.07%,198.79%,-,-,-19.85%,33.50%,-,-,48.07%,-,-,-,-
44,Net Cash Per Share,2.75,3.03,3.10,4.28,3.20,3.79,1.06,1.84,-,-,1.37,1.30,1.30,0.98,0.98
45,Filing Date Shares Outstanding,527.33,522.5,522.5,522.5,522.5,522.5,392.5,522.5,394.55,396.46,389.98,392.5,392.5,392.5,392.5
46,Total Common Shares Outstanding,527.33,522.5,522.5,522.5,522.5,522.5,392.5,392.5,394.55,396.46,389.98,392.5,392.5,392.5,392.5
47,Working Capital,2305,2370,2486,2450,2383,2377,1038,997.94,-,-,-,814.64,814.64,700.08,700.08
48,Book Value Per Share,5.35,5.34,5.41,5.30,5.18,5.12,3.40,3.29,-,-,2.64,2.64,2.64,2.32,2.32
49,Tangible Book Value,2806,2774,2806,2749,2683,2650,1310,1268,-,-,1008,1008,1008,882.73,882.73
50,Tangible Book Value Per Share,5.32,5.31,5.37,5.26,5.13,5.07,3.34,3.23,-,-,2.57,2.57,2.57,2.25,2.25
51,Buildings,-,187.06,-,-,-,68.03,-,-,-,-,-,69.59,69.59,70.21,70.21
52,Machinery,-,21.02,-,85.21,-,17.16,-,84.1,-,-,-,15.43,15.43,14.99,14.99
53,Construction In Progress,-,6.14,-,102.53,-,88.21,-,80.12,-,-,-,6.12,6.12,0.79,0.79
