,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1336,1357,1145,1446,1092,898.38,542.24,775.77,688.73,701.96,584.89,866.51,866.51,504.3,504.3
1,Other Revenue,-0.22,0.22,-,0.25,-0.11,0.11,-,0.11,-,-,-,0.01,0.01,0.38,0.38
2,Revenue,1336,1358,1145,1447,1092,898.49,542.24,775.88,688.73,701.96,584.89,866.52,866.52,504.68,504.68
3,Revenue Growth (YoY),22.28%,51.10%,111.11%,86.46%,58.58%,28.00%,-7.29%,-10.46%,-20.52%,39.09%,15.89%,-,-,-,-
4,Cost of Revenue,1183,1232,1035,1316,962.7,788.55,461.15,658.96,596.13,576.46,519.92,760.34,760.34,443.54,443.54
5,Gross Profit,152.11,125.55,110.1,130.46,129.48,109.94,81.09,116.91,92.6,125.51,64.98,106.18,106.18,61.14,61.14
6,"Selling, General & Admin",48.4,42.27,34.53,30.38,31.27,31.05,25.75,23.9,27.48,21.88,22.38,20.98,20.98,22.13,22.13
7,Research & Development,2.56,3.69,4.03,5.28,4.32,4.34,2.92,3.38,1.98,2.41,1.93,2.06,2.06,1.11,1.11
8,Other Operating Expenses,1.16,2.45,1.83,1.81,1.5,1.62,1.47,3.18,1.08,0.38,0.84,1.54,1.54,1.11,1.11
9,Operating Expenses,51.5,88.16,23.39,101.43,23.89,57.54,21.84,52.59,19.21,11.34,3.43,45.94,45.94,22.04,22.04
10,Operating Income,100.61,37.39,86.71,29.03,105.59,52.4,59.25,64.33,73.39,114.17,61.55,60.24,60.24,39.1,39.1
11,Interest Expense,-0.09,-0.06,-0.06,-,-0.06,-0.54,-0.12,-0.74,-0.6,-2.04,-,-0.62,-0.62,-0.39,-0.39
12,Interest & Investment Income,3.51,5.47,8.74,10.47,10.48,9.35,1.69,0.77,0.94,2.49,0.53,1.22,1.22,0.81,0.81
13,Currency Exchange Gain (Loss),-1.6,1.6,-,0.21,-0.82,0.82,-,2.7,-1.45,1.45,-,-0.19,-0.19,-0.07,-0.07
14,Other Non Operating Income (Expenses),0.14,0.62,-0.08,-2.48,1.19,1.37,-0.69,-4.47,2.49,1.11,0.12,-0.7,-0.7,-0.06,-0.06
15,EBT Excluding Unusual Items,102.57,45.01,95.31,37.23,116.37,63.4,60.13,62.58,74.78,117.17,62.2,59.96,59.96,39.4,39.4
16,Impairment of Goodwill,6.69,-6.69,-,-0.81,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,1.17,0.65,0.27,-0.32,0.31,-0.12,0.14,-,-,-,-,0.05,0.05,-0.05,-0.05
18,Gain (Loss) on Sale of Assets,0.36,0,-0,-0,-,-,-,-,12.81,-,0.51,0.05,0.05,0.17,0.17
19,Asset Writedown,-27.1,20.6,-20.61,40.43,-40.5,5.17,-5.2,12.83,-12.88,5.46,-5.47,0,0,-0.01,-0.01
20,Other Unusual Items,-0.98,1.04,-0.06,3.97,-,0.06,-0.06,6.21,0,-0,-,0.99,0.99,0.18,0.18
21,Pretax Income,82.71,60.61,74.9,80.51,76.18,68.51,55.01,81.62,74.72,122.63,57.25,61.05,61.05,39.69,39.69
22,Income Tax Expense,23.59,16.78,19.23,16.33,19.21,16.09,14.61,19.73,19.45,31.84,14.35,14.61,14.61,10.2,10.2
23,Earnings From Continuing Operations,59.12,43.83,55.67,64.18,56.97,52.42,40.41,61.89,55.26,90.8,42.9,46.44,46.44,29.49,29.49
24,Minority Interest in Earnings,0.05,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,59.17,43.85,55.67,64.18,56.97,52.42,40.41,61.89,55.26,90.8,42.9,46.44,46.44,29.49,29.49
26,Net Income to Common,59.17,43.85,55.67,64.18,56.97,52.42,40.41,61.89,55.26,90.8,42.9,46.44,46.44,29.49,29.49
27,Net Income Growth,3.87%,-16.35%,37.77%,3.70%,3.08%,-42.27%,-5.80%,33.27%,19.00%,207.89%,45.47%,-,-,-,-
28,Shares Outstanding (Basic),539,541,506,498,520,480,404,387,395,396,390,410,410,369,369
29,Shares Outstanding (Diluted),539,541,506,498,520,480,404,387,395,396,390,410,410,369,369
