,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6206,5827,5586,5648,6881,6954,7790,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-16.21%,-16.21%,-28.30%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4725,4188,4016,3984,5217,5135,7363,-,-,-,-,-,-,-,-,-
3,Last Close Price,11.77,10.99,10.63,10.62,12.93,13.02,14.58,-,-,-,-,-,-,-,-,-
4,PE Ratio,27.52,26.15,25.31,24.64,32.16,32.85,37.10,-,-,-,-,-,-,-,-,-
5,Forward PE,25.04,22.55,20.96,19.48,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.16,1.10,1.11,1.23,1.73,2.10,2.68,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.20,2.07,2.00,2.00,2.48,2.57,2.91,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.08,2.08,2.01,2.01,2.50,2.59,2.94,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-151.10,-,39.27,-,83.63,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,184.66,-,32.22,-,51.31,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.89,0.79,0.80,0.87,1.31,1.55,2.53,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.11,16.07,15.12,14.26,20.69,17.85,28.82,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,18.62,16.50,15.52,14.55,21.19,18.24,29.53,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-59.09,-,-108.64,-,29.78,-,79.04,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,-,-,0.06,0.06,0.06,0.07,0.07
16,Debt / EBITDA Ratio,0.03,0.02,0.05,0.02,0.02,0.01,0.01,0.29,0.27,-,-,0.23,0.23,0.23,0.39,0.39
17,Debt / FCF Ratio,-,-,-0.20,-,0.01,-,0.03,-,0.45,-,-,-,0.41,1.47,-,-
18,Asset Turnover,1.03,1.09,0.92,1.20,1.01,1.07,0.78,-,-,-,-,1.41,1.57,1.03,-,
19,Inventory Turnover,22.08,32.55,30.08,22.23,21.34,19.03,27.05,13.99,-,-,-,-,30.15,30.98,18.59,-
20,Quick Ratio,1.80,1.80,1.87,2.01,1.90,2.01,2.47,1.59,1.47,-,-,-,1.43,1.43,1.46,1.46
21,Current Ratio,1.94,1.94,2.02,2.22,2.06,2.26,2.68,1.82,1.62,-,-,-,1.57,1.57,1.67,1.67
22,Return on Equity (ROE),8.43%,6.24%,7.95%,9.37%,8.47%,10.46%,12.30%,-,-,-,16.57%,17.94%,19.10%,12.96%,-,
23,Return on Assets (ROA),4.84%,1.87%,4.36%,1.50%,6.07%,3.89%,5.34%,-,-,-,-,6.11%,6.82%,5.00%,-,
24,Return on Capital (ROIC),8.94%,3.32%,7.73%,2.65%,9.80%,6.42%,10.69%,-,-,-,14.07%,13.78%,14.57%,10.03%,-,
25,Return on Capital Employed (ROCE),8.98%,8.98%,9.26%,9.66%,8.88%,10.40%,9.32%,22.83%,23.85%,-,-,-,19.16%,13.35%,8.57%,4.28%
26,Earnings Yield,3.59%,3.82%,3.95%,4.06%,3.11%,3.04%,2.70%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-1.29%,-1.37%,-0.66%,-1.66%,2.55%,1.45%,1.20%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,1.82%,-,2.07%,-,1.62%,-,1.34%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,49.22%,-,190.66%,-,40.65%,2.55%,142.03%,1.56%,0.95%,0.92%,1.39%,1.74%,33.21%,33.21%,0.77%,0.77%
30,Buyback Yield / Dilution,-16.38%,-3.67%,-12.81%,-25.25%,-28.66%,-31.86%,-21.06%,-3.62%,5.69%,3.80%,-7.55%,-5.79%,-,-,-,-
31,Total Shareholder Return,-14.56%,-3.67%,-10.75%,-25.25%,-27.04%,-31.86%,-19.73%,-3.62%,5.69%,3.80%,-7.55%,-5.79%,-,-,-,-
