,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Operating Revenue,46.13,-,44.61,-,73.75,84.45,64.9,72.08,55.01,67.32,Upgrade
1,Revenue,46.13,-,44.61,-,73.75,84.45,64.9,72.08,55.01,67.32,Upgrade
2,Revenue Growth (YoY),3.42%,-,-39.52%,-,13.64%,17.16%,17.97%,7.07%,-21.28%,-15.92%,Upgrade
3,Cost of Revenue,35.84,-,34.62,-,35.77,22.4,26.43,33.47,23.96,28.94,Upgrade
4,Gross Profit,10.29,-,9.98,-,80.76,-4.25,42.52,76.8,84.69,-52.55,Upgrade
5,"Selling, General & Admin",26.47,-,29.61,-,39.05,40.89,45.04,43.43,32.28,35.54,Upgrade
6,Other Operating Expenses,-0.06,-,-0.08,-,-0.51,1.33,-1.44,-0.03,-0.9,1.75,Upgrade
7,Operating Expenses,53.75,-,29.42,-,43.47,160.62,42.79,84.38,40.77,45.48,Upgrade
8,Operating Income,-43.46,-,-19.44,-,37.3,-164.86,-0.28,-7.58,43.92,-98.03,Upgrade
9,Interest Expense,-14.48,-,-13.86,-,-25.03,-25.48,-13.18,-55.03,-51.47,-46.43,Upgrade
10,Interest & Investment Income,9.41,-,0.49,-,0.38,0.5,0.75,0.83,1.11,1.11,Upgrade
11,Earnings From Equity Investments,-1.17,-,-,-,-,-,-,-,-,-,Upgrade
12,Currency Exchange Gain (Loss),-,-,0.07,-,-0.17,1.32,1.6,-0.28,-0.14,-0.33,Upgrade
13,EBT Excluding Unusual Items,-49.7,-,-32.75,-,12.47,-188.53,-11.11,-62.06,-6.58,-143.67,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-91.45,Upgrade
15,Asset Writedown,-31.51,-,-78.46,-,-70.59,-41.61,-9.64,-26.57,-54.92,-36.15,Upgrade
16,Other Unusual Items,-,-,-17.44,-,0.28,-,-,0.03,-,0,Upgrade
17,Pretax Income,-81.22,-,-128.65,-,-57.84,-230.14,-20.75,-88.6,-61.5,-271.27,Upgrade
18,Income Tax Expense,15.85,-,29.19,-,-3.67,-9.59,-2.66,-8.42,-6.59,-9.79,Upgrade
19,Earnings From Continuing Operations,-97.07,-,-157.84,-,-54.17,-220.55,-18.09,-80.19,-54.91,-261.48,Upgrade
20,Earnings From Discontinued Operations,29.33,-,-29.06,-,-,-,-,-,-,-,Upgrade
21,Net Income to Company,-67.74,-,-186.9,-,-54.17,-220.55,-18.09,-80.19,-54.91,-261.48,Upgrade
22,Minority Interest in Earnings,0.01,-,0.01,-,0.02,5.24,0.01,0.02,0.02,0.02,Upgrade
23,Net Income,-67.73,-,-186.88,-,-54.16,-215.31,-18.08,-80.16,-54.89,-261.45,Upgrade
24,Net Income to Common,-67.73,-,-186.88,-,-54.16,-215.31,-18.08,-80.16,-54.89,-261.45,Upgrade
25,Shares Outstanding (Basic),7294,-,7294,-,7294,7294,7294,7294,7294,7294,Upgrade
26,Shares Outstanding (Diluted),7294,-,7294,-,7294,7294,7294,7294,7294,7294,Upgrade
27,Shares Change (YoY),-,-,-,-,-,-,-,-,-,0.32%,Upgrade
28,EPS (Basic),-0.01,-,-0.03,-,-0.01,-0.03,-0.00,-0.01,-0.01,-0.04,Upgrade
29,EPS (Diluted),-0.01,-,-0.03,-,-0.01,-0.03,-0.00,-0.01,-0.01,-0.04,Upgrade
30,Free Cash Flow,-229.82,-,10.46,-,14.54,37.68,54.93,50.39,-13.44,-341.77,Upgrade
31,Free Cash Flow Per Share,-0.03,-,0.00,-,0.00,0.01,0.01,0.01,-0.00,-0.05,Upgrade
32,Operating Margin,-94.21%,-,-43.59%,-,50.57%,-195.22%,-0.43%,-10.52%,79.84%,-145.62%,Upgrade
33,Profit Margin,-146.82%,-,-418.98%,-,-73.43%,-254.96%,-27.86%,-111.22%,-99.78%,-388.39%,Upgrade
34,Free Cash Flow Margin,-498.20%,-,23.45%,-,19.71%,44.61%,84.64%,69.91%,-24.42%,-507.71%,Upgrade
35,EBITDA,-40.16,-,-15.08,-,47.21,-41.32,6.98,0.9,50.79,-90.53,Upgrade
36,D&A For EBITDA,3.3,63.67,4.37,27.68,9.92,123.54,7.25,8.48,6.87,7.49,Upgrade
37,EBIT,-43.46,-,-19.44,-,37.3,-164.86,-0.28,-7.58,43.92,-98.03,Upgrade
