,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,525,861,861,861,1218,1247,1284,1364,1335,1335,1386,Upgrade
1,Market Cap Growth,-21.85%,0%,-29.34%,-30.99%,-5.11%,-8.56%,-3.83%,2.19%,-3.68%,-1.08%,-19.49%,Upgrade
2,Enterprise Value,682,1113,1076,1052,1409,1466,1472,2313,2225,2177,2262,Upgrade
3,Last Close Price,0.07,0.12,0.12,0.12,0.17,0.17,0.18,0.19,0.18,0.18,0.19,Upgrade
4,PS Ratio,5.05,18.66,-,19.30,-,7.88,8.60,9.96,10.50,10.91,10.10,Upgrade
5,PB Ratio,0.49,0.78,0.74,0.67,0.80,0.75,0.70,0.68,0.66,0.68,0.70,Upgrade
6,P/TBV Ratio,0.80,0.80,0.76,0.69,0.82,0.76,0.71,0.69,0.68,0.70,0.71,Upgrade
7,P/FCF Ratio,-,-,-,82.30,-,23.89,13.86,12.95,36.12,-,-,Upgrade
8,P/OCF Ratio,-,-,-,60.09,-,20.68,12.87,15.41,33.35,-4.10,-,Upgrade
9,EV/Sales Ratio,6.56,24.13,-,23.58,-,9.27,9.86,16.89,17.50,17.80,16.49,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,248.90,-,293.73,43.04,-54.78,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-,-,-11.49,-,-,-,-40.24,-,Upgrade
12,EV/FCF Ratio,-2.47,-,-,100.57,-,28.07,15.89,21.97,60.20,-,-,Upgrade
13,Debt / Equity Ratio,0.21,0.21,0.21,0.20,0.58,0.52,0.48,0.48,0.47,0.44,0.41,Upgrade
14,Debt / FCF Ratio,-,-,-,24.49,-,16.53,9.66,9.10,25.60,-,-,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-,-,-6.49%,-,-,-,-2.45%,-,Upgrade
16,Earnings Yield,-38.21%,-7.87%,-,-21.71%,-,-21.60%,-18.18%,-7.20%,-10.12%,-23.70%,-38.17%,Upgrade
17,FCF Yield,-52.54%,-26.70%,-,1.22%,-,4.19%,7.21%,7.72%,2.77%,-26.61%,0.49%,Upgrade
18,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.32%,Upgrade,
19,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-0.32%,Upgrade,
