,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,199.13,170.27,158.1,129.09,161.11,137.73,131.51,112.47,164.52,97.98,138.8,126.38,138.98,146.81,149.02,143.98,138.69,96.04,96.04
1,Other Revenue,-12.1,12.1,-,31.78,-18.51,18.51,-,20.82,-10.95,10.95,-,23.2,-10.3,10.3,-,20.31,-7.68,3.84,3.84
2,Revenue,187.03,182.37,158.1,160.87,142.6,156.24,131.51,133.29,153.57,108.93,138.8,149.58,128.68,157.11,149.02,164.3,131.01,99.88,99.88
3,Revenue Growth (YoY),31.16%,16.73%,20.22%,20.69%,-7.15%,43.43%,-5.25%,-10.89%,19.35%,-30.67%,-6.86%,-8.96%,-1.78%,57.31%,49.21%,-,-,-,-
4,Cost of Revenue,124.91,118.27,102.69,108.72,98.2,106.73,92.19,102.04,101.81,74.26,92.13,104.99,80.93,104.27,97.16,105,85.14,63.71,63.71
5,Gross Profit,62.12,64.1,55.41,52.15,44.4,49.5,39.32,31.25,51.76,34.66,46.66,44.59,47.75,52.84,51.86,59.3,45.87,36.17,36.17
6,"Selling, General & Admin",19.39,15.32,13.61,15.25,16,14.51,14.27,14.26,14.71,9.7,12.01,9.27,14.41,15.02,12.43,9.65,11.24,8.1,8.1
7,Research & Development,9.21,7.93,6.76,6.69,6.78,6.44,6.27,2.83,7.89,5.86,7.26,4.8,6.65,5.42,6.72,4.06,4.37,4.33,4.33
8,Other Operating Expenses,3.22,0.44,0.14,-1.71,0.83,0.57,0.15,1.1,0.62,0.26,0.55,-1.31,-1.35,0.05,-0.07,1.38,-0.09,0.02,0.02
