,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,58.02,215.15,122.5,80.5,53.64,275.53,140.9,238.79,129.76,648.31,133.13,157.64,64.93,805.48,-,38.42,-,-,-
1,Short-Term Investments,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,301.33,349.04,472.22,464.09,476.91,250.49,400.26,355.94,525.72,30,562.75,548.11,607.75,-,-,-,-,-,-
3,Cash & Short-Term Investments,359.35,564.19,594.72,581.6,530.55,526.02,541.16,594.73,655.48,678.31,695.88,705.74,672.68,805.48,38.42,38.42,-,-,45.53
4,Cash Growth,-32.27%,7.26%,9.90%,-2.21%,-19.06%,-22.45%,-22.23%,-15.73%,-2.56%,-15.79%,1711.08%,1736.75%,-,-,-15.61%,-,-,-,-
5,Accounts Receivable,327.22,313.2,295.1,281.11,256.73,232.37,202.29,207.13,210.6,170.54,223.93,218.68,247.96,266.02,-,248.7,-,-,-
6,Other Receivables,31.49,31.71,3.42,5.46,2.44,4.78,3.58,5.9,10,1.78,1.07,5.5,1.21,3.25,-,1.38,-,-,-
7,Receivables,358.72,344.9,298.52,286.57,259.17,237.15,205.87,213.03,220.6,172.32,225.01,224.19,249.17,269.27,-,250.07,-,-,-
8,Inventory,161.25,142.68,147.24,143.36,135.73,130.33,142.87,134.38,122.12,116.2,102.97,101.61,90.79,80.82,-,56.54,-,-,-
9,Other Current Assets,52.46,69.07,69.86,97.86,118.27,117.36,166.98,132.97,66.32,64.56,69.3,64.02,66.37,1.86,-,4.16,-,-,-
10,Total Current Assets,931.79,1121,1110,1109,1044,1011,1057,1075,1065,1031,1093,1096,1079,1157,-,349.2,-,-,-
11,"Property, Plant & Equipment",183.4,187.06,187.26,189.15,182.11,184.94,175.33,167.83,160.48,151.86,149.85,142.93,135.68,110.57,-,73.89,-,-,-
12,Other Intangible Assets,137.74,6.84,6.91,6.95,7.02,7.08,7.15,7.21,7.28,7.35,7.41,7.48,7.54,7.61,-,7.74,-,-,-
13,Long-Term Accounts Receivable,-,-,3.04,2.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,4.62,4.33,4.97,5.8,3.41,3.5,3.22,5.16,3.15,2.4,2.61,2.54,1.64,1.9,-,1.85,-,-,-
15,Long-Term Deferred Charges,17.31,17.16,18.19,16.58,16.33,14.57,13.07,12.63,12.1,12.04,11.91,9.69,7.67,5.09,-,6.01,-,-,-
16,Other Long-Term Assets,22.82,23.34,26.96,25.08,21.13,17.94,26.35,11.27,4.64,5.57,6.96,5.22,6.24,12.99,-,5.98,-,-,-
17,Total Assets,1298,1360,1358,1356,1274,1239,1282,1279,1252,1211,1272,1263,1238,1296,-,444.67,-,-,-
18,Accounts Payable,108.75,90.7,110.09,113.78,94.54,93.83,100.08,102.33,92.94,85.07,89.28,92.5,83.47,101.09,-,94.46,-,-,-
19,Accrued Expenses,21.19,21.37,11.43,26.77,16.68,16.31,10.23,22.91,14.94,12.61,8.27,23.97,11.58,11.22,-,16.55,-,-,-
20,Short-Term Debt,-,-,-,17.59,1.33,-,-,-,4.55,4.71,-,-,19.73,27.36,-,27.19,-,-,-
21,Current Portion of Leases,3.56,3.55,3.51,3.46,3.34,3.36,3.26,3.24,3.77,3.69,3.65,3.65,3.21,3.13,-,-,-,-,-
22,Current Income Taxes Payable,5.86,5.16,8.83,4.99,4.43,4.41,4.87,1.53,5.4,1.76,6.81,6.48,3.4,3.59,-,6.74,-,-,-
23,Current Unearned Revenue,11.47,11.88,12.64,11.93,15.04,12.22,7.57,10.33,8.96,7.67,6.3,5.35,4.26,2.4,-,1.98,-,-,-
