,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8001,3841,3475,2836,3691,3033,3169,2782,2556,2554,2945,3007,3429,3324,3848,-,-,-,-,-
1,Market Cap Growth,26.64%,26.64%,9.65%,1.93%,44.38%,18.76%,7.60%,-7.48%,-25.44%,-23.18%,-23.46%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7649,3284,2889,2317,3172,2518,2641,2146,1920,1895,2266,2372,2794,2564,3837,-,-,-,-,-
3,Last Close Price,33.04,15.86,14.14,11.30,14.70,12.08,12.62,10.82,9.94,9.93,11.45,11.38,12.97,12.58,14.32,-,-,-,-,-
4,PE Ratio,58.13,27.72,26.55,23.93,35.73,34.76,33.80,31.84,27.13,23.01,26.46,26.05,29.49,27.71,32.53,-,-,-,-,-
5,PS Ratio,11.70,5.58,5.40,4.59,6.24,5.38,5.52,5.28,4.78,4.64,5.60,5.24,5.87,5.55,6.40,-,-,-,-,-
6,PB Ratio,7.09,3.40,3.03,2.40,3.22,2.73,2.90,2.44,2.29,2.32,2.74,2.66,3.11,3.11,3.69,-,-,-,-,-
7,P/TBV Ratio,3.88,3.88,3.04,2.41,3.24,2.74,2.92,2.46,2.30,2.34,2.76,2.68,3.13,3.13,3.72,-,-,-,-,-
8,P/FCF Ratio,-,-,190.40,-,-566.02,-306.16,-71.38,-,95.11,-,32.61,-,134.83,-,-,-,-,-,-,-
9,P/OCF Ratio,63.79,63.79,55.55,-,57.10,46.74,91.13,-,27.50,-,17.98,-,32.75,64.39,92.82,-,-,-,-,-
10,EV/Sales Ratio,11.11,4.77,4.49,3.75,5.37,4.47,4.60,4.07,3.59,3.44,4.31,4.13,4.78,4.28,6.38,-,-,-,-,-
11,EV/EBITDA Ratio,46.59,20.71,19.34,17.28,26.93,25.29,25.57,22.04,18.70,16.12,18.76,18.16,20.45,17.38,26.06,-,-,-,-,-
12,EV/EBIT Ratio,56.85,24.31,22.74,20.55,32.53,31.32,30.89,26.65,22.03,18.32,21.09,19.95,22.24,18.67,27.99,-,-,-,-,-
13,EV/FCF Ratio,-71.09,-,158.29,-,-486.48,-254.22,-59.47,-,71.44,-,25.09,-,109.86,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.04,0.10,0.10,-,-,0.11
15,Debt / EBITDA Ratio,0.05,0.06,0.04,0.05,0.17,0.12,0.09,0.13,0.14,0.16,0.18,0.14,0.11,0.29,0.30,0.19,0.15,-,-,0.21
16,Debt / FCF Ratio,-,-,0.42,-,-4.15,-1.20,-0.26,-,0.48,-,0.22,-,0.63,-,-,-,1.43,-,-,4.17
17,Asset Turnover,0.56,0.54,0.47,0.49,0.45,0.50,0.41,0.42,0.50,0.35,0.44,0.48,0.41,-,-,-,-,-,-,
18,Inventory Turnover,3.06,3.29,3.26,2.83,3.12,2.95,3.13,2.66,3.18,3.42,2.71,3.60,4.37,3.77,-,-,-,-,-,-
19,Quick Ratio,4.51,4.51,4.51,5.45,4.40,5.29,5.69,5.76,5.57,6.45,7.08,7.47,6.57,6.19,4.61,-,1.69,-,-,-
20,Current Ratio,5.85,5.85,5.56,6.78,5.62,6.99,7.54,8.15,7.42,7.83,8.58,8.87,7.74,7.25,4.97,-,2.05,-,-,-
21,Return on Equity (ROE),9.65%,14.43%,12.19%,11.88%,7.19%,10.65%,7.19%,6.12%,9.73%,8.47%,9.73%,12.57%,10.12%,16.73%,41.74%,-,-,-,-,
22,Return on Assets (ROA),5.38%,7.42%,6.37%,6.02%,4.08%,5.16%,3.78%,2.87%,5.20%,4.24%,5.13%,6.15%,5.84%,-,-,-,-,-,-,
23,Return on Capital (ROIC),6.23%,8.59%,7.31%,6.89%,4.61%,5.77%,4.24%,3.23%,5.78%,4.70%,5.74%,6.91%,6.74%,11.74%,27.64%,-,-,-,-,
24,Return on Capital Employed (ROCE),11.82%,11.87%,10.97%,9.44%,8.42%,7.15%,7.74%,6.99%,7.69%,9.27%,9.85%,10.35%,11.20%,12.61%,12.90%,-,43.36%,-,-,-
25,Earnings Yield,1.73%,3.61%,3.77%,4.18%,2.80%,2.88%,2.96%,3.14%,3.69%,4.35%,3.78%,3.84%,3.39%,3.61%,3.07%,-,-,-,-,-
26,FCF Yield,-1.34%,-2.80%,0.53%,0.26%,-0.18%,-0.33%,-1.40%,0.47%,1.05%,2.75%,3.07%,0.80%,0.74%,-0.59%,-0.26%,-,-,-,-,-
27,Dividend Yield,1.15%,-,3.69%,-,2.19%,-,-,-,3.19%,-,-,-,2.55%,-,-,-,-,-,-,-
28,Payout Ratio,91.21%,367.36%,60.29%,-,0.28%,-,258.86%,-,-,0.41%,344.23%,0.32%,-,240.97%,1.14%,1.19%,1.14%,140.60%,1.04%,1.04%
29,Buyback Yield / Dilution,-2.09%,-0.80%,-3.75%,0.06%,-2.43%,-1.41%,0.04%,3.18%,4.15%,19.72%,-69.31%,-34.78%,-34.36%,-66.43%,22.13%,-0.00%,-,-,-,-
30,Total Shareholder Return,-0.95%,-0.80%,-0.06%,0.06%,-0.25%,-1.41%,0.04%,3.18%,7.34%,19.72%,-69.31%,-34.78%,-31.81%,-66.43%,22.13%,-0.00%,-,-,-,-
