,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,15893687,10375405,11179483,13052429,14719330,13750143,13961442,15158476,10868825,10615840,9871477,9407298,9970727,9149205,8743726,7742671,7809931,8308852,7707423,7460914,Upgrade
1,Total Interest Income,15893687,10375405,11179483,13052429,14719330,13750143,13961442,15158476,10868825,10615840,9871477,9407298,9970727,9149205,8743726,7742671,7809931,8308852,7707423,7460914,Upgrade
2,Interest Paid on Deposits,7609876,7113597,6767444,7882358,9807050,9328600,9853823,9314565,6555678,5795049,5688307,5184552,5258106,5183612,4077440,5516822,4529201,5778480,5524614,5521626,Upgrade
3,Net Interest Income,8283811,3261808,4412039,5170071,4912280,4421543,4107619,5843911,4313147,4820791,4183170,4222746,4712621,3965593,4666286,2225849,3280730,2530372,2182809,1939288,Upgrade
4,Net Interest Income Growth (YoY),68.63%,-26.23%,7.41%,-11.53%,13.89%,-8.28%,-1.81%,38.39%,-8.48%,21.57%,-10.35%,89.71%,43.65%,56.72%,113.77%,14.78%,35.45%,12.22%,25.30%,37.40%,Upgrade
5,Income From Trading Activities,25739,74812,-102264,5042,-12702,11543,28152,988,-17759,92525,-48045,65920,-769507,475343,242298,51866,884625,381998,-18446,44934,Upgrade
6,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,533,-,-,-,Upgrade
7,Gain (Loss) on Sale of Investments,-133582,-,-,-,11122,-,-,-,-,-,-,-,988410,-,-,-,-,-,-1948,1948,Upgrade
8,Other Non-Interest Income,1228005,515083,73136,664755,534763,158056,952348,358774,379668,403764,520052,405003,1018772,219167,79380,276940,436404,249107,175793,119264,Upgrade
