,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+18 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+18 Quarters
0,Cash & Equivalents,86249,86249,93717,-,22274,7809,-,-,1146,8483,9253,19823,-,9817,8076,23768,7696,16811,55744,75938,Upgrade
1,Accounts Receivable,752.23,752.23,1292,-,685.76,698.32,-,-,803.85,867.3,642.15,601.6,-,575.55,593.01,561.49,560.99,530.06,514.09,2001,Upgrade
2,Other Receivables,9876,9876,9886,-,21151,21572,-,-,14371,27864,15894,22023,-,21798,26275,31449,19663,17953,18496,17338,Upgrade
3,"Property, Plant & Equipment",490.63,490.63,589.41,-,377.59,367.95,-,-,355.6,453.15,472.28,341.74,-,-29.54,313.32,318.49,328.22,173.84,169.9,219.52,Upgrade
4,Other Intangible Assets,46.69,46.69,-,-,-,-0.6,-,-,29.1,-13.17,8.28,29.74,-,-76.14,-50.31,-24.48,1.35,19.36,24.94,29.31,Upgrade
5,Investments in Debt & Equity Securities,375658,375658,374083,-,364433,393066,-,-,346815,378280,353854,350270,-,372743,324699,368928,349513,346537,324989,332304,Upgrade
6,Other Current Assets,1351,1351,1337,-,96247,96272,-,-,129040,129115,129543,128985,-,129025,129300,86103,111350,102759,131390,117537,Upgrade
7,Other Long-Term Assets,13182,13182,12805,-,13431,13146,-,-,14059,14885,14998,15039,-,15030,14992,15069,15221,15377,15510,15794,Upgrade
8,Total Assets,487606,487606,493709,-,518599,532929,-,-,506619,559935,524665,537112,-,548883,504197,526173,504334,500161,546838,561161,Upgrade
9,Accounts Payable,1141,1141,38.53,-,921.07,37.67,-,-,155.18,142.86,141.28,705.56,-,3728,4121,21.29,55.92,209.59,467.14,476.9,Upgrade
10,Accrued Expenses,2274,2274,1986,-,1587,1549,-,-,1378,2952,2791,1955,-,2083,1927,1345,1568,1441,1910,1455,Upgrade
11,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44000,44000,Upgrade
12,Other Current Liabilities,1102,1102,2118,-,1102,2034,-,-,2053,2050,2114,2217,-,2073,1960,2000,2136,2067,2067,2101,Upgrade
13,Other Long-Term Liabilities,60,60,60,-,60,60,-,-,60,60,60,60,-,60,130,130,130,130,130,130,Upgrade
14,Total Liabilities,4665,4665,4285,-,3716,3702,-,-,3711,5280,5267,5189,-,8120,8293,3606,3970,3938,48655,48559,Upgrade
15,Common Stock,503000,503000,503000,-,503000,503000,-,-,503000,503000,503000,503000,-,503000,503000,503000,503000,503000,503000,503000,Upgrade
16,Retained Earnings,-28412,-28412,-21929,-,3530,17873,-,-,-8445,43301,8044,20569,-,29409,-15449,11213,-10990,-15131,-13171,1248,Upgrade
17,Comprehensive Income & Other,8354,8354,8354,-,8354,8354,-,-,8354,8354,8354,8354,-,8354,8354,8354,8354,8354,8354,8354,Upgrade
18,Shareholders' Equity,482942,482942,489424,-,514884,529227,-,-,502908,554654,519397,531923,-,540763,495905,522567,500364,496223,498183,512601,Upgrade
19,Total Liabilities & Equity,487606,487606,493709,-,518599,532929,-,-,506619,559935,524665,537112,-,548883,504197,526173,504334,500161,546838,561161,Upgrade
20,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44000,44000,Upgrade
21,Net Cash (Debt),86249,86249,93717,-,22274,7809,-,-,1146,8483,9253,19823,-,9817,8076,23768,7696,16811,11744,31938,Upgrade
22,Net Cash Growth,287.22%,1004.55%,-,-,1843.98%,-7.96%,-,-,-,-13.58%,14.58%,-16.60%,-,-41.60%,-31.24%,-25.58%,-94.05%,-88.32%,-67.92%,135.21%,Upgrade
23,Net Cash Per Share,1714.69,-,-,-,442.82,-,-,-,-,168.66,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Filing Date Shares Outstanding,50.3,-,-,-,50.3,-,-,-,-,50.3,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Total Common Shares Outstanding,50.3,-,-,-,50.3,-,-,-,-,50.3,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Working Capital,93624,93624,102007,-,136702,122709,-,-,141710,161110,150125,166303,-,153155,156081,138406,135430,134245,157620,164384,Upgrade
27,Book Value Per Share,9601.22,-,-,-,10236.25,-,-,-,-,11026.93,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Tangible Book Value,482895,482895,489424,-,514884,529228,-,-,502879,554668,519389,531893,-,540839,495955,522591,500362,496203,498158,512572,Upgrade
29,Tangible Book Value Per Share,9600.30,-,-,-,10236.25,-,-,-,-,11027.19,-,-,-,-,-,-,-,-,-,-,Upgrade
