,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters
0,Cash & Equivalents,18.39,49.73,51.92,19.54,33.28,36.52,447.31,459.69,500.81,498.91,Upgrade
1,Short-Term Investments,90.06,100.05,92.62,82.01,11.53,15.66,16.21,-,4.41,-,Upgrade
2,Cash & Short-Term Investments,108.45,149.78,144.54,101.55,44.81,52.18,463.52,459.69,505.22,498.91,Upgrade
3,Cash Growth,-24.97%,47.49%,222.59%,94.60%,-90.33%,-88.65%,-8.25%,-7.86%,-7.25%,-5.63%,Upgrade
4,Accounts Receivable,53.92,21.96,29.3,12.48,16.81,26.23,15.48,36.25,34.89,32.72,Upgrade
5,Other Receivables,114.35,29.78,35.7,27.5,12.59,17.7,304.95,230.12,131.91,529.71,Upgrade
6,Receivables,168.27,51.74,65,39.98,29.4,43.93,320.43,266.37,166.8,562.44,Upgrade
7,Inventory,21.66,28,29.66,22.05,21.93,24.52,29.28,32.97,27.56,31.85,Upgrade
8,Prepaid Expenses,16.96,36.71,56.12,36.25,19.6,30.07,17.22,22.51,21.98,26.27,Upgrade
9,Other Current Assets,0.12,26.11,-,-,-,-,-,4.37,-,4.41,Upgrade
10,Total Current Assets,315.45,292.34,295.32,199.83,115.73,150.71,830.44,785.9,721.57,1124,Upgrade
11,"Property, Plant & Equipment",4052,4086,3986,3984,3172,3135,2992,3024,3053,3175,Upgrade
12,Long-Term Investments,-,-,166.87,221.17,244.74,272.54,233.93,192.3,0,155.7,Upgrade
13,Goodwill,35.13,35.13,35.13,35.13,35.13,35.13,72.13,72.13,222.82,496,Upgrade
14,Other Intangible Assets,244.48,244.48,244.48,244.48,244.48,274.65,209.65,209.65,424.81,424.81,Upgrade
