,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jan '20 Jan 1, 2020",+2 Quarters
0,Cash & Equivalents,522.8,619.53,616.54,525.48,426.29,415.35,342.79,396.94,-,479.43,Upgrade
1,Short-Term Investments,-,-,-,21,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,26.04,6.05,22.02,0.02,3.95,0.04,-,-,372.25,0.02,Upgrade
3,Cash & Short-Term Investments,548.84,625.58,638.56,546.51,430.24,415.39,342.79,396.94,372.25,479.45,Upgrade
4,Cash Growth,-14.05%,14.47%,48.42%,31.57%,25.51%,4.65%,-7.91%,-17.21%,34.34%,50.12%,Upgrade
5,Accounts Receivable,272.21,267.28,261.13,198.65,247.11,211.8,202.66,195.81,206.57,225.51,Upgrade
6,Other Receivables,34.57,46.97,72.49,319.53,75.06,24.01,51.11,21.33,50.61,29.03,Upgrade
7,Receivables,306.78,314.25,333.62,518.18,322.17,235.81,253.76,217.14,257.18,254.54,Upgrade
8,Inventory,249.23,207.18,236.35,243.37,250.09,212.76,208.64,159.38,176.15,167.85,Upgrade
9,Other Current Assets,134.54,58.56,59.82,63.84,67.5,77.25,79.97,58.85,84.14,83.18,Upgrade
10,Total Current Assets,1239,1206,1268,1372,1070,941.22,885.16,832.31,889.71,985.02,Upgrade
11,"Property, Plant & Equipment",445.52,431.83,426.25,387.37,447.27,419.55,418.47,408.67,388.22,393.46,Upgrade
12,Long-Term Investments,24.26,20.59,22.52,10.06,10.57,8.71,7.38,5.29,7.95,7.95,Upgrade
13,Goodwill,109.43,88.19,63.63,66.83,1.14,1.14,1.14,1.14,1.14,1.14,Upgrade
14,Other Intangible Assets,47.21,56.1,64.49,73.37,91.09,100.65,113.6,84.22,132.56,167.39,Upgrade
15,Long-Term Deferred Tax Assets,0.16,0.16,0.01,0.01,4.34,4.34,5.14,5.14,6,6,Upgrade
16,Long-Term Deferred Charges,0.51,0.5,0.56,0.5,-,-,-,-,-,-,Upgrade
17,Other Long-Term Assets,47.15,52.27,51.49,76.58,77.47,79.96,65.71,64.22,85.24,73.73,Upgrade
18,Total Assets,1914,1855,1897,1987,1702,1556,1497,1401,1511,1635,Upgrade
19,Accounts Payable,218.02,163.9,187.71,242.97,186.36,216.99,229.65,267.95,261.66,248.53,Upgrade
20,Accrued Expenses,20.25,52.83,12.86,35.73,4.66,28.2,2.47,14.02,2.29,8.64,Upgrade
21,Short-Term Debt,179.66,177.99,137.78,237.39,141.9,395.57,267.49,275.84,416.48,485.4,Upgrade
22,Current Portion of Long-Term Debt,171.97,19.26,25.92,19.62,-,-,-,-,-,-,Upgrade
23,Current Portion of Leases,-,7.24,-,4.89,3.12,3.12,2.91,2.91,2.8,2.8,Upgrade
24,Current Income Taxes Payable,16.86,0.56,14.96,8.64,18.88,9.08,8.34,0.41,6.13,0.61,Upgrade
25,Current Unearned Revenue,78.16,95.86,97.98,93.34,90.03,84.13,160.02,101.32,19.46,66.97,Upgrade
26,Other Current Liabilities,90.31,69.7,75.22,52.43,56.71,64.35,112.82,70.86,35.54,27.39,Upgrade
27,Total Current Liabilities,775.24,587.35,552.42,695.01,501.66,801.43,783.7,733.3,744.35,840.33,Upgrade
28,Long-Term Debt,-,176.28,185.67,202.14,404.19,-,-,-,-,-,Upgrade
29,Long-Term Leases,6.42,9.25,11.56,9.8,0.2,0.2,2.61,2.61,5.28,5.28,Upgrade
30,Long-Term Unearned Revenue,6.75,7.5,8.26,7.57,7.12,8.16,10.58,11.27,14.27,16.25,Upgrade
31,Long-Term Deferred Tax Liabilities,-,-,0.14,0.14,0.22,0.22,0.19,0.19,0.3,0.3,Upgrade
32,Total Liabilities,788.41,780.38,758.05,914.66,913.38,810.02,797.07,747.36,764.2,862.16,Upgrade
33,Common Stock,415.79,415.79,432.22,432.22,432.22,432.22,432.22,432.22,432.22,432.22,Upgrade
34,Additional Paid-In Capital,393.8,393.8,-,409.99,-,409.99,410.94,409.99,409.99,409.99,Upgrade
35,Retained Earnings,311.63,259.02,302.11,237.07,-49.56,-90.76,-136.17,-183.15,-88.82,-62.84,Upgrade
36,Comprehensive Income & Other,-0.36,-1.38,404.71,-7.56,405.61,-6.12,-7.48,-5.66,-6.77,-6.85,Upgrade
37,Total Common Equity,1121,1067,1139,1072,788.27,745.32,699.51,653.4,746.62,772.52,Upgrade
38,Minority Interest,4.37,7.61,0.23,0.23,0.22,0.23,-,0.23,-,-,Upgrade
39,Shareholders' Equity,1125,1075,1139,1072,788.49,745.55,699.51,653.63,746.62,772.52,Upgrade
40,Total Liabilities & Equity,1914,1855,1897,1987,1702,1556,1497,1401,1511,1635,Upgrade
41,Total Debt,358.05,390.02,360.92,473.85,549.41,398.89,273,281.35,424.56,493.48,Upgrade
42,Net Cash (Debt),190.79,235.56,277.64,72.66,-119.17,16.5,69.78,115.59,-52.32,-14.02,Upgrade
43,Net Cash Growth,-31.28%,224.17%,-,340.39%,-,-85.73%,-,-,-,-,Upgrade
44,Net Cash Per Share,0.46,0.55,0.64,0.17,-0.28,0.04,0.16,0.27,-0.12,-0.03,Upgrade
45,Filing Date Shares Outstanding,415.79,415.79,432.22,432.22,432.22,432.22,432.22,432.22,432.22,432.22,Upgrade
46,Total Common Shares Outstanding,415.79,415.79,432.22,432.22,432.22,432.22,432.22,432.22,432.22,432.22,Upgrade
47,Working Capital,464.16,618.22,715.94,676.89,568.34,139.79,101.46,99.01,145.36,144.69,Upgrade
48,Book Value Per Share,2.70,2.57,2.64,2.48,1.82,1.72,1.62,1.51,1.73,1.79,Upgrade
49,Tangible Book Value,964.22,922.94,1011,931.52,696.04,643.53,584.77,568.04,612.92,603.99,Upgrade
50,Tangible Book Value Per Share,2.32,2.22,2.34,2.16,1.61,1.49,1.35,1.31,1.42,1.40,Upgrade
51,Buildings,-,134.09,-,139.33,-,287.44,-,287.44,-,291.58,Upgrade
52,Machinery,-,125.68,-,122.82,-,137.79,-,168.37,-,208.35,Upgrade
53,Construction In Progress,-,309.07,-,255.03,-,219.59,-,190.6,-,154.82,Upgrade
