,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,126.91,127.44,133.3,181.79,157.3,162.72,132.76,177.92,151.59,152.91,129.47,204.2,143.4,142.48,99.54,188.96,131.6,158.74,80.87
1,Other Revenue,-0.41,0.41,-,1.95,-1.01,1.01,-,1.29,-0.76,0.76,-,1.81,-0.58,0.58,-,0.81,-0,0,-
2,Revenue,126.49,127.86,133.3,183.74,156.29,163.73,132.76,179.21,150.84,153.67,129.47,206.01,142.82,143.06,99.54,189.77,131.59,158.74,80.87
3,Revenue Growth (YoY),-19.06%,-21.91%,0.41%,2.53%,3.61%,6.54%,2.54%,-13.01%,5.61%,7.42%,30.06%,8.56%,8.53%,-9.88%,23.10%,-,-,-,-
4,Cost of Revenue,70.66,70.28,81.66,105.25,97.12,111.03,85.92,123.24,97.31,91.24,81.33,137.7,92.06,80.92,57.86,105.47,91.47,86.87,48.16
5,Gross Profit,55.83,57.58,51.65,78.49,59.16,52.69,46.84,55.97,53.53,62.43,48.14,68.31,50.76,62.14,41.68,84.31,40.13,71.87,32.71
6,"Selling, General & Admin",21.02,18.25,20.32,24.03,21.97,20.01,18.12,15.92,21.14,19.2,17.77,21.56,23.86,18.8,16.42,16.45,19.06,16.96,11.08
7,Research & Development,27.29,32.31,25.54,34.94,32.28,24.31,18.39,22.78,27.92,31.61,21.36,19.89,27.58,24.39,15.1,12.8,17.29,14.31,9.93
8,Other Operating Expenses,1.18,1.86,-0.67,-0.81,-5.39,2.72,-2.06,-2.19,-3.65,-1.9,-2.58,6.58,-1.65,-4.78,-1.67,8.63,-2.1,-5.01,-3.36
