,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5559,3154,2389,2928,3445,3426,3245,2998,2336,1733,2088,2284,2289,2407,2601,2842,-,-,-,-
1,Market Cap Growth,-7.93%,-7.93%,-26.37%,-2.32%,47.44%,97.75%,55.44%,31.28%,2.08%,-28.03%,-19.72%,-19.64%,-,-,-,-,-,-,-,-
2,Enterprise Value,4758,2315,1536,2118,2635,2622,2457,2284,1623,994,1351,1552,1558,1667,1880,2681,-,-,-,-
3,Last Close Price,34.56,19.55,14.54,17.82,20.97,20.85,19.67,18.17,14.17,10.50,12.57,13.75,13.78,14.50,15.51,16.94,-,-,-,-
4,PE Ratio,110.19,61.61,45.25,52.02,57.84,59.81,54.36,50.57,41.03,27.17,35.42,33.23,33.05,26.75,29.12,26.49,-,-,-,-
5,PS Ratio,9.86,5.52,3.97,4.60,5.41,5.42,5.18,4.86,3.81,2.71,3.30,3.68,3.87,4.19,4.61,4.90,-,-,-,-
6,PB Ratio,5.35,3.04,2.28,2.72,3.23,3.30,3.15,2.91,2.29,1.74,2.12,2.31,2.34,2.55,2.77,3.02,-,-,-,-
7,P/TBV Ratio,3.04,3.04,2.29,2.73,3.24,3.30,3.15,2.91,2.30,1.74,2.12,2.32,2.35,2.55,2.77,3.02,-,-,-,-
8,P/FCF Ratio,100.95,-,31.70,-,68.44,30.79,39.79,-,42.36,-,81.63,-,30.44,18.89,32.20,-,-,-,-,-
