,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,46.59,44.07,44.11,41.73,36.32,33.23,30.16,29.58,29.83,34.42
1,Short-Term Investments,-,2.09,1.75,1.74,1.74,1.74,-,1.63,-,-
2,Cash & Short-Term Investments,46.59,46.16,45.85,43.47,38.06,34.97,30.16,31.2,29.83,34.42
3,Cash Growth,1.61%,6.17%,20.48%,24.34%,26.20%,12.05%,1.09%,-9.33%,-21.06%,-18.74%
4,Accounts Receivable,0.29,0.2,0.34,0.34,0.63,0.55,0.41,0.41,0.14,0.23
5,Other Receivables,-,0.49,1.32,0.45,1.7,1.73,2.19,1.05,1.69,1.05
6,Receivables,0.29,0.69,1.66,0.79,2.33,2.28,2.59,1.46,1.82,1.28
7,Inventory,-,-,-,-,-,-,0.09,0.09,0.16,0.16
8,Prepaid Expenses,3.62,0.22,0.44,0.24,0.21,0.46,0.65,0.27,1.19,1.1
9,Restricted Cash,-,0.05,-,0.05,-,0.05,-,0.05,-,0.41
10,Other Current Assets,-,0.04,0.1,0.04,0.11,0.07,1.85,0.06,1.21,0.54
11,Total Current Assets,50.5,47.16,48.04,44.6,40.71,37.82,35.33,33.11,34.21,37.9
12,"Property, Plant & Equipment",17.9,19.53,18.08,19.43,20.87,22.28,23.68,25.15,25.92,14.84
13,Goodwill,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
14,Other Intangible Assets,7.11,2.17,8.5,2.33,10.55,2.5,11.31,2.67,11,2.84
15,Long-Term Deferred Tax Assets,0.47,0.19,-,-,-,-,0.03,0.03,0.24,0.45
16,Long-Term Deferred Charges,-,5.61,-,7.16,-,8.66,-,8.91,-,7.8
17,Other Long-Term Assets,1.19,1.19,1.24,1.19,1.19,1.19,1.21,1.21,1.41,1.59
18,Total Assets,78.7,77.38,77.4,76.24,74.84,73.98,73.1,72.62,74.3,66.96
19,Accounts Payable,3,2.66,3.25,2.62,2.26,2.02,2.26,2.17,2.43,1.95
20,Accrued Expenses,-,1.81,1.7,1.54,1.47,1.33,1.24,1.34,1.58,1.39
21,Current Portion of Leases,2.43,2.56,2.13,2.13,1.18,1.18,1.18,1.18,0.74,0.78
22,Current Income Taxes Payable,0.6,0.69,-,0.36,-,-,-,-,-,0.07
23,Current Unearned Revenue,5.69,4.25,6.72,5.98,6.09,3.86,2.39,1.5,2.4,1.9
24,Other Current Liabilities,4.59,2.47,1.91,1.75,1.19,2.1,2.1,1.61,1.48,1.75
25,Total Current Liabilities,16.31,14.43,16.03,14.37,12.64,10.5,9.17,7.79,8.63,7.84
26,Long-Term Leases,11.34,12.52,11.37,12.41,14.35,15.06,15.16,15.4,15.57,6.79
27,Long-Term Deferred Tax Liabilities,-,-,0.07,0.19,-,0.56,-,-,-,-
28,Other Long-Term Liabilities,0.35,0.32,0.3,0.34,0.31,0.35,0.32,0.31,0.35,0.84
29,Total Liabilities,27.99,27.26,27.77,27.31,27.3,26.46,24.64,23.5,24.55,15.47
30,Common Stock,36.55,36.55,36.55,36.41,36.41,36.41,36.41,36.28,36.49,38.37
31,Retained Earnings,-,10.71,10.3,9.73,8.46,8.62,9.21,9.92,10.81,11.02
32,Treasury Stock,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
33,Comprehensive Income & Other,16.02,4.7,4.61,4.61,4.49,4.29,4.62,4.69,4.22,3.87
34,Total Common Equity,50.33,49.72,49.22,48.52,47.12,47.09,48.01,48.65,49.28,51.02
35,Minority Interest,0.37,0.4,0.41,0.41,0.43,0.43,0.45,0.46,0.48,0.47
36,Shareholders' Equity,50.7,50.12,49.62,48.93,47.55,47.52,48.46,49.12,49.76,51.49
37,Total Liabilities & Equity,78.7,77.38,77.4,76.24,74.84,73.98,73.1,72.62,74.3,66.96
38,Total Debt,13.77,15.08,13.5,14.54,15.53,16.24,16.33,16.58,16.31,7.56
39,Net Cash (Debt),32.82,31.08,32.35,28.93,22.53,18.73,13.82,14.63,13.52,26.85
40,Net Cash Growth,1.43%,7.41%,43.61%,54.48%,63.01%,28.03%,2.20%,-45.52%,-53.70%,-36.60%
41,Net Cash Per Share,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
42,Filing Date Shares Outstanding,2398,2398,2398,2395,2395,2395,2395,2391,2397,2430
43,Total Common Shares Outstanding,2398,2398,2398,2395,2395,2395,2395,2391,2397,2430
44,Working Capital,34.19,32.73,32.02,30.23,28.07,27.32,26.16,25.32,25.59,30.06
45,Book Value Per Share,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
46,Tangible Book Value,41.69,46.02,39.19,44.65,35.04,43.05,35.16,44.45,36.75,46.66
47,Tangible Book Value Per Share,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02
48,Machinery,-,13.63,-,13.37,-,13.29,-,13.19,-,9.06
