,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,141,173,153,103,132,184,232,457,476,719,692
1,Market Cap Growth,67.44%,67.44%,16.51%,-44.08%,-43.30%,-59.69%,-51.19%,-36.35%,-31.21%,-4.61%,-20.32%
2,Enterprise Value,-15,13,-17,-46,15,85,156,384,398,577,535
3,Last Close Price,0.06,0.07,0.06,0.04,0.05,0.07,0.09,0.18,0.19,0.28,0.26
4,PE Ratio,12.80,14.55,15.36,8.38,22.69,-,-,-,-,35.92,29.69
5,Forward PE,-,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35
6,PS Ratio,0.94,1.15,1.01,0.65,0.94,1.74,2.30,3.87,3.29,4.10,4.25
7,PB Ratio,0.58,0.71,0.59,0.39,0.52,0.73,0.90,1.66,1.66,2.41,2.51
8,P/TBV Ratio,0.86,0.86,0.64,0.49,0.57,0.99,1.00,2.29,1.84,3.27,2.77
9,P/FCF Ratio,-,-,4.56,1.83,2.31,4.12,7.49,25.46,49.87,-240.26,-
10,P/OCF Ratio,-,-,4.26,1.81,2.29,4.06,7.34,22.54,13.71,19.88,13.62
11,EV/Sales Ratio,0.09,0.09,-,-,0.10,0.80,1.55,3.25,2.75,3.29,3.28
12,EV/EBITDA Ratio,1.63,1.63,-,-,0.95,23.20,-,-,-,25.49,17.33
13,EV/EBIT Ratio,1.79,1.79,-,-,1.60,-,-,-,-,37.35,19.80
14,EV/FCF Ratio,-,-,-,-,0.26,1.91,5.04,21.40,41.69,-193.05,-
15,Debt / Equity Ratio,0.27,0.27,0.30,0.27,0.30,0.33,0.34,0.34,0.34,0.33,0.15
16,Debt / FCF Ratio,-,-,2.33,1.27,1.33,1.84,2.83,5.16,10.11,-32.61,-
17,Return on Capital Employed (ROCE),2.39%,2.39%,2.12%,4.38%,2.83%,-,-,-,-,3.93%,8.54%
18,Earnings Yield,8.39%,6.88%,6.51%,11.94%,4.41%,-2.17%,-3.02%,-1.80%,0.23%,2.78%,3.37%
19,FCF Yield,-,21.95%,54.72%,43.29%,24.26%,13.36%,3.93%,2.01%,-0.42%,4.99%,
20,Dividend Yield,5.08%,-,4.82%,2.45%,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,2.21%,-0.27%,4.56%,-6.10%,-11.77%,-0.09%,4.48%,7.30%,1.16%,2.53%,3.47%
22,Total Shareholder Return,7.29%,-0.27%,9.38%,-3.65%,-11.77%,-0.09%,4.48%,7.30%,1.16%,2.53%,3.47%
