,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+19 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+19 Quarters
0,Market Capitalization,514600,539500,614200,589300,556100,556100,581000,722100,830000,705500,1120500,1054100,2514900,3261900,819000,592800,378300,179400,101400,97500,74100,Upgrade
1,Market Cap Growth,-2.99%,-2.99%,5.71%,-18.39%,-33.00%,-21.18%,-48.15%,-31.50%,-67.00%,-78.37%,36.81%,77.82%,564.79%,1718.23%,707.69%,508.00%,410.53%,155.56%,18.18%,-7.41%,-38.71%,Upgrade
2,Last Close Price,6200.00,6500.00,7400.00,7100.00,6700.00,6700.00,7000.00,8700.00,10000.00,8500.00,13500.00,12700.00,30300.00,39300.00,21000.00,14151.66,9030.99,4282.74,2420.68,2327.57,1768.96,Upgrade
3,PE Ratio,23.56,-,13.44,-2405.26,-49.43,-,-,-7.42,-1.74,-,9.36,-,4.37,5.80,4.65,6.37,4.05,2.90,5.88,-9.88,-2.27,Upgrade
4,PS Ratio,2.17,2.27,2.48,2.33,1.68,1.28,1.19,1.16,1.87,1.68,1.27,1.26,3.14,4.38,3.28,4.18,2.09,1.03,0.69,0.81,1.18,Upgrade
5,PB Ratio,0.64,0.67,0.74,0.72,0.70,0.70,0.73,-,0.86,0.73,1.01,0.96,1.73,2.31,0.89,1.35,0.87,0.45,0.28,-,0.21,Upgrade
6,P/FCF Ratio,-,-,-5.50,-5.26,-,-,-,-205.22,-,-,-10.65,-2.54,-,-,-,5.17,7.40,5.97,-,3.08,-,Upgrade
7,P/OCF Ratio,-,-,-5.51,-5.27,-,-,-,-249.78,-,-,-11.45,-2.58,-,-,-,5.17,7.36,5.94,-,3.07,-,Upgrade
8,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,Upgrade
9,Debt / FCF Ratio,-,-,-0.04,-0.04,-,-,-,-,-,-,-0.04,-0.01,-,-,-,-,-,-,-,-,-,Upgrade
10,Asset Turnover,0.08,0.20,0.76,0.12,0.14,-,-,-,0.31,0.64,0.17,0.26,1.69,0.76,0.19,0.44,0.48,-,-,0.45,Upgrade,
11,Quick Ratio,80.07,79.98,111.45,79.79,76.82,33.26,42.67,-,-,98.93,95.03,48.82,48.73,12.97,106.38,31.76,40.81,34.85,33.96,-,18.43,Upgrade
12,Current Ratio,100.22,100.13,143.37,103.27,100.84,43.67,56.01,-,-,99.37,98.67,50.23,48.97,13.02,114.00,33.27,45.86,36.70,38.23,-,21.49,Upgrade
13,Return on Equity (ROE),-13.43%,6.85%,13.47%,4.12%,-1.81%,-,-,12.51%,-58.44%,2.99%,-113.77%,12.93%,146.60%,56.95%,3.61%,32.66%,43.11%,-,-,2.87%,Upgrade,
14,Return on Assets (ROA),-13.25%,6.76%,13.27%,4.03%,-1.76%,-,-,-,-57.62%,2.94%,-107.74%,11.63%,133.05%,54.86%,3.50%,31.89%,41.99%,-,-,2.75%,Upgrade,
15,Earnings Yield,4.24%,4.05%,7.44%,-0.04%,-2.02%,1.92%,-23.64%,-13.47%,-57.35%,-65.17%,10.69%,19.78%,22.87%,17.25%,21.50%,15.71%,24.70%,34.48%,17.01%,-10.12%,-43.99%,Upgrade
16,FCF Yield,-12.72%,-12.14%,-18.18%,-19.02%,-5.52%,-16.82%,-,-0.49%,-6.22%,-,-9.39%,-39.40%,-14.77%,-10.68%,-22.50%,19.33%,13.51%,16.75%,-,32.44%,8.55%,Upgrade
17,Buyback Yield / Dilution,0.25%,0.13%,-0.07%,0.16%,-,-0.26%,-0.30%,-0.09%,-,-31.46%,-5.96%,-112.82%,-112.88%,-61.86%,-100.00%,-,0.01%,-,-,-,-,Upgrade
18,Total Shareholder Return,0.25%,0.13%,-0.07%,0.16%,-,-0.26%,-0.30%,-0.09%,-,-31.46%,-5.96%,-112.82%,-112.88%,-61.86%,-100.00%,-,0.01%,-,-,-,-,Upgrade
