,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+19 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+19 Quarters
0,Interest and Dividend Income,99.96,-,-,75,-,662.94,660.6,37.55,1830,458.23,0.16,0.11,1124,0.09,117.19,85.78,7770,3529,37703,0.09,Upgrade
1,Total Interest Expense,261.97,16.66,258.95,16.66,140.83,258.95,136.29,139.32,261.97,16.66,264.98,55.46,-,-,-,-,-,-,-,-,Upgrade
2,Net Interest Income,-162.01,-16.66,-258.95,58.34,-140.83,403.99,524.31,-101.77,1568,441.57,-264.81,-55.36,1124,0.09,117.19,85.78,7770,3529,37703,0.09,Upgrade
3,Brokerage Commission,1221,1628,1947,2087,1979,2528,3062,1682,2185,2590,3487,4921,8702,4634,3637,4680,3925,2511,2970,1434,Upgrade
4,Asset Management Fee,180.67,211.67,176.28,187.15,198.51,314.33,337.67,260.43,283.13,316.57,183.32,244.98,248.2,226.19,209.2,199.7,213.57,215.13,224.15,229.08,Upgrade
5,Underwriting & Investment Banking Fee,5.45,310,100,1030,1123,-,-,257.45,528.26,108.77,31713,60.72,714.55,7108,17850,13680,14960,16604,17133,34857,Upgrade
6,Gain on Sale of Investments (Rev),12125,34937,148631,17158,20749,39675,225846,120499,71289,173403,15574,93093,521335,119089,-1452,26620,20003,924.16,547.55,1170,Upgrade
7,Other Revenue,4055,4207,4327,3400,3524,3272,3576,4219,5777,3510,5149,4452,10074,3066,1440,1723,-,2312,2818,2351,Upgrade
8,Revenue,17425,41278,154922,23921,27432,46193,233345,126815,81630,180370,55841,102716,542198,134123,21801,46989,46872,26095,61396,40042,Upgrade
9,Revenue Growth (YoY),-36.48%,-10.64%,-33.61%,-81.14%,-66.39%,-74.39%,317.87%,23.46%,-84.94%,34.48%,156.14%,118.60%,1056.76%,413.97%,-64.49%,17.35%,140.10%,-,1317.66%,222.14%,Upgrade
10,Cost of Services Provided,-17212,5932,7098,3225,10472,6131,7420,6158,9158,5754,8234,8659,8631,9239,8711,14884,6870,12567,22490,37362,Upgrade
11,Other Operating Expenses,-1024,-,-,1.01,-768.83,3.25,3.03,2.01,-1028,3.62,2.67,-657.03,140.64,105.76,106.8,56.73,-184.28,32.31,57.94,31.7,Upgrade
12,Total Operating Expenses,-18236,5932,7098,3226,9703,6134,7423,6160,8130,5757,8236,8002,8772,9344,8818,14941,6685,12599,22548,37393,Upgrade
13,Operating Income,35661,35345,147824,20695,17729,40059,225922,120656,73500,174613,47605,94714,533426,124778,12983,32048,40187,13496,38848,2649,Upgrade
14,Other Non-Operating Income (Expenses),-398.82,32.15,-92.87,12.61,35.64,-285.91,106.38,181.2,-171.24,147.37,160.87,-169.55,941.9,964.46,668.44,227.14,672.05,222.36,381.81,-90.94,Upgrade
15,EBT Excluding Unusual Items,35262,35377,147731,20708,17765,39773,226029,120837,73329,174760,47766,94545,534368,125742,13651,32275,40859,13719,39230,2558,Upgrade
