,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6248,5681,5672,6064,9015,7235,8365,10057,8042,7466,9481,10265,12137,10717,14019,5986,-,-,-,-
1,Market Cap Growth,-21.48%,-21.48%,-32.19%,-39.71%,12.10%,-3.09%,-11.77%,-2.02%,-33.74%,-30.34%,-32.37%,71.49%,-,-,-,-,-,-,-,-
2,Enterprise Value,5807,5159,5081,5507,8458,6637,7672,9351,7395,6886,8761,9425,11297,9960,13135,5518,-,-,-,-
3,Last Close Price,13.55,12.32,12.14,12.98,19.30,15.49,17.91,21.33,17.06,15.84,20.11,21.71,25.67,22.67,29.65,12.63,-,-,-,-
4,PE Ratio,-,-,-,-,-,63.49,52.51,59.72,48.46,46.43,86.79,118.82,193.44,136.44,149.10,55.19,-,-,-,-
5,Forward PE,-,56.00,55.91,27.98,42.50,34.87,41.23,49.57,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.01,5.27,4.97,4.85,6.75,5.05,4.91,5.64,4.68,4.39,6.28,7.93,9.27,8.81,13.29,5.38,-,-,-,-
7,PB Ratio,4.44,4.06,4.00,4.28,6.01,4.81,5.60,6.47,5.32,5.07,6.69,7.25,8.83,7.98,10.46,4.37,-,-,-,-
8,P/TBV Ratio,4.14,4.14,4.09,4.37,6.13,4.91,5.71,6.59,5.43,5.18,6.84,7.43,9.06,8.22,10.77,4.49,-,-,-,-
9,P/FCF Ratio,-,-,-,-,214.85,-,-,-,-30.63,-104.01,-,-,189.54,62.19,-,-,-,-,-,-
10,P/OCF Ratio,61.20,-,-,-,55.64,-,41.82,-,-41.12,-186.40,-,-,134.56,55.06,-,-,-,-,-,-
11,EV/Sales Ratio,5.38,4.78,4.45,4.40,6.33,4.63,4.50,5.25,4.30,4.05,5.80,7.28,8.63,8.19,12.46,4.96,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,45.52,39.09,45.89,36.22,32.91,61.19,80.87,130.32,112.26,117.84,42.44,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,55.26,45.33,53.09,42.39,38.63,78.20,111.00,205.73,-,164.33,56.22,-,-,-,-
14,EV/FCF Ratio,-133.99,-,-,-,201.57,-,-,-,-28.16,-95.94,-,-,176.42,57.80,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.03,-,-,0.03
16,Debt / EBITDA Ratio,-,-,1.14,1.14,0.52,0.10,0.08,0.06,0.07,0.04,0.08,0.07,0.08,0.19,0.13,0.35,0.16,-,-,0.34
