,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,215.29,240.03,240.03,379.2,277.5,349.18,326.07,479.36,548.86,426.77,262.88,459.39,358.95,211.82,277.67,366.97,196.08,270.28,190.43
1,Other Revenue,-0.37,0.19,0.19,4.31,-0.52,0.52,-,1.52,-0.99,0.99,-,0.95,-0.62,0.62,-,1.4,-0.06,0.06,-
2,Revenue,214.92,240.22,240.22,383.52,276.98,349.7,326.07,480.88,547.87,427.76,262.88,460.34,358.34,212.43,277.67,368.37,196.03,270.33,190.43
3,Revenue Growth (YoY),-22.40%,-31.31%,-26.33%,-20.25%,-49.45%,-18.25%,24.03%,4.46%,52.89%,101.36%,-5.33%,24.97%,82.80%,-21.42%,45.82%,-,-,-,-
4,Cost of Revenue,156.23,169.22,169.22,277.17,187.07,255.94,217.45,368.97,381.22,316.81,146.37,336.43,292.24,151.52,198.07,265.31,126.96,179.03,123.31
5,Gross Profit,58.69,70.99,70.99,106.35,89.91,93.77,108.62,111.92,166.66,110.95,116.51,123.91,66.09,60.91,79.6,103.06,69.07,91.31,67.12
6,"Selling, General & Admin",49.91,49.92,49.92,99.95,48.26,48.46,44.81,71.66,67.01,48.04,42.83,54.93,58.06,40.71,38.41,48.41,38.99,42.45,34.57
7,Research & Development,24.16,24.62,24.62,17.83,31.36,27.78,25.38,27.72,27.04,26.07,20.17,24.36,19.65,21.06,20.82,24.45,19.84,20.26,13.86
8,Other Operating Expenses,-4.95,-8.53,-8.53,-5.17,-11.67,-5.86,-9.87,-6.67,-10.77,-7.12,0.37,1.02,-4.43,-7.43,-5.21,4.23,-10.16,0.52,-2.31
9,Operating Expenses,75.04,78.88,78.88,117.51,73.61,70.44,62.91,77.15,101.23,80.73,72.46,85.35,66.89,57.83,65.54,62.61,46.73,70,52.81
10,Operating Income,-16.35,-7.89,-7.89,-11.16,16.29,23.32,45.71,34.77,65.43,30.21,44.05,38.56,-0.79,3.09,14.06,40.45,22.34,21.31,14.31
11,Interest Expense,-,-0.13,-0.13,-0.79,-,-0.34,-,-0.89,-,-0.38,-,-1.1,-,-0.27,-,-0.9,-,-0.79,-
12,Interest & Investment Income,1.76,3.48,3.48,2.74,2.27,2.43,4.71,2.25,9.19,4.31,4.6,6.9,3.68,3.13,2.63,3.54,0.87,3.35,1.49
13,Currency Exchange Gain (Loss),-0.36,0.18,0.18,0.7,-0.6,0.6,-,-0.03,0.01,-0.01,-,-0.07,0.02,-0.02,-,-0.19,0.09,-0.09,-
14,Other Non Operating Income (Expenses),4.95,-2.48,-2.48,-0.28,3.4,-3.96,-,2.58,-0.33,-0.61,-1.93,-0.35,-1.29,0.12,1,0.63,1.06,-1.2,-1.12
15,EBT Excluding Unusual Items,-9.99,-6.84,-6.84,-8.79,21.37,22.05,50.43,38.68,74.3,33.53,46.72,43.94,1.62,6.05,17.69,43.54,24.36,22.58,14.68
16,Gain (Loss) on Sale of Investments,-0.58,0.29,0.29,-,-,-,-1.24,-6.57,0.01,-,-,-1.12,-0.12,1.24,-0.23,0.12,-0.18,0.07,-0.08
17,Gain (Loss) on Sale of Assets,-0.3,-0,-0,1.15,-0.93,-0.22,-0.02,-2.41,-1.72,-,0,-0.05,0.04,-0.05,-,-,-,-,-
18,Asset Writedown,-4.31,-0.15,-0.15,10.07,-11.1,1.51,-1.83,6.34,-6.52,1.43,-4.21,-8.42,-2.21,-0.05,0.03,2.88,-3.96,-0.09,0.03
19,Other Unusual Items,-0.85,0.2,0.2,0.95,-,0.15,-0.15,3.54,-,-,-,5.25,-,-,-,12.34,-,-,-
20,Pretax Income,-16.04,-6.49,-6.49,3.38,9.34,23.5,47.18,39.58,66.07,34.96,42.51,39.6,-0.67,7.18,17.48,58.88,20.22,22.56,14.63
21,Income Tax Expense,-0.41,-0.09,-0.09,6.36,0.52,2.27,3.99,-0.93,11.88,4.68,1.93,7.56,-3.14,-0.15,0.51,7.86,2.17,1.07,3.05
22,Earnings From Continuing Operations,-15.62,-6.4,-6.4,-2.98,8.82,21.23,43.18,40.51,54.19,30.28,40.59,32.04,2.47,7.33,16.97,51.01,18.05,21.49,11.58
23,Minority Interest in Earnings,0.04,0.05,0.05,-0,0.04,0.05,0.05,0.06,0.03,0.1,0.18,3.39,0.19,0.19,0.16,0.22,0.09,0.46,1.27
24,Net Income,-15.58,-6.35,-6.35,-2.98,8.86,21.28,43.23,40.57,54.22,30.38,40.77,35.43,2.66,7.52,17.13,51.24,18.13,21.96,12.85
25,Net Income to Common,-15.58,-6.35,-6.35,-2.98,8.86,21.28,43.23,40.57,54.22,30.38,40.77,35.43,2.66,7.52,17.13,51.24,18.13,21.96,12.85
26,Net Income Growth,-,-,-,-,-83.65%,-29.95%,6.04%,14.50%,1938.95%,303.77%,138.04%,-30.84%,-85.34%,-65.73%,33.28%,-,-,-,-
27,Shares Outstanding (Basic),567,423,423,501,454,441,480,451,444,496,453,427,544,394,428,409,361,345,428
28,Shares Outstanding (Diluted),567,423,423,501,454,441,480,451,444,496,453,427,544,394,428,409,361,345,428
29,Shares Change (YoY),24.92%,-4.05%,-11.85%,11.22%,2.23%,-10.97%,6.04%,5.53%,-18.30%,25.95%,5.79%,4.47%,50.65%,14.03%,-0.04%,-,-,-,-
30,EPS (Basic),-0.03,-0.01,-0.01,-0.01,0.02,0.05,0.09,0.09,0.12,0.06,0.09,0.08,0.00,0.02,0.04,0.13,0.05,0.06,0.03
31,EPS (Diluted),-0.03,-0.01,-0.01,-0.01,0.02,0.05,0.09,0.09,0.12,0.06,0.09,0.08,0.00,0.02,0.04,0.13,0.05,0.06,0.03
32,EPS Growth,-,-,-,-,-84.01%,-21.31%,0%,8.50%,2395.97%,220.58%,125.00%,-33.80%,-90.27%,-69.95%,33.33%,-,-,-,-
33,Free Cash Flow,-47.73,-48.89,-48.89,102.18,-39.74,-5.48,-15,86.81,58.52,-122.46,-285.46,277.62,100.89,-148.59,-165.88,385.89,100.45,38.85,-192.37
34,Free Cash Flow Per Share,-0.08,-0.12,-0.12,0.20,-0.09,-0.01,-0.03,0.19,0.13,-0.25,-0.63,0.65,0.19,-0.38,-0.39,0.94,0.28,0.11,-0.45
35,Dividend Per Share,-,-,-,0.152,-,-,-,0.180,-,-,-,0.060,-,-,-,0.080,-,-,-
36,Dividend Growth,-,-,-,-15.56%,-,-,-,200.00%,-,-,-,-25.00%,-,-,-,-,-,-,-
37,Gross Margin,27.31%,29.55%,29.55%,27.73%,32.46%,26.81%,33.31%,23.27%,30.42%,25.94%,44.32%,26.92%,18.44%,28.67%,28.67%,27.98%,35.23%,33.78%,35.25%
38,Operating Margin,-7.61%,-3.28%,-3.28%,-2.91%,5.88%,6.67%,14.02%,7.23%,11.94%,7.06%,16.76%,8.38%,-0.22%,1.45%,5.06%,10.98%,11.39%,7.88%,7.51%
39,Profit Margin,-7.25%,-2.64%,-2.64%,-0.78%,3.20%,6.09%,13.26%,8.44%,9.90%,7.10%,15.51%,7.70%,0.74%,3.54%,6.17%,13.91%,9.25%,8.12%,6.75%
