,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,574.17,644.89,977.09,1041,859.28,896.64,875.97,747.6,-,705.62,711.38,255.96,255.96,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,0.29,0.24,0.24,-,-
2,Cash & Short-Term Investments,574.17,644.89,977.09,1041,859.28,896.64,875.97,747.6,-,705.62,711.67,256.19,256.19,-,356.05
3,Cash Growth,-33.18%,-28.08%,11.54%,39.24%,-,27.07%,23.09%,191.81%,-,-,99.88%,-,-,-,-
4,Accounts Receivable,1316,1168,1207,1255,1433,1305,1181,1243,-,1207,1096,1073,1073,-,-
5,Other Receivables,5.06,4.83,9.46,3.34,5.42,6.61,11.47,3.97,-,11.03,8.14,4.09,4.09,-,-
6,Receivables,1321,1173,1216,1259,1438,1312,1193,1247,-,1218,1104,1077,1077,-,-
7,Inventory,201.34,222.85,241.18,236.78,226.82,209.43,221.64,229.57,-,250.61,257.15,274.97,274.97,-,-
8,Other Current Assets,84.72,97.49,79,61.62,90.22,92.05,90.55,59.99,-,123.02,69.53,91.41,91.41,-,-
9,Total Current Assets,2181,2139,2513,2598,2614,2510,2381,2285,-,2298,2142,1700,1700,-,-
10,"Property, Plant & Equipment",717.39,711.2,695.08,649.13,609.5,591.2,572.34,556.9,-,473.49,467.92,457.26,457.26,-,-
11,Long-Term Investments,2.2,2.66,3.08,3.42,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,75.21,76.23,77.28,77.26,77.97,79.08,80.3,81.22,-,80.48,81.33,80.28,80.28,-,-
13,Long-Term Deferred Tax Assets,12.29,10.9,10.66,9.48,11.07,10.21,9.17,8.3,-,11.12,9.69,8.1,8.1,-,-
14,Long-Term Deferred Charges,0.62,0.69,0.83,-,0.91,1.16,1.53,1.02,-,1.34,1.32,1.31,1.31,-,-
15,Other Long-Term Assets,42.38,0.4,0.41,0.41,6.43,5.85,5.88,5.35,-,3.26,3.23,4.17,4.17,-,-
16,Total Assets,3031,2941,3301,3338,3320,3197,3050,2937,-,2867,2706,2251,2251,-,-
17,Accounts Payable,560.46,566.12,584.22,649.86,683.58,586.85,453.7,436.67,-,576.97,393.51,427.66,427.66,-,-
18,Accrued Expenses,59.71,74.97,48.28,108.25,83.36,88.13,46.66,87.4,-,82.35,42.85,84.8,84.8,-,-
19,Short-Term Debt,237,190,291.12,228.42,198.3,248.19,278.08,275.23,-,130.54,208.16,203.21,203.21,-,-
20,Current Portion of Long-Term Debt,-,-,194.22,56.04,56.39,65.66,10.37,10.21,-,-,0.6,0.6,0.6,-,-
21,Current Portion of Leases,0.33,0.09,-,0.8,-,0.47,-,1.78,-,-,-,1.52,1.52,-,-
22,Current Income Taxes Payable,16.95,3.13,8.92,10.15,23.88,8.46,21.5,14,-,10.18,15.25,12.4,12.4,-,-
23,Current Unearned Revenue,10.39,8.4,8.25,16.43,8.72,8.66,6.77,11.01,-,9.99,7.79,11.2,11.2,-,-
24,Other Current Liabilities,43.21,22.44,10.93,30.55,10.4,13.15,22.07,39.98,-,13.75,26.77,21.8,21.8,-,-
25,Total Current Liabilities,928.06,865.15,1146,1101,1065,1020,839.16,876.28,-,823.77,694.93,763.18,763.18,-,-
26,Long-Term Debt,0.5,0.5,50.55,138.6,188.53,169.87,226.25,105.82,-,226.25,182.7,183.21,183.21,-,-
27,Long-Term Leases,-,0.68,0.33,0.34,0.83,1.5,1.96,1.08,-,2.16,2.15,0.94,0.94,-,-
28,Long-Term Unearned Revenue,3.23,3.38,3.53,3.67,1.16,1.22,1.29,1.36,-,1.49,1.57,1.63,1.63,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,0.07,0.06,0.06,-,-
30,Total Liabilities,931.79,869.71,1200,1243,1255,1192,1069,984.54,-,1054,881.41,949.03,949.03,-,-
31,Common Stock,401,401,401,401,401,401,401,401,-,401,401,341,341,-,-
32,Additional Paid-In Capital,863.38,863.38,863.38,863.38,863.38,863.38,863.38,863.38,-,864.98,864.98,420.64,420.64,-,-
