,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6272,4936,4487,5209,6440,6785,7495,7122,7058,6857,8381,13566,-,-,-,-
1,Market Cap Growth,-27.25%,-27.25%,-40.13%,-26.86%,-8.75%,-1.05%,-10.57%,-47.50%,-,-,-,-,-,-,-,-
2,Enterprise Value,5941,4489,4050,4802,6033,6379,7141,6759,6695,6512,8065,13617,-,-,-,-
3,Last Close Price,15.64,12.31,11.19,12.83,15.86,16.71,18.45,17.46,17.30,16.81,20.54,33.03,-,-,-,-
4,PE Ratio,63.01,50.39,36.02,34.10,36.85,31.06,33.77,33.00,34.41,35.64,42.21,72.07,-,-,-,-
5,PS Ratio,2.92,2.34,2.03,2.27,2.81,3.03,3.36,3.21,3.18,3.00,3.74,6.18,-,-,-,-
6,PB Ratio,3.00,2.35,2.17,2.48,3.07,3.29,3.74,3.59,3.61,-,4.62,7.44,-,-,-,-
7,P/TBV Ratio,2.45,2.45,2.26,2.58,3.20,3.43,3.90,3.76,3.78,-,4.84,7.79,-,-,-,-
8,P/FCF Ratio,62.30,-,26.33,-,31.45,73.22,82.93,-,313.99,-128.80,-104.18,-,-,-,-,-
9,P/OCF Ratio,19.81,-,13.80,-,18.00,26.70,28.27,-,42.97,98.38,259.51,-,-,-,-,-
10,EV/Sales Ratio,2.81,2.13,1.83,2.10,2.63,2.85,3.20,3.04,3.01,2.85,3.60,6.21,-,-,-,-
11,EV/EBITDA Ratio,33.95,26.95,21.42,20.79,23.47,21.68,23.44,23.08,23.45,24.02,30.27,51.66,-,-,-,-
12,EV/EBIT Ratio,56.84,42.46,31.12,28.13,30.37,26.83,28.62,27.98,28.43,29.30,37.09,63.82,-,-,-,-
13,EV/FCF Ratio,59.02,-,23.76,-,29.47,68.84,79.02,-,297.87,-122.33,-100.25,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.09,0.26,0.20,0.22,0.24,0.26,0.20,-,0.20,0.22,0.30,0.30,-,0.36
15,Debt / EBITDA Ratio,1.35,1.06,1.46,8.20,1.67,1.41,1.62,3.05,0.98,-,1.42,2.81,1.15,1.15,-,2.80
16,Debt / FCF Ratio,2.36,-,1.12,-,2.07,4.79,5.37,-,17.53,-,-4.46,-,-,-,-,-
17,Asset Turnover,0.74,0.68,0.52,0.72,0.80,0.78,0.58,-,-,0.86,0.70,1.07,-,-,-,
18,Inventory Turnover,7.74,8.12,7.14,5.78,8.06,9.02,8.37,5.61,-,-,6.98,4.98,6.80,-,-,-
19,Quick Ratio,2.04,2.04,2.10,1.91,2.09,2.16,2.17,2.47,2.28,-,2.34,2.61,1.75,1.75,-,-
20,Current Ratio,2.35,2.35,2.47,2.19,2.36,2.46,2.46,2.84,2.61,-,2.79,3.08,2.23,2.23,-,-
21,Return on Equity (ROE),5.43%,5.17%,1.15%,6.43%,10.85%,11.18%,5.80%,-,-,10.95%,4.59%,20.03%,-,-,-,
22,Return on Assets (ROA),3.39%,1.50%,0.04%,3.45%,4.98%,4.74%,2.38%,-,-,4.60%,2.27%,7.97%,-,-,-,
23,Return on Capital (ROIC),4.41%,1.91%,0.06%,4.57%,6.49%,5.94%,2.94%,-,-,5.84%,2.88%,10.61%,-,-,-,
24,Return on Capital Employed (ROCE),5.03%,5.03%,6.27%,7.92%,8.88%,10.54%,11.46%,10.93%,11.43%,-,10.64%,10.61%,14.45%,9.63%,-,-
25,Earnings Yield,1.56%,1.98%,2.78%,2.93%,2.71%,3.22%,2.96%,3.03%,2.91%,2.81%,2.37%,1.39%,-,-,-,-
26,FCF Yield,1.61%,2.04%,3.80%,3.84%,3.18%,1.37%,1.21%,0.75%,0.32%,-0.78%,-0.96%,-0.30%,-,-,-,-
27,Dividend Yield,0.94%,-,-,-,0.95%,-,-,-,0.46%,-,-,-,-,-,-,-
28,Payout Ratio,70.89%,4.83%,209.22%,72.20%,14.23%,5.73%,62.58%,7.50%,8.63%,6.90%,126.81%,18.54%,4.99%,4.99%,19.67%,20.53%
29,Buyback Yield / Dilution,1.09%,-7.04%,-8.19%,17.08%,1.91%,1.03%,-0.90%,-13.42%,-19.32%,-21.77%,-6.80%,-9.25%,-,-,-,-
30,Total Shareholder Return,2.03%,-7.04%,-8.19%,17.08%,2.86%,1.03%,-0.90%,-13.42%,-18.85%,-21.77%,-6.80%,-9.25%,-,-,-,-
