,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,577.98,502.53,433.88,532.68,677.99,583,435.11,479.44,676.56,569.64,436.29,585.77,585.77,523.58,402.37
1,Other Revenue,-27.75,27.75,-,63.64,-27.53,27.53,-,60.12,-29.74,29.74,-,17.6,17.6,27.51,-
2,Revenue,550.23,530.28,433.88,596.32,650.46,610.53,435.11,539.55,646.82,599.38,436.29,603.37,603.37,551.09,402.37
3,Revenue Growth (YoY),-15.41%,-13.14%,-0.28%,10.52%,0.56%,1.86%,-0.27%,-10.58%,7.20%,8.76%,8.43%,-,-,-,-
4,Cost of Revenue,430.58,414.29,345.29,466.98,491.72,451.25,316.32,387.87,474.46,442.8,331.53,467.75,467.75,391.13,287.03
5,Gross Profit,119.65,115.99,88.59,129.33,158.74,159.27,118.79,151.69,172.36,156.58,104.76,135.62,135.62,159.96,115.35
6,"Selling, General & Admin",64.88,68.46,73.29,74.92,72.97,68.05,68.09,56.09,69.91,69.17,60.67,47.89,47.89,80.44,65.72
7,Research & Development,17.53,18.73,14.33,26.07,20.93,21.56,15.59,25.43,22.08,26.53,12.43,20.7,20.7,27.13,13.87
8,Other Operating Expenses,-1.37,-2.55,-3.18,-7.52,-2.42,-1.71,-0.94,6.28,-1.83,-3.99,-1.06,0.91,0.91,-2.72,-1.26
9,Operating Expenses,79.11,97.32,87.99,83.39,93.82,100.02,90.27,66.64,95.69,105.26,82.26,63.82,63.82,112.68,91.19
10,Operating Income,40.54,18.67,0.6,45.94,64.92,59.25,28.52,85.04,76.67,51.32,22.49,71.8,71.8,47.28,24.15
11,Interest Expense,-0.84,-1.56,-3.01,-3.14,-4.74,-3.95,-4.38,-4.09,-4.83,-4.69,-4.64,-3.87,-3.87,-4.63,-4.65
12,Interest & Investment Income,2.27,4.29,9.93,4.62,9.91,3.23,8.95,-,8.6,5.9,2.54,1.12,1.12,0.97,2.43
13,Earnings From Equity Investments,-1.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.31,0.31,-,0.18,-0.18,0.18,-,0.31,-0.28,0.28,-,0.01,0.01,-0,-
15,Other Non Operating Income (Expenses),0.24,-0.57,0.02,0.4,-1.44,0.3,-0.66,1.4,-1.14,-0.96,-0.15,-0.16,-0.16,0.4,-0.76
16,EBT Excluding Unusual Items,40.67,21.14,7.53,48,68.46,59.01,32.43,82.66,79.02,51.85,20.24,68.9,68.9,44.01,21.18
